p,rho,theta,sigma1,sigma2,sigma3,I1,I2,I3,f
1e-12,7.150097474361971e-13,0.0,1.5055882410266155e-12,1e-12,4.944117589733843e-13,2.9999999999999997e-12,2.7443805305356127e-24,7.443805305356127e-37,-1.0927351857057216e-13
52.63157894736937,35.09446628788618,0.0,77.44711404165636,52.63157894736936,27.81604385308236,157.8947368421081,7694.438525463732,113382.75370933802,-5.363417530158706
105.26315789473772,70.18893257577169,0.0,154.89422808331125,105.2631578947377,55.63208770616417,315.78947368421314,30777.75410185433,907062.0296746778,-10.726835060317311
157.89473684210608,105.2833988636573,0.0,232.3413421249662,157.89473684210606,83.44813155924592,473.6842105263181,69249.94672917179,3061334.350152007,-16.09025259047593
210.52631578947447,140.37786515154284,0.0,309.78845616662113,210.52631578947447,111.26417541232779,631.5789473684233,123111.0164074162,7256496.237397322,-21.45367012063454
263.1578947368429,175.47233143942833,0.0,387.23557020827604,263.1578947368428,139.08021926540962,789.4736842105285,192360.96313658747,14172844.213666607,-26.81708765079314
315.7894736842112,210.5667977273138,0.0,464.68268424993084,315.78947368421115,166.89626311849145,947.3684210526334,276999.7869166855,24490674.801215842,-32.18050518095174
368.4210526315796,245.66126401519935,0.0,542.1297982915859,368.4210526315796,194.71230697157333,1105.2631578947387,377027.4877477107,38890284.522301055,-37.543922711110355
421.052631578948,280.75573030308476,0.0,619.5769123332407,421.05263157894797,222.52835082465523,1263.157894736844,492444.0656296626,58051969.89917821,-42.90734024126894
473.6842105263164,315.85019659097037,0.0,697.0240263748957,473.68421052631635,250.34439467773703,1421.052631578949,623249.5205625414,82656027.45410329,-48.27075777142756
526.3157894736847,350.944662878856,0.0,774.4711404165505,526.3157894736846,278.16043853081874,1578.9473684210539,769443.8525463467,113382753.7093322,-53.63417530158618
578.947368421053,386.0391291667413,0.0,851.9182544582054,578.947368421053,305.97648238390076,1736.842105263159,931027.0615810796,150912445.18712118,-58.99759283174476
631.5789473684214,421.1335954546268,0.0,929.3653684998602,631.5789473684214,333.79252623698255,1894.7368421052643,1107999.1476667388,195925398.4097259,-64.36101036190335
684.2105263157898,456.2280617425126,0.0,1006.8124825415152,684.2105263157897,361.6085700900641,2052.631578947369,1300360.1108033247,249101909.89940244,-69.72442789206201
736.8421052631581,491.32252803039785,0.0,1084.25959658317,736.842105263158,389.42461394314614,2210.526315789474,1508109.950990838,311122276.178407,-75.08784542222057
789.4736842105266,526.4169943182835,0.0,1161.706710624825,789.4736842105265,417.24065779622794,2368.4210526315796,1731248.6682292784,382666793.7689955,-80.45126295237921
842.1052631578949,561.5114606061686,0.0,1239.1538246664795,842.1052631578948,445.05670164931,2526.3157894736846,1969776.2625186453,464415759.19342387,-85.81468048253775
