p,rho,theta,sigma1,sigma2,sigma3,f
263.1578947368421,154.52259232318443,4.764748857944519,331.87345953467275,137.163634148153,320.4365905277005,0.0
-789.4736842105264,257.0452199216916,1.5707963267948966,-894.4119558154646,-579.5971410006498,-894.4119558154647,-45.36092116265146
1000.0,165.9802688066242,4.974188368183839,1095.8287528756707,869.0954891588524,1035.075757965477,0.0
-578.9473684210527,222.0469161609368,5.445427266222308,-406.52030097952513,-713.6799324127032,-616.6418718709298,-30.27912493103683
-789.4736842105264,253.82228898826295,1.2042771838760873,-821.8939497863684,-595.9937796660688,-950.533323179142,14.367299376694094
789.4736842105262,330.42681161406,3.8222710618675815,692.7887486627852,619.6878494986494,1055.944454470144,43.09914934096432
-1000.0,156.53325006645412,0.890117918517108,-980.0062888139864,-900.6738579075184,-1119.3198532784947,-21.345443190880104
578.9473684210525,239.45498961156875,3.2986722862692828,427.0043127902831,548.3622122174279,761.4755802554462,0.0
473.6842105263156,220.10575722635448,6.178465552059926,637.8625789457337,454.89881521937895,328.2912374138339,-6.807394553392413
684.2105263157894,276.94016866679425,5.969026041820607,905.3899473167112,614.3353869768785,532.9062446537783,0.0
-789.4736842105264,253.8222889882631,4.031710572106901,-821.8939497863685,-950.5333231791418,-595.9937796660687,14.3672993766941
263.1578947368421,287.3276622730955,3.508111796508602,115.51803846564484,179.0840377388067,494.8716080060747,0.0
578.9473684210525,194.2483269697289,3.089232776029963,437.63097617843823,587.2480130516371,711.9631160330817,0.0
-473.68421052631584,295.4438931650591,3.769911184307752,-571.8008551681205,-615.4750171985497,-233.7767592122771,0.0
-789.4736842105264,202.1893373708768,5.1312680008633285,-655.9155744071427,-940.2880742549282,-772.2174039695083,16.694532443466862
578.9473684210525,252.32604109197376,6.073745796940266,774.8872177864248,536.1127054098282,425.8421820669041,0.0
-789.4736842105264,141.8943650091235,2.722713633111154,-904.6952753575952,-742.3506963595078,-721.3750809144761,-14.033508627275964
368.42105263157896,313.1871518776741,5.916666164260777,620.9890000950425,276.7805485037202,207.493609295974,25.85948960457856
-263.1578947368422,173.5055234471418,1.0471975511965976,-263.1578947368421,-140.4709625340467,-385.8448269396376,-30.61862178478973
-894.7368421052631,282.5866453272375,5.707226654021457,-664.3220212370179,-1020.4019674829968,-999.4865375957744,-18.03744544641943
473.6842105263156,177.87869325733428,2.9845130209103035,338.0934681643896,496.404336874058,586.5548265404991,0.0
-473.68421052631584,194.2483269697289,4.241150082346221,-465.3835658957311,-615.0006027689299,-340.6684629142864,0.0
473.6842105263156,165.98026880662425,2.8797932657906435,342.77969968516794,508.7599684917922,569.5129634019866,0.0
894.7368421052631,185.4948049274101,4.29350995990605,910.5682918676648,756.3750163764539,1017.2672180716704,0.0
578.9473684210525,144.0417709248959,2.4609142453120043,462.785724453892,652.9614963618122,621.0948844474528,-14.245889432132577
-157.89473684210532,193.8877756504944,2.251474735072685,-305.6886460166046,-34.86576538664522,-133.12979912306614,16.009082393160064
578.9473684210525,161.6273749717225,0.3141592653589793,667.2513294706189,619.7277846441673,449.862991148371,0.0
-157.89473684210532,176.7659775424534,2.146754979953025,-286.4926537828842,-36.8504065151585,-150.34115022827325,-17.48234942727563
263.1578947368421,171.38452411457538,5.026548245743669,367.14977519921007,130.07191719271094,292.25199181860523,0.0
473.6842105263156,240.52794088653152,1.989675347273536,314.8011677436037,653.0956234382569,453.1558403970861,13.614789106784768
-1000.0,167.92099494551346,0.5235987755982988,-931.446540880503,-931.4465408805032,-1137.1069182389936,13.86503627990476
-473.68421052631584,161.6273749717225,0.7330382858376183,-432.9037943032009,-385.38024947674927,-602.7685877989971,0.0
473.6842105263156,177.8786932573343,2.251474735072685,338.0934681643896,586.5548265404991,496.404336874058,0.0
-368.42105263157896,194.2483269697289,4.241150082346221,-360.1204080009942,-509.737444874193,-235.40530501954956,0.0
368.42105263157896,196.62449322305457,3.036872898470133,221.7575173590413,385.2023893797249,498.30325115597054,11.129688295644568
1000.0,169.96138226367532,4.817108735504349,1081.5686566952688,861.9873248897746,1056.4440184149562,14.033508627275925
-578.9473684210527,185.7529721610577,4.188790204786391,-578.9473684210527,-710.2945546616926,-447.6001821804128,-18.37117307087385
1000.0,171.38452411457538,5.026548245743669,1103.9918804623678,866.9140224558687,1029.094097081763,0.0
-578.9473684210527,155.92787363639945,0.418879020478639,-504.1137384253931,-527.1638652880653,-705.5645015496998,0.0
-473.68421052631584,194.24832696972896,0.0523598775598298,-340.66846291428635,-465.3835658957311,-615.0006027689299,0.0
-263.1578947368422,155.92787363639945,2.722713633111154,-389.7750278654892,-211.37439160385463,-188.32426474118253,0.0
52.631578947368325,261.0059386766099,5.393067388662478,251.58732984685747,-112.98635169017028,19.29375868541775,21.550949065041152
-157.89473684210532,194.24832696972896,0.0523598775598298,-24.878989230075888,-149.5940922115206,-299.21112908471946,0.0
263.1578947368421,177.70098117166208,4.764748857944519,342.18079425434735,118.26449505984964,329.02839489632925,23.17838884847765
-684.2105263157895,252.32604109197376,6.073745796940266,-488.27067695041706,-727.0451893270136,-837.3157126699377,0.0
-473.68421052631584,265.0307933789124,1.308996938995747,-529.6918072653443,-264.66101388643204,-626.699810427171,0.0
-789.4736842105264,239.45498961156875,5.393067388662478,-606.9454723761326,-941.4167398412956,-820.0588404141507,0.0
-473.68421052631584,148.79040073560674,0.3665191429188091,-397.23005638970665,-430.1472159495944,-593.6753592396462,-9.497259621421716
-1000.0,235.39914336677515,1.780235837034216,-1128.6086394127092,-811.9974921492162,-1059.3938684380742,-41.54102530001915
1000.0,160.60570984549142,0.418879020478639,1077.0786388955294,1053.3370082269769,869.5843528774934,4.677836209091953
-578.9473684210527,232.27133992322192,4.031710572106901,-608.6149699385687,-726.332132382899,-401.8950029416905,-7.183649688347076
