Complexity,Loss,Equation
1,0.99999994,"-7.103939e-6"
2,0.9999998,"cos(-7.85407)"
3,0.0007419468,"(x0 * -0.99962854)"
4,0.0007419465,"(x0 / log(0.36773652))"
6,0.00071314105,"(sin(x0 / 8.881715) * -8.912491)"
7,0.0006715884,"(sin(sin(x0 / 7.16124)) * -7.24252)"
8,0.0006523477,"(sin(x0 / 3.8490274) * (-4.87991 * 0.8048829))"
9,0.00065225415,"(sin(x0 / 3.8490274) * (-4.87991 + cos(-0.30658397)))"
11,0.0005882305,"((x0 / (6.1831403 + cos(sin(1.0679986 / x0)))) * -6.948482)"
12,0.00058361,"((x0 / (6.1831403 + cos(sin(sin(-1.1160996 / x0))))) * -6.948482)"
14,0.00055982027,"((x0 / (-1.0003778 + (-0.3425479 * cos(sin(sin(1.0937523 / x0)))))) * 1.266024)"
15,0.0005591303,"((x0 / (-1.0003778 + sin(-0.3425479 * cos(sin(sin(1.0937523 / x0)))))) * 1.266024)"
16,0.0005569252,"((x0 / (-1.0003778 + (-0.3425479 * cos(sin(sin((1.0937523 / x0) / 0.99397784)))))) * 1.266024)"
17,0.0005465595,"((x0 / (-1.0003778 + (-0.3425479 * cos(sin(sin(exp(-0.3425479 * -0.4054698) / x0)))))) * 1.266024)"
22,0.0005424155,"((x0 / (-1.0003778 + (-0.3425479 * cos(sin(sin(exp(-0.3425479 * ((log(1.0482423) / x0) + -0.4054698)) / x0)))))) * 1.266024)"
23,0.00054128683,"((x0 / (-1.0003778 + (-0.3425479 * cos(sin(sin(exp(-0.3425479 * (sin(log(1.0482423) / x0) + -0.4054698)) / x0)))))) * 1.266024)"
25,0.000541194,"((x0 / (-1.0003778 + (-0.3425479 * cos(sin(sin(exp(-0.3425479 * (sin((log(1.0482423) / x0) * 0.9900566) + -0.4054698)) / x0)))))) * 1.266024)"
