Complexity,Loss,Equation
1,0.9999997,"-2.33167e-5"
3,0.00039094407,"(x0 * -0.9998072)"
5,0.0003909438,"((x0 / 3.2411551) * -3.2405457)"
6,0.0003909436,"((cos(-0.7511992) * x0) * -1.3679599)"
7,0.00039043688,"((x0 * -0.9996203) + (-0.00018343295 / x0))"
8,0.0003424138,"((cos(x0 * 0.15377218) * x0) * -1.0184455)"
9,0.0003314889,"(x0 * (-1.0176566 + ((x0 * 0.009950298) * x0)))"
10,0.0003084095,"((cos((-0.09206791 * x0) * x0) * x0) * -1.0184455)"
11,0.00028017894,"((cos(cos(0.565703 * x0) + -0.84249604) * x0) * -1.0091023)"
12,0.0002062686,"((cos((0.06746901 / 1.7934875) / (x0 + 1.7934875)) * x0) * -1.0091023)"
13,0.00012735023,"((cos(((0.010449482 / cos(x0)) * x0) + 0.06746901) * x0) * -1.0091023)"
14,0.00012734972,"((cos(((sin(0.010449482) / cos(x0)) * x0) + 0.06746901) * x0) * -1.0091023)"
15,0.00012361727,"((cos(((0.010449482 / cos(x0)) * x0) + (0.06746901 / 0.8243829)) * x0) * -1.0091023)"
16,0.00012352229,"((cos((sin(0.010449482 / cos(x0)) * x0) + (0.06746901 / 0.8243829)) * x0) * -1.0091023)"
17,9.5379444e-5,"((cos(((0.010449482 / cos(x0)) * 1.3002787) + (0.06746901 * (x0 + -0.6351588))) * x0) * -1.0091023)"
18,9.377139e-5,"((cos(sin(((0.010449482 / cos(x0)) * 1.3002787) + (0.06746901 * (x0 + -0.6351588)))) * x0) * -1.0091023)"
19,8.8592285e-5,"((cos(((0.010449482 / cos(x0)) * 1.3002787) + (0.06746901 * ((x0 * 0.76341826) + -0.6351588))) * x0) * -1.0091023)"
37,8.789822e-5,"((cos(((0.010449482 / cos((cos(((0.010449482 / cos(x0)) * 1.3002787) + (0.06746901 * ((1.812234 * 0.76341826) + -0.6351588))) * x0) * -1.0091023)) * 1.3002787) + (0.06746901 * ((x0 * 0.76341826) + -0.6351588))) * x0) * -1.0091023)"
40,7.4559284e-5,"((cos(sin(0.010449482 / cos(cos(((0.010449482 / cos(x0)) / x0) * ((cos(-0.055888377) / sin(sin(sin(sin(x0))))) * x0)) * x0)) + ((0.038860016 / cos(sin(cos(sin(sin(0.6854746)))))) * x0)) * x0) * -1.0091023)"
41,7.453265e-5,"((cos(sin(0.010449482 / cos(cos(((0.010449482 / sin(cos(x0))) / x0) * ((cos(-0.055888377) / sin(sin(sin(sin(x0))))) * x0)) * x0)) + ((0.038860016 / cos(sin(cos(sin(sin(0.6854746)))))) * x0)) * x0) * -1.0091023)"
