,x,eq_complex_1,eq_complex_3,eq_complex_5,eq_complex_6,eq_complex_7,eq_complex_8,eq_complex_10,eq_complex_19,eq_complex_21
0,0.054522615,-0.656975459053164,-0.656950065944244,-0.6569733352731254,-0.6588944707315576,-0.6610689219690122,-0.6625179038334318,-0.6641336683776978,-0.6625419137575058,-0.6625445483366315
1,0.059045225,-0.6490495219821971,-0.6490243840802331,-0.6490473766409544,-0.6509301314441708,-0.6530611177609591,-0.6544624664676271,-0.6559142469238398,-0.6545909214128044,-0.65459355599193
2,0.06356784,-0.6411235761486606,-0.6410986934539348,-0.6411214088039081,-0.6429661719499444,-0.6450541316414279,-0.6464066714288802,-0.6477032669319903,-0.6466323198914729,-0.6466349544705985
3,0.068090454,-0.6331976320676379,-0.6331730045800938,-0.6331954422633493,-0.6350026028006776,-0.6370479742341124,-0.6383505691497834,-0.6395004317811525,-0.6386656094065851,-0.6386682439857108
4,0.07261306,-0.625271702006727,-0.6252473297259132,-0.6252694892725864,-0.6270394363068115,-0.6290426579282946,-0.6302942119404845,-0.6313054615327659,-0.630690240103647,-0.6306928746827727
5,0.07713568,-0.6173457474106208,-0.6173216303373273,-0.6173435112612679,-0.6190766337184468,-0.6210381437841427,-0.6222376005334148,-0.623118037763368,-0.6227055670365592,-0.6227082016156849
6,0.08165829,-0.6094198103396539,-0.6093959484733166,-0.6094175502742811,-0.6111142372777426,-0.6130344742799768,-0.6141808176747775,-0.6149379385766823,-0.6147109939567567,-0.6147136285358822
7,0.0861809,-0.6014938732686871,-0.6014702666093056,-0.6014915887701916,-0.6031522293634255,-0.6050316317160397,-0.6061238856014683,-0.6067648929677801,-0.6067058471734413,-0.6067084817525669
8,0.09070352,-0.5935679186725809,-0.5935445672207197,-0.59356560920685,-0.595190592357658,-0.5970295983998883,-0.5980668265947365,-0.5985986417465751,-0.5986894540330506,-0.5986920886121762
9,0.09522613,-0.585641981601614,-0.5856188853567089,-0.5856396466169417,-0.5872293614542851,-0.5890284097182376,-0.5900097164144724,-0.5904389909768237,-0.5906612180518227,-0.5906638526309483
