,x,eq_complex_1,eq_complex_3,eq_complex_4,eq_complex_5,eq_complex_6,eq_complex_7,eq_complex_8,eq_complex_9,eq_complex_12,eq_complex_13,eq_complex_17,eq_complex_18,eq_complex_20,eq_complex_21,eq_complex_22
0,0.031146208,-0.6977959145702892,-0.6976902621748897,-0.6976959935429987,-0.6976903044358479,-0.6963560879061463,-0.6997619159899475,-0.6997619080244003,-0.7041730475169575,-0.7121043796583693,-0.7135299917052059,-0.7135176838783068,-0.7135146118688751,-0.7135084737719259,-0.7135054076801821,-0.7135023435567797
1,0.062292416,-0.6431384623668727,-0.6430428341482072,-0.6430480217307576,-0.6430428723994946,-0.6420707283418379,-0.6440877768643988,-0.6440877759676001,-0.6480803853483967,-0.6488760302255034,-0.650146412122829,-0.6501456182949201,-0.6501454198892969,-0.65014502313965,-0.6501448247956193,-0.6501446264721126
2,0.093438625,-0.588481008408589,-0.5883954043669795,-0.5884000481639537,-0.5883954386085961,-0.5877150289019997,-0.5891067370853882,-0.5891067368285718,-0.5926808225129369,-0.5920690375704672,-0.5932023930704989,-0.5932021989250683,-0.5932021503936229,-0.5932020533366258,-0.5932020048110737,-0.5932019562874858
3,0.12458483,-0.5338235614697733,-0.5337479816039323,-0.5337520816154004,-0.5337480118358786,-0.5332963572342091,-0.5342902227748876,-0.5342902226683581,-0.5374457851997363,-0.536433698577994,-0.5374329708750667,-0.5374328961348744,-0.5374328774508271,-0.5374328400839333,-0.5374328214010868,-0.5374328027186406
4,0.15573104,-0.4791661057566226,-0.4791005500681595,-0.479104106294034,-0.47910057629043484,-0.47882206124953747,-0.4795381812175344,-0.47953818116353886,-0.48227522057249633,-0.4812172210575982,-0.4820834396338883,-0.4820834033648027,-0.4820833942978312,-0.4820833761642481,-0.48208336709763644,-0.48208335803114477
5,0.18687725,-0.42450865004347194,-0.4244531185323866,-0.42445613097266754,-0.424453140744991,-0.42429951749233924,-0.42481802038130156,-0.4248180203502631,-0.42713653666637685,-0.42619795896218504,-0.4269316046247178,-0.42693158436213896,-0.4269315792966079,-0.42693156916568226,-0.42693156410028754,-0.42693155903493835
6,0.21802346,-0.3698511943303213,-0.36980568699661376,-0.36980815565130115,-0.36980570519954725,-0.36973609739609653,-0.3701159465186159,-0.370115946499163,-0.3720159397338044,-0.3712871987657016,-0.37188853499739905,-0.37188852255123606,-0.37188851943974577,-0.37188851321682564,-0.37188851010539586,-0.3718885069939863
7,0.24916966,-0.3151937561658405,-0.3151582730062923,-0.3151601978755607,-0.31515828719955613,-0.3151391929951977,-0.3154251379202536,-0.3154251379072683,-0.31690660819992905,-0.3164425145546471,-0.316911701454362,-0.3169116932696423,-0.3169116912234875,-0.316911687131208,-0.3169116850850833,-0.31691168303896855
8,0.28031588,-0.26053628290402,-0.26051082392506797,-0.2605122050085683,-0.26051083410865955,-0.260516128702438,-0.2607417648663146,-0.26074176485722,-0.2618047119417297,-0.26164099366353577,-0.26197813566910066,-0.2619781300026047,-0.26197812858599434,-0.2619781257527899,-0.26197812433619583,-0.26197812291960715
9,0.31146207,-0.2058788622882091,-0.20586342748019804,-0.205864264778454,-0.20586343365412124,-0.20587437118543161,-0.20606365899122578,-0.2060636589846105,-0.20670808326550144,-0.20686932101849598,-0.20707449028317745,-0.20707448619924848,-0.20707448517827412,-0.20707448313633484,-0.20707448211536994,-0.20707448109440815
