Complexity,Loss,Equation
1,0.000366728,"x0"
3,0.0003666941,"(x0 * 0.9998166)"
4,0.00036669406,"(x0 * cos(0.018625576))"
5,0.000366694,"(x0 + (x0 * -0.00018332664))"
6,0.0003573176,"(x0 * cos(0.048947737 * x0))"
7,0.00012574162,"(x0 + (-0.00063106196 / (x0 + 1.5727255)))"
8,0.00012572309,"(sin(-0.00063106196 / (x0 + 1.5727255)) + x0)"
9,0.00011096588,"((-0.00063106196 / (x0 + 1.5727255)) + (x0 * 1.0076572))"
12,4.3925327e-5,"(x0 + sin(sin((-8.661596e-5 / (exp(0.4294682) + x0)) / 0.026309514)))"
13,3.8915925e-5,"((x0 + sin((-8.661596e-5 / (exp(0.4294682) + x0)) / 0.026309514)) * 1.0024095)"
17,3.886866e-5,"((x0 + sin(sin(sin(sin(sin((-8.661596e-5 / (exp(0.4294682) + x0)) / 0.026309514)))))) * 1.0024095)"
18,3.8857946e-5,"((x0 + sin(sin(sin(sin(sin(sin((-8.661596e-5 / (exp(0.4294682) + x0)) / 0.026309514))))))) * 1.0024095)"
20,3.8837858e-5,"((x0 + sin(sin(sin(sin(sin(sin(sin(sin((-8.661596e-5 / (exp(0.4294682) + x0)) / 0.026309514))))))))) * 1.0024095)"
21,3.8828464e-5,"((x0 + sin(sin(sin(sin(sin(sin(sin(sin(sin((-8.661596e-5 / (exp(0.4294682) + x0)) / 0.026309514)))))))))) * 1.0024095)"
22,3.881946e-5,"((x0 + sin(sin(sin(sin(sin(sin(sin(sin(sin(sin((-8.661596e-5 / (exp(0.4294682) + x0)) / 0.026309514))))))))))) * 1.0024095)"
