Complexity,Loss,Equation
1,0.9999998,"1.6228289e-6"
3,0.9244714,"sin(exp(x0))"
4,0.45390546,"sin(2.3664432 * x0)"
6,0.40129527,"sin((1.5701282 + x0) * x0)"
8,0.3702127,"(sin(exp(x0) * sin(x0)) / 0.677696)"
9,0.25436354,"(exp(x0) * sin(exp(1.2119287) * sin(x0)))"
11,0.25358608,"(exp(x0 + 0.12180586) * sin(exp(1.2119287) * sin(x0)))"
12,0.24835159,"(sin(exp(sin(x0)) * x0) / cos(cos(x0) * -1.2941824))"
13,0.24810703,"(sin(exp(sin(x0)) * x0) / cos(cos(x0) / cos(-0.7069878)))"
14,0.21152511,"(sin(exp(sin(x0)) * x0) / cos(sin(0.5749065 / x0) + 0.23555307))"
15,0.1809971,"(sin(exp(sin(x0)) * x0) / cos(sin(0.53539014 / x0) + cos(1.2031764)))"
16,0.16206531,"(sin(sin(exp(sin(x0)) * x0)) / cos(sin(0.53539014 / x0) + cos(1.2031764)))"
18,0.13907976,"(sin(exp(x0) * sin((exp(sin(cos(-0.6799447) / x0)) * x0) + -0.21075347)) / exp(-0.6799447))"
19,0.12002393,"(sin(exp(x0) * sin((exp(sin(cos(sin(cos(-0.41468143))) / x0)) * x0) + -0.15854488)) * 2.0079658)"
20,0.0994002,"((sin(exp(x0) * sin((exp(sin(0.6786925 / x0)) * x0) + -0.15854488)) / cos(cos(x0))) * 1.2814286)"
21,0.07675293,"(sin(exp(x0) * sin((exp(sin(sin(0.6694917) / x0)) * x0) + -0.21245682)) / (cos(cos(x0)) + -0.21245682))"
22,0.07083876,"(sin(exp(x0) * sin((exp(sin(cos(exp(-0.18610379)) / x0)) * x0) + -0.21245682)) / (cos(cos(x0)) + -0.21072373))"
23,0.07081983,"(sin(exp(x0) * sin((exp(sin(cos(exp(-0.18610379)) / x0)) * x0) + -0.21245682)) / (cos(cos(x0)) + sin(-0.21072373)))"
24,0.070776105,"(sin(exp(x0) * sin((exp(sin(sin(cos(log(cos(1.0760466)))) / x0)) * x0) + -0.21245682)) / (cos(cos(x0)) + -0.21072373))"
25,0.07074715,"(sin(exp(x0) * sin((exp(sin(sin(cos(log(cos(1.0760466)))) / x0)) * x0) + -0.21245682)) / (cos(cos(x0)) + sin(-0.21072373)))"
27,0.060975224,"(sin(exp(x0) * sin((exp(sin(((cos(x0) / x0) / 1.4073484) + -0.06917332) * 1.4073484) * x0) + -0.37278143)) / (cos(cos(x0)) / 1.3459212))"
28,0.06097165,"(sin(exp(x0) * sin((exp(sin(((cos(x0) / x0) / 1.4073484) + sin(-0.06917332)) * 1.4073484) * x0) + -0.37278143)) / (cos(cos(x0)) / 1.3459212))"
29,0.05874049,"(sin(exp(x0) * sin((exp(sin(sin(cos(cos(sin(exp(exp(cos(x0)) + x0))))) / x0)) * x0) + -0.21245682)) / (cos(cos(x0)) + -0.21245682))"
30,0.051458143,"(sin(exp(x0) * sin((exp((sin(sin((cos(x0) / x0) / 1.4073484) + -0.06917332) * 1.4073484) * 1.4073484) * x0) + -0.37278143)) / (cos(cos(x0)) / 1.3459212))"
32,0.050463744,"(sin(exp(x0) * sin((exp((sin(sin((cos(x0) / x0) / 1.4073484) + -0.06917332) * 1.4073484) * 1.4073484) * x0) + -0.37278143)) / (cos(cos(-0.06917332 + x0)) / 1.3459212))"
33,0.050041746,"(sin(exp(x0) * sin((exp((sin(sin(sin((cos(x0) / x0) / 1.4073484) + -0.06917332)) * 1.4073484) * 1.4073484) * x0) + -0.37278143)) / (cos(cos(-0.06917332 + x0)) / 1.3459212))"
34,0.039286304,"(sin(exp(x0) * sin((exp(((sin((cos(x0) / x0) / 1.4073484) + -0.06917332) * 1.4073484) * 1.4073484) * x0) + -0.37278143)) / (cos(sin(cos(0.90327024) * (-0.8495041 / x0))) / 1.4474913))"
35,0.037320714,"(sin(exp(x0) * sin((exp((sin(sin((cos(x0) / x0) / 1.4073484) + -0.06917332) * 1.4073484) * 1.4073484) * x0) + -0.37278143)) / (cos(sin((cos(-0.8495041) / x0) * -0.8495041)) / 1.3459212))"
