Complexity,Loss,Equation
1,0.9999998,"-3.849975e-6"
3,0.9244714,"sin(exp(x0))"
4,0.45436975,"sin(x0 / 0.41770658)"
5,0.45434818,"sin(exp(0.8500331) * x0)"
6,0.40603805,"sin((x0 + 1.4753742) * x0)"
8,0.37003756,"(sin(exp(x0) * sin(x0)) / 0.6494108)"
9,0.35560215,"((sin(exp(x0)) * x0) * exp(cos(x0)))"
10,0.28160495,"(sin(exp(x0) * sin(x0 / 0.71755993)) / 0.5423412)"
11,0.27374032,"(sin(sin(exp(x0) * sin(x0))) * exp(cos(x0)))"
12,0.2434092,"(sin(exp(x0) * sin(x0)) / cos(cos(x0) * -1.3023849))"
14,0.17813997,"(sin(exp(sin(x0)) * x0) / cos(sin(0.51949924 / x0) + 0.35739216))"
15,0.1620108,"(sin(sin(exp(sin(x0)) * x0)) / cos(sin(0.55332506 / x0) + 0.37668288))"
16,0.15042074,"((sin(exp(sin(x0)) * x0) / cos(sin(0.5376255 / x0) + 0.43872446)) * 0.7602446)"
17,0.14790903,"((sin(sin(exp(sin(x0)) * x0)) / cos(sin(0.5292627 / x0) + 0.4426877)) / 1.3009006)"
18,0.1226235,"(((sin(exp(sin(x0)) * x0) / cos(sin(0.5292627 / x0) + 0.4426877)) + -0.1274361) / 1.3009006)"
19,0.09765181,"((sin(exp(sin(x0)) * x0) / cos(sin(0.55332506 / x0) + 0.39892855)) + log(cos(cos(x0))))"
20,0.08317639,"((sin(sin(exp(sin(x0)) * x0)) / cos(sin(0.55332506 / x0) + 0.39892855)) + log(cos(cos(x0))))"
22,0.074874654,"((sin(sin(exp(sin(x0)) * x0)) / cos(sin(0.528128 / x0) + (0.25509003 / 0.56834996))) + log(cos(cos(x0))))"
23,0.059456628,"(((sin(exp(sin(x0)) * x0) / cos(sin(0.528128 / x0) + (0.25509003 / 0.56834996))) + log(cos(cos(x0)))) / 1.1773629)"
24,0.04555629,"((sin(exp(sin(sin(x0))) * x0) / cos(sin(0.5292627 / x0) + 0.4426877)) + (sin(x0 + cos(0.39698097)) * log(0.5292627)))"
25,0.041539658,"((sin(exp(sin(sin(x0))) * x0) / cos(sin(sin(0.5292627) / x0) + 0.4426877)) + (sin(x0 + cos(0.39698097)) * log(0.49427444)))"
26,0.03873848,"((sin(exp(sin(sin(x0))) * x0) / cos(sin(0.528128 / x0) + 0.43872446)) + (sin(cos(-0.2776508) + x0) / log(0.43872446 + -0.1515966)))"
28,0.037419554,"((sin(exp(sin(sin(x0))) * x0) / cos(sin(sin(sin(0.56834996)) / x0) + (sin(0.25509003) / 0.56834996))) + (sin(x0 + cos(0.25509003)) * -0.7395353))"
29,0.037406754,"((sin(exp(sin(sin(x0))) * x0) / cos(sin(sin(sin(0.56834996)) / x0) + (sin(0.25509003) / 0.56834996))) + (sin(x0 + cos(sin(0.25509003))) * -0.7395353))"
30,0.037394743,"((sin(exp(sin(sin(x0))) * x0) / cos(sin(sin(sin(0.56834996)) / x0) + (sin(0.25509003) / 0.56834996))) + (sin(x0 + cos(sin(sin(0.25509003)))) * -0.7395353))"
31,0.03430918,"((sin(exp(sin(sin(x0))) * x0) / cos(sin(0.528128 / x0) + (0.25509003 / 0.56834996))) + ((sin(x0) + cos(x0)) * log(sin(sin(sin(cos(cos(x0))))))))"
33,0.033028696,"((sin(exp(sin(sin(x0))) * x0) / cos(sin(0.528128 / x0) + (0.25509003 / 0.56834996))) + ((sin(sin(x0)) + cos(x0)) * log(sin(sin(sin(cos(cos(sin(x0)))))))))"
36,0.032846924,"((sin(exp(sin(sin(x0))) * x0) / cos(sin(0.528128 / x0) + (0.25509003 / 0.56834996))) + ((sin(sin(sin(sin(x0)))) + cos(x0)) * log(sin(sin(sin(sin(cos(cos(sin(x0))))))))))"
40,0.03247872,"((sin(exp(sin(sin(x0))) * x0) / cos(sin(0.528128 / x0) + (0.25509003 / 0.56834996))) + ((sin(sin(sin(sin(x0 / sin(0.8808869))))) + cos(x0)) * log(sin(sin(sin(cos(cos(sin(sin(sin(x0)))))))))))"
41,0.030757478,"((sin(exp(sin(sin(sin(sin(x0) * 1.3800939)))) * x0) / cos(sin(sin(cos(cos(-0.014089433))) / x0) + (0.26007748 / 0.59294784))) + ((sin(exp(x0)) + (x0 + 0.5376255)) * log(sin(sin(cos(cos(x0 + x0)))))))"
42,0.028173173,"((sin(exp(sin(sin(sin(sin(x0)) * 1.3800939))) * x0) / cos(sin(sin(cos(cos(-0.014089433))) / x0) + (0.26007748 / 0.59294784))) + ((sin(exp(x0)) + (x0 + 0.5376255)) * log(sin(sin(cos(sin(cos(x0 + x0))))))))"
45,0.028101023,"((sin(exp(sin(sin(sin(sin(x0) * 1.4201077)))) * x0) / cos(sin(sin(sin(cos(cos(0.21192415)))) / x0) + (sin(0.21192415) / 0.4816493))) + ((sin(exp(x0)) + (x0 + sin(0.57824945))) * sin(log(sin(sin(cos(cos(x0 + x0))))))))"
46,0.027101416,"((sin(exp(sin(sin(sin(sin(x0) * 1.4201077)))) * x0) / cos(sin(sin(sin(cos(cos(0.21192415)))) / x0) + (0.21192415 / 0.4816493))) + ((sin(exp(x0)) + (x0 + 0.57824945)) * sin(log(sin(sin(cos(cos(sin(x0) + (x0 / 0.7103003)))))))))"
47,0.026740598,"((sin(exp(sin(sin(sin(sin(x0) * 1.4201077)))) * x0) / cos(sin(sin(sin(cos(cos(0.21192415)))) / x0) + (sin(0.21192415) / 0.4816493))) + ((sin(exp(x0)) + (x0 + 0.57824945)) * sin(log(sin(sin(cos(cos(sin(x0) + (x0 / 0.7103003)))))))))"
48,0.02660149,"((sin(exp(sin(sin(sin(sin(x0) * 1.4201077)))) * x0) / cos(sin(sin(sin(cos(cos(0.21192415)))) / x0) + (sin(0.21192415) / 0.4816493))) + ((sin(exp(x0)) + (x0 + sin(0.57824945))) * sin(log(sin(sin(cos(cos(sin(x0) + (x0 / 0.7103003)))))))))"
49,0.026552415,"((sin(exp(sin(sin(sin(sin(x0) * 1.4201077)))) * x0) / cos(sin(sin(sin(cos(cos(0.21192415)))) / x0) + (sin(0.21192415) / 0.4816493))) + ((sin(exp(x0)) + (x0 + sin(0.57824945))) * sin(sin(log(sin(sin(cos(cos(sin(x0) + (x0 / 0.7103003))))))))))"
51,0.01931529,"((sin(exp(sin(sin(sin(sin(x0) * 1.6458241)))) * x0) / cos(sin(sin(sin(cos(cos(cos(sin(sin(cos(-0.675959) / x0)) + 0.94178635))))) / x0) + (0.21192415 / 0.4816493))) + ((sin(exp(x0)) + (x0 + 0.57824945)) * sin(log(sin(sin(cos(cos(x0 + x0))))))))"
52,0.018591419,"((sin(exp(sin(sin(sin(sin(x0) * 1.6458241)))) * x0) / cos(sin(sin(sin(cos(cos(cos(sin(sin(cos(-0.675959) / x0)) + 0.94178635))))) / x0) + (0.21192415 / 0.4816493))) + ((sin(exp(x0)) + (x0 + 0.57824945)) * sin(sin(log(sin(sin(cos(cos(x0 + x0)))))))))"
55,0.018102825,"((sin(exp(sin(sin(sin(x0)))) * x0) / cos(sin(sin(cos(cos(cos(sin(0.77042 / x0) + sin(exp(0.72506106))))) / 1.1006806) / x0) + (0.18018617 / 0.4050026))) + ((sin(exp(x0) + (0.04979305 / 0.87267697)) + (x0 + 0.5274599)) * log(sin(cos(cos(sin(x0) + (x0 / cos(0.875929))))))))"
56,0.018102778,"((sin(exp(sin(sin(sin(x0)))) * x0) / cos(sin(sin(cos(cos(cos(sin(0.77042 / x0) + sin(exp(0.72506106))))) / 1.1006806) / x0) + (0.18018617 / 0.4050026))) + ((sin(exp(x0) + (sin(0.04979305) / 0.87267697)) + (x0 + 0.5274599)) * log(sin(cos(cos(sin(x0) + (x0 / cos(0.875929))))))))"
57,0.018074958,"((sin(exp(sin(sin(sin(sin(x0) * 1.4201077)))) * x0) / cos(sin(sin(sin(cos(cos(cos(sin(sin(cos(0.7056674) / x0)) + cos(0.21192415)))))) / x0) + (sin(0.21192415) / 0.4816493))) + ((sin(exp(x0)) + (x0 + 0.57824945)) * sin(sin(log(sin(sin(cos(cos(sin(x0) + (x0 / 0.7103003))))))))))"
59,0.018073864,"((sin(exp(sin(sin(sin(sin(x0) * 1.4201077)))) * x0) / cos(sin(sin(sin(cos(cos(cos(sin(sin(cos(0.7056674) / x0)) + cos(0.21192415)))))) / x0) + (sin(0.21192415) / 0.4816493))) + ((sin(exp(x0)) + ((x0 / 0.9929365) + 0.57824945)) * sin(sin(log(sin(sin(cos(cos(sin(x0) + (x0 / 0.7103003))))))))))"
62,0.017741393,"((sin(exp(sin(sin(sin(sin(x0) * 1.4201077)))) * x0) / cos(sin(sin(sin(cos(cos(cos(sin(sin(cos(cos(0.7056674)) / x0)) + sin((x0 + 0.57824945) + 0.17322202)))))) / x0) + (0.21192415 / 0.4816493))) + ((sin(exp(x0)) + (x0 + 0.57824945)) * sin(sin(sin(log(sin(sin(cos(cos(sin(x0) + (x0 / 0.7103003)))))))))))"
63,0.016573478,"((sin(exp(sin(sin(sin(sin(x0) * 1.4201077)))) * x0) / cos(sin(sin(sin(sin(cos(cos(cos(sin(sin(cos(0.7056674) / x0)) + cos((-0.15544955 * x0) * -0.15544955)) / -0.65661585))))) / x0) + (0.21192415 / 0.4816493))) + ((sin(exp(x0)) + (x0 + 0.57824945)) * sin(sin(log(sin(sin(cos(cos(sin(x0) + (x0 / 0.7103003))))))))))"
