Complexity,Loss,Equation
1,0.9999998,"-9.524386e-6"
3,0.9244714,"sin(exp(x0))"
4,0.45390552,"sin(2.3664393 * x0)"
6,0.43949112,"sin(exp(sin(x0)) * x0)"
8,0.36983436,"(sin(exp(x0) * sin(x0)) * 1.5114675)"
9,0.35560215,"((sin(exp(x0)) * x0) * exp(cos(x0)))"
10,0.2936601,"(sin(exp(x0) * sin(x0)) * exp(cos(x0)))"
11,0.27374032,"(sin(sin(exp(x0) * sin(x0))) * exp(cos(x0)))"
12,0.24823868,"(sin(exp(sin(x0)) * x0) / cos(cos(x0) / -0.7714454))"
14,0.2389688,"(sin(sin(exp(sin(x0)) * x0)) / cos(sin(exp(x0)) + 0.21484783))"
15,0.23074202,"(sin(exp(sin((0.5629554 / x0) + x0)) * x0) / cos(sin(exp(x0))))"
16,0.1846974,"(sin(exp(sin((0.5629554 / x0) + x0)) * x0) / cos(cos(x0) + 0.21484783))"
17,0.17810105,"(sin(exp(sin((0.5629554 / x0) + sin(x0))) * x0) / cos(cos(x0) + 0.21484783))"
18,0.16120033,"(sin((exp(sin((0.5629554 / x0) + x0)) * x0) + -0.058443822) / cos(cos(x0) + 0.21484783))"
19,0.15414481,"(sin((exp(sin((0.5629554 / x0) + sin(x0))) * x0) + -0.058443822) / cos(cos(x0) + 0.21484783))"
20,0.12026311,"((sin((exp(sin(x0)) + -0.24187784) * x0) + -0.13049418) / cos(cos(x0) / cos(sin(sin(exp(x0))))))"
21,0.12000824,"((sin((exp(sin(x0)) + sin(-0.24187784)) * x0) + -0.13049418) / cos(cos(x0) / cos(sin(sin(exp(x0))))))"
22,0.10725924,"((sin((exp(sin(sin(x0) + sin(0.7603762 / x0))) + -0.24187784) * x0) + -0.1087957) / (cos(cos(x0)) + -0.2664024))"
23,0.1057593,"((sin((exp(sin(sin(x0) + sin(cos(0.7603762) / x0))) + -0.2664024) * x0) + -0.1087957) / (cos(cos(x0)) + -0.2664024))"
24,0.100216016,"((sin((exp(sin(x0)) + -0.22768216) * x0) + -0.18030989) / cos(cos(x0) / cos(cos(cos(cos((-0.79502904 + x0) + x0))))))"
25,0.09556648,"((sin((exp(sin(x0)) + -0.22768216) * x0) + -0.18030989) / cos(cos(x0) / cos(cos(sin(cos(cos((-0.79502904 + x0) + x0)))))))"
26,0.074694745,"((sin((exp(sin(x0)) + -0.22768216) * x0) + -0.18030989) / cos((cos(x0) / 0.9784032) / cos(cos(cos(cos((-0.79502904 + x0) + x0))))))"
29,0.06988498,"((sin(sin((exp(sin(sin(0.7603762 / x0) + sin(x0))) + -0.1870294) * x0)) + -0.18030989) / cos(cos(x0) / cos(sin(sin(cos(-0.1870294) + x0)))))"
30,0.06267766,"(((sin((exp(sin(x0)) + sin(-0.24187784)) * x0) + -0.1087957) + sin(-3.0570056)) / cos(cos(sin(x0) * x0) / cos(sin(sin((1.0338275 + x0) + x0)))))"
31,0.061043702,"(((sin((exp(sin(sin(x0) + sin(0.7603762 / x0))) + -0.24187784) * x0) + -0.13049418) + -0.1087957) / cos(cos(x0) / cos(sin(sin((0.7603762 + x0) + x0)))))"
32,0.054757576,"(((sin((exp(sin(sin(x0) + sin(sin(0.7603762 / x0)))) + -0.24187784) * x0) + -0.13049418) + -0.1087957) / cos(cos(x0) / cos(sin(sin((0.7603762 + x0) + x0)))))"
33,0.050415583,"(((sin((exp(sin(sin(x0) + sin(sin(sin(0.7603762 / x0))))) + -0.24187784) * x0) + -0.13049418) + -0.1087957) / cos(cos(x0) / cos(sin(sin((0.7603762 + x0) + x0)))))"
34,0.047709353,"(((sin((exp(sin(sin(x0) + sin(sin(sin(sin(0.7603762 / x0)))))) + -0.24187784) * x0) + -0.13049418) + -0.1087957) / cos(cos(x0) / cos(sin(sin((0.7603762 + x0) + x0)))))"
35,0.0417075,"(((sin((exp(sin(sin(x0) + sin(sin(sin(0.7603762 / x0))))) + -0.24187784) * x0) + -0.13049418) + -0.1087957) / cos(cos(x0) / cos(sin(sin(sin(exp(x0)) + (x0 * 1.7319282))))))"
36,0.03929031,"(((sin((exp(sin(sin(x0) + sin(sin(sin(sin(0.7603762 / x0)))))) + -0.24187784) * x0) + -0.13049418) + -0.1087957) / cos(cos(x0) / cos(sin(sin(sin(exp(x0)) + (x0 * 1.7319282))))))"
37,0.03807074,"(((sin((exp(sin(sin(x0) + sin(sin(sin(sin(sin(0.7603762 / x0))))))) + -0.24187784) * x0) + -0.13049418) + -0.1087957) / cos(cos(x0) / cos(sin(sin(sin(exp(x0)) + (x0 * 1.7319282))))))"
39,0.036648586,"(((sin((exp(sin((x0 / 1.5685319) + sin(cos(0.7603762) / x0))) + -0.24187784) * x0) + -0.13049418) + -0.1087957) / cos(cos(x0) / cos(sin(sin((cos(1.002686) + sin(x0 + (x0 / 0.55197656))) + x0)))))"
41,0.034279287,"(((sin(((exp(sin((x0 / 1.5685319) + sin(cos(0.7603762) / x0))) + sin(-0.07561274)) + -0.24187784) * x0) + -0.13049418) + -0.1087957) / cos(cos(x0) / cos(sin(sin((exp(log(0.63084835)) + sin(x0 + x0)) + x0)))))"
42,0.032975297,"(((sin(((exp(sin((x0 / 1.5685319) + sin(cos(0.7603762) / x0))) + sin(-0.07561274)) + -0.24187784) * x0) + -0.13049418) + -0.1087957) / cos(cos(x0) / cos(sin(sin((exp(log(0.63084835)) + sin(x0 + x0)) + sin(x0))))))"
43,0.0321121,"(((sin((exp(sin((x0 / 1.5685319) + sin(sin(sin(cos(cos(sin(cos(0.26736113) / x0))) / x0))))) + -0.33076602) * x0) + -0.13049418) + sin(-0.1087957)) / sin(cos(cos(x0) / cos(sin(sin((sin(1.0338275) + x0) + x0))))))"
44,0.030683203,"(((sin((exp(sin((x0 / 1.5685319) + sin(sin(sin(cos(cos(sin(cos(0.26736113) / x0))) / sin(x0)))))) + -0.33076602) * x0) + -0.13049418) + sin(-0.1087957)) / sin(cos(cos(x0) / cos(sin(sin((sin(1.0338275) + x0) + x0))))))"
45,0.028762134,"(((sin((exp(sin((x0 / 1.5685319) + sin(sin(sin(cos(cos(sin(cos(0.26736113) / x0))) / sin(sin(x0))))))) + -0.33076602) * x0) + sin(-0.1087957)) + -0.1087957) / sin(cos(cos(x0) / cos(sin(sin((sin(1.0338275) + x0) + x0))))))"
47,0.027724488,"(((sin((exp(sin((x0 / 1.5685319) + sin(sin(sin(sin(cos(cos(sin(cos(0.26736113) / x0))) / sin(sin(x0)))))))) + -0.33076602) * x0) + sin(-0.1087957)) + sin(-0.1087957)) / sin(cos(cos(x0) / cos(sin(sin((sin(1.0338275) + x0) + x0))))))"
51,0.025255488,"((((sin((exp(sin(sin(x0) + sin(sin(cos(sin((exp(sin(-0.81448996)) / x0) + x0)) / sin(x0))))) + (-0.24187784 + -0.13049418)) * x0) / 1.0409061) + -0.13049418) + -0.1087957) / sin(sin(cos(cos(x0) / cos(sin(sin((sin(sin(1.0338275 + x0)) + x0) + x0)))))))"
54,0.024999443,"(((sin((exp(sin(sin(x0) + sin(sin(sin(sin(sin(cos(sin(sin((exp(sin(-0.81448996)) / x0) + 0.29101035))) / x0)) + 0.084336676))))) + (-0.24187784 + -0.13049418)) * x0) + -0.1087957) + -0.1087957) / sin(sin(sin(cos(cos(x0) / cos(sin(sin((sin(1.0338275 + x0) + x0) + x0))))))))"
55,0.023824094,"(((sin((exp(sin(sin(x0) + sin(sin(sin(sin(sin(cos(sin(sin((exp(sin(-0.81448996)) / x0) + 0.29101035))) / x0)) + 0.084336676))))) + (-0.24187784 + -0.13049418)) * x0) + -0.1087957) + -0.1087957) / sin(sin(cos(cos(x0 * 0.9417664) / cos(sin(sin((sin(1.0338275 + x0) + x0) + x0)))))))"
56,0.023219578,"((((sin((exp(sin(sin(x0) + sin(sin(sin(cos(sin(exp(sin(-0.81448996 + x0)) / x0)) / x0) + 0.084336676)))) + (sin(-0.24187784) + -0.13049418)) * x0) / 1.0409061) + -0.1087957) + -0.1087957) / sin(sin(sin(cos(cos(x0) / cos(sin(sin((sin(sin(1.0338275) + x0) + x0) + sin(x0)))))))))"
60,0.02275221,"((((sin((exp(sin(sin(x0) + sin(sin(sin(cos(sin((exp(sin(sin(-0.81448996 + x0))) / x0) * 0.9962834)) / x0) + 0.22925903) * 0.89763975))) + (sin(-0.24187784) + -0.13049418)) * x0) / 1.0409061) + -0.1087957) + -0.1087957) / sin(sin(cos(cos(x0) / cos(sin(sin((sin(sin(1.0338275) + x0) + x0) + sin(x0))))))))"
61,0.021579249,"((((sin((exp(sin(sin(x0) + sin(sin(sin(cos(sin((exp(sin(sin(sin(-0.81448996) + x0))) / x0) * 0.9962834)) / x0) + 0.22925903) * 0.89763975))) + (sin(-0.24187784) + -0.13049418)) * x0) / 1.0409061) + -0.1087957) + -0.1087957) / sin(sin(cos(cos(x0) / cos(sin(sin((sin(sin(1.0338275) + x0) + x0) + sin(x0))))))))"
64,0.021517236,"((((sin((exp(sin(sin(x0) + sin(sin(sin(sin(cos(sin((exp(sin(-0.81448996) + x0) / x0) + (-0.25214213 * x0))) / x0)) + 0.084336676)))) + (sin(sin(-0.24187784)) + -0.13049418)) * x0) / 1.0409061) + -0.1087957) + -0.1087957) / sin(sin(sin(cos(cos(x0) / cos(sin(sin((sin(sin(sin(1.0338275)) + x0) + x0) + sin(sin(x0))))))))))"
71,0.018730659,"(((sin(((exp(sin(((x0 / 1.5685319) * sin(1.2973464)) + sin(sin(sin(sin(sin(sin(sin(cos(sin(exp(sin(sin(log(exp(1.0008113)) / x0))))) / x0))) + x0)) + 0.22160605)))) + sin(sin(-0.24187784 + sin(-0.069524445)))) * x0) + -0.13049418) + -0.069524445) / cos(cos(x0) / cos(sin(sin((sin(exp(x0)) + x0) + (x0 + 0.00018614995)))))) + ((sin(-0.06372583) / 0.76913565) * exp(x0)))"
73,0.018598506,"(((sin(((exp(sin((sin(x0 / 1.5685319) * sin(1.2973464)) + sin(sin(sin(sin(sin(sin(sin(cos(sin(exp(sin(sin(log(exp(1.0008113)) / x0))))) / x0))) + x0)) + 0.22160605)))) + sin(sin(-0.24187784 + sin(-0.069524445)))) * x0) + -0.13049418) + -0.069524445) / cos(cos(x0) / cos(sin(sin((sin(exp(x0)) + x0) + (x0 + 0.00018614995)))))) + ((sin(sin(-0.06372583)) / 0.76913565) * exp(x0)))"
