Complexity,Loss,Equation
1,2.8823544e-5,"x0"
3,2.8823337e-5,"(x0 * 0.9999856)"
5,2.8773144e-5,"((1.7538667e-5 / x0) + x0)"
6,2.6996153e-5,"(x0 + (0.002004867 * cos(x0)))"
7,2.478133e-5,"(x0 + (sin(exp(x0)) * 0.0028683974))"
8,2.1481997e-5,"(x0 + (0.0037554258 * cos(x0 + x0)))"
9,2.1389118e-5,"(x0 + (sin(cos(1.9754903 * x0)) * 0.0040540076))"
10,2.0706646e-5,"(x0 + (cos(-0.3198866 + (x0 + x0)) * 0.0040540076))"
13,2.0286752e-5,"(x0 + (0.0040540076 * cos((x0 + x0) + (-0.2366134 / exp(x0)))))"
16,2.0240734e-5,"(x0 + ((sin(exp(cos(-0.18665655) + x0) + (1.3984634 + x0)) * 0.0040540076) * x0))"
17,1.6877008e-5,"(x0 + (sin(sin(exp(cos(-0.330099) + x0)) + (0.6126427 + (x0 + x0))) * 0.0040540076))"
19,1.673914e-5,"(x0 + (sin(sin(exp(cos(-0.4591809 / -1.2472724) + x0)) + (0.6126427 + (x0 + x0))) * 0.0040540076))"
