Complexity,Loss,Equation
1,2.8823544e-5,"x0"
3,2.8823542e-5,"(3.6670826e-9 + x0)"
4,2.8823384e-5,"(x0 * cos(0.0066019027))"
5,2.8773155e-5,"(x0 + (1.76046e-5 / x0))"
6,2.6148942e-5,"(x0 / exp(0.0012185796 * x0))"
7,2.4769639e-5,"(x0 + (sin(exp(x0)) * 0.0030313844))"
8,2.1480177e-5,"(x0 + (cos(x0 + x0) * 0.0036226648))"
9,2.0724181e-5,"(x0 + (-0.0050901407 * cos(exp(sin(exp(x0))))))"
10,2.0352258e-5,"(x0 + (-0.0050901407 * sin(cos(exp(sin(exp(x0)))))))"
11,2.0266027e-5,"(x0 + (-0.0050901407 * sin(sin(cos(exp(sin(exp(x0))))))))"
12,1.8536148e-5,"(x0 + (-0.0050901407 * sin(cos(exp(sin(exp(x0)))) / 0.3085279)))"
13,1.7991919e-5,"(x0 + (-0.0050901407 * sin(sin(cos(exp(sin(exp(x0))))) / 0.3085279)))"
14,1.7899274e-5,"(x0 + (-0.0050901407 * sin(sin(sin(cos(exp(sin(exp(x0))))) / 0.3085279))))"
19,1.7554634e-5,"(x0 + (-0.0050901407 * sin(sin(cos(exp(sin(exp(x0))))) + sin(sin(cos(exp(exp(sin(x0)))))))))"
