Complexity,Loss,Equation
1,0.9999998,"1.5403629e-6"
3,0.97108245,"(x0 * -0.17002045)"
4,0.55162895,"sin(x0 / -0.24924724)"
5,0.09517176,"sin(log(0.007885726) * x0)"
6,0.095171735,"sin(log(sin(0.007885726)) * x0)"
7,0.026899258,"(sin(log(0.007996597) * x0) * 1.361171)"
8,0.026899248,"(sin(log(sin(0.007996597)) * x0) * 1.361171)"
9,0.026758645,"(sin((log(0.007996597) * x0) + 0.007996597) * 1.361171)"
10,0.026758632,"(sin((log(sin(0.007996597)) * x0) + 0.007996597) * 1.361171)"
11,0.026327658,"(sin(log(0.007996597) * x0) * (1.361171 + (0.019034892 * x0)))"
12,0.00823755,"((sin(sin(log(0.007946101) * x0) + 0.7210555) + -0.5000158) / 0.48948178)"
14,0.005261287,"((sin((sin(log(0.008062778) * x0) + 0.7210555) / 1.076537) + -0.5000158) / 0.48948178)"
15,0.004906338,"((sin((sin(log(0.007946101) * x0) + 0.7210555) / 1.076537) + sin(-0.5000158)) / 0.48948178)"
17,0.004478871,"((sin(log(0.007950354) * x0) / cos(cos(sin(log(0.007950354) * x0) + 0.8469994))) + 0.25035214)"
18,0.0030012266,"((sin(log(0.007950354) * x0) / cos(cos(sin(sin(log(0.007950354) * x0)) + 1.0265073))) + 0.25035214)"
19,0.0021707357,"((sin(log(0.007950354) * x0) / cos(cos(sin(sin(log(0.008062778) * x0)) + exp(0.008062778)))) + 0.21898592)"
20,0.0017125927,"((sin(log(0.007950354) * x0) / cos(cos(sin(sin(sin(log(0.007950354) * x0))) + cos(-0.22750024)))) + 0.21898592)"
21,0.0009964182,"((sin(log(0.007950354) * x0) / cos(cos(((sin(log(0.008062778) * x0) + 0.31698614) + 0.94800913) / -1.4640303))) + 0.21898592)"
22,0.00091237505,"((sin(log(0.007950354) * x0) / cos(cos(((sin(log(0.008062778) * x0) + exp(-0.012662227)) + 0.31698614) / -1.4640303))) + 0.21898592)"
23,0.0009121548,"((sin(log(0.007950354) * x0) / cos(cos(((sin(log(0.008062778) * x0) + exp(-0.012662227)) + sin(0.31698614)) / -1.4640303))) + 0.21898592)"
26,0.0009033456,"((sin(log(0.007950354) * x0) / cos(cos(((sin(log(0.008062778) * x0) + exp(-0.012662227 * (x0 * x0))) + 0.31698614) / -1.4640303))) + 0.21898592)"
29,0.0006756952,"((sin(log(0.007950354) * x0) / cos(cos(((sin(log(0.007950354) * x0) + cos(cos(sin(log(0.007950354) * (x0 + x0))))) + 0.5512854) / -1.4640303))) + 0.21898592)"
31,0.0006509084,"((sin(log(0.007950354) * x0) / cos(cos(((sin(log(0.007950354) * x0) + cos(cos(sin(log(0.007950354) * (x0 + x0)) + 0.081489846))) + 0.5512854) / -1.4640303))) + 0.21898592)"
34,0.00057264924,"(((sin(log(0.007946101) * x0) + sin(0.050225686)) / cos(cos((sin(log(0.007946101) * x0) / 1.2236719) + cos(sin(cos((sin(log(0.007946101) * x0) + 1.2236719) + exp(0.007946101))))))) + 0.14499275)"
36,0.0005615952,"(((sin(log(0.007946101) * x0) + sin(0.050225686)) / cos(cos((sin(log(0.007946101) * x0) / 1.2236719) + cos(sin(cos((sin(log(0.007946101) * x0) + 1.2236719) + exp(2.1557581 + -0.72615516))))))) + 0.14499275)"
37,0.0005580303,"(((sin(log(0.007946101) * x0) + 0.050225686) / cos(cos((sin(log(0.007946101) * x0) / 1.2236719) + cos(sin(cos(((sin(log(0.007946101) * x0) + sin(0.050225686)) + 1.2236719) + exp(sin(0.007946101)))))))) + 0.14499275)"
