Complexity,Loss,Equation
1,0.9999998,"1.5245081e-6"
3,0.97108245,"(-0.16998915 * x0)"
4,0.0951714,"sin(x0 / -0.20646866)"
6,0.026898788,"(sin(x0 / -0.20706378) * 1.3609968)"
7,0.026898764,"(sin(x0 / -0.20706378) / sin(0.8254431))"
8,0.026726615,"(sin((x0 / -0.2070862) + 0.014019332) * 1.3608861)"
9,0.026726125,"(sin((x0 + -0.0028830303) / -0.20706305) / sin(0.8258774))"
10,0.02618816,"(sin(x0 / -0.20714147) / (0.73485506 + (-0.022623608 * x0)))"
11,0.015328313,"((sin(sin(x0 / -0.20714156) + 0.3974353) + -0.25169265) * 1.7768081)"
12,0.009685581,"((sin(sin(sin(x0 / -0.20714156) + 0.39892855)) + -0.25169265) * 1.7768081)"
13,0.006683549,"(exp(0.62428266) * (sin(sin(sin(x0 / -0.20708336) + 0.3974353)) + -0.25169265))"
16,0.0066200416,"(exp(sin(0.89346325) / 1.2324295) * (sin(sin(sin(x0 / -0.20714156) + 0.3974353)) + -0.25169265))"
17,0.006531608,"(exp(sin(0.89346325) / 1.2324295) * (sin(sin(sin(x0 / -0.20714156) + 0.3974353)) + sin(-0.25169265)))"
18,0.0064933337,"(exp(sin(0.89346325) / 1.2324295) * (sin(sin(sin(x0 / -0.20714156) + 0.3974353)) + sin(sin(-0.25169265))))"
19,0.0053538056,"(sin(x0 / -0.20708336) + ((sin(cos((x0 + x0) / -0.20708336)) + sin(x0 / -0.20708336)) * 0.35989314))"
20,0.0010942614,"(sin(x0 / -0.20708336) + (((cos((x0 + x0) / -0.20708336) * 0.66043276) + sin(x0 / -0.20708336)) * 0.36886472))"
21,0.00091917947,"(sin(x0 / -0.20708336) + (((cos((x0 + x0) / -0.20708336) * sin(0.66043276)) + sin(x0 / -0.20708336)) * 0.36886472))"
22,0.00089211203,"(sin(x0 / -0.20708336) + (((cos((x0 + x0) / -0.20708336) * sin(0.66043276)) + sin(x0 / -0.20708336)) * sin(0.36886472)))"
23,0.000889836,"(sin(x0 / -0.20708336) + (((cos((x0 + x0) / -0.20708336) * cos(cos(0.4318168))) + sin(x0 / -0.20708336)) * sin(0.36886472)))"
24,0.0008849918,"(sin(x0 / -0.20708336) + (((cos((x0 + x0) / -0.20708336) * cos(log(cos(1.1491905)))) + sin(x0 / -0.20714147)) * sin(0.36886472)))"
25,0.00079468155,"(sin(x0 / -0.20708336) + ((((cos((x0 + x0) / -0.20708336) * sin(cos(sin(0.98132247)))) + 0.034179468) + sin(x0 / -0.20708336)) * 0.36886472))"
26,0.0007532057,"(sin(x0 / -0.20708336) + ((((cos((x0 + x0) / -0.20708336) * sin(cos(sin(0.98132247)))) + 0.034179468) + sin(x0 / -0.20708336)) * sin(0.36886472)))"
32,0.0006787911,"(sin(x0 / -0.20708336) + (((cos((x0 + x0) / -0.20708336) * sin(cos(cos(0.36462978 * exp(cos(exp(sin(x0 / -0.20708336)))))))) + sin(x0 / -0.20714147)) * sin(0.36886472)))"
33,0.0005457454,"(sin(x0 / -0.20708336) + (((cos((x0 + x0) / -0.20708336) * sin(cos(cos(0.36462978 * exp(cos(exp(sin(x0 / -0.20708336)))))))) + sin(x0 / -0.20714147)) * sin(sin(0.36886472))))"
35,0.00052491226,"(sin(x0 / -0.20708336) + (((cos((x0 + x0) / -0.20708336) * sin(cos(cos(0.36462978 * exp(cos(exp(sin(x0 / -0.20708336) + -0.113362126))))))) + sin(x0 / -0.20714147)) * sin(sin(0.36886472))))"
36,0.00046964848,"(sin(x0 / -0.20708336) + (((cos((x0 + x0) / -0.20708336) * sin(cos(cos(0.36462978 * exp(cos(exp(sin(x0 / -0.20708336) + -0.113362126))))))) + sin(x0 / -0.20714147)) * sin(sin(sin(0.36886472)))))"
