Complexity,Loss,Equation
1,0.9999998,"-3.2782777e-5"
3,0.99779123,"(-0.047016963 * x0)"
5,0.9896728,"(4.6755325e-5 / (x0 * x0))"
6,0.9739554,"(-0.30902174 * sin(0.29068863 / x0))"
7,0.910302,"(-0.45230556 * sin(exp(exp(cos(x0)))))"
8,0.85117364,"(-0.6513949 * sin((x0 * x0) / -0.18766686))"
9,0.8494331,"(sin(-0.6513949) * sin((x0 * x0) / -0.18766686))"
10,0.8489206,"sin(sin(-0.6513949) * sin((x0 * x0) / -0.11321202))"
11,0.8299889,"(-0.6197146 * (sin(exp(x0 * x0)) * (x0 * x0)))"
12,0.72540843,"(-1.0842364 * (sin(exp(x0 * x0)) * sin(x0 * x0)))"
14,0.69964546,"(-1.3593729 * (sin(exp(x0 * x0)) * sin((x0 * x0) + -0.11046737)))"
15,0.6606664,"(cos(x0 / -0.40069962) * (-1.202462 * sin(((x0 + -0.439193) * x0) / -0.19022596)))"
16,0.6588682,"(cos(x0 / sin(-0.40069962)) * (-1.202462 * sin(((x0 + -0.439193) * x0) / -0.19022596)))"
17,0.6025086,"((sin(x0 / 0.25079992) * x0) * (-1.0930077 * sin(((x0 + -0.4199142) * x0) / -0.1882121)))"
19,0.57012725,"((sin(x0 / 0.25079992) * (x0 + x0)) * (-0.7369152 * sin(((x0 + -0.4199142) * x0) / -0.1882121)))"
20,0.56484205,"(((x0 * sin(((x0 + -0.39670756) * x0) / sin(-0.1882121))) / 0.6578267) * sin((0.49909174 * x0) / -0.12823524))"
21,0.55701345,"(((x0 * (0.66257393 + 0.8121231)) * sin(((x0 + -0.4199142) * x0) / -0.1882121)) * sin((0.49909174 * x0) / -0.12823524))"
22,0.55473757,"(((sin(x0 / (0.25079992 + 0.0055933367)) * x0) / 0.32226503) * (-0.50818133 * sin(((x0 + -0.4199142) * x0) / sin(-0.1882121))))"
24,0.55082434,"((sin(x0 / 0.25079992) * (x0 + x0)) * (sin(-1.0930077 + (x0 / 1.9188216)) * sin(((x0 + -0.4199142) * x0) / -0.1882121)))"
