Complexity,Loss,Equation
1,0.99999994,"-4.1247586e-6"
3,0.99779135,"(-0.046994735 * x0)"
4,0.9977912,"(sin(-0.04703383) * x0)"
5,0.9961243,"(-0.00085340295 * exp(exp(x0)))"
6,0.9854383,"(cos(-2.5895324 / x0) * 0.107621476)"
7,0.8049374,"cos(exp(x0 * x0) / -0.77798116)"
8,0.7901772,"sin(cos(exp(x0 * x0) / -0.7786539))"
9,0.787338,"sin(sin(cos(exp(x0 * x0) / 0.77890986)))"
10,0.7792779,"(sin(cos(exp(x0 * x0) / -0.7786539)) + 0.112624235)"
11,0.7748082,"(cos(exp(x0 * x0) / 0.77719384) * cos(cos(x0)))"
12,0.72637457,"(cos(exp(x0 * x0) / 0.77719384) * sin(x0 * x0))"
14,0.7173054,"((cos(exp(x0 * x0) / 0.77719384) * sin(x0 * x0)) + 0.13168311)"
16,0.6681993,"((cos(exp(x0 * x0) / -0.7961543) * 0.12096646) * exp(exp(cos(x0 / 0.20987989))))"
18,0.64397764,"(((cos(exp(x0 * x0) / 0.7700861) * 0.09649766) * exp(exp(cos(x0 / 0.20987989)))) * 1.3229196)"
20,0.64020556,"(((cos(exp(x0 * x0) / cos(0.6970017)) * 0.09455395) * exp(exp(cos(x0 / 0.20801221)))) * exp(0.39781016))"
21,0.6402004,"(((cos(exp(x0 * x0) / cos(0.6970017)) * sin(0.09455395)) * exp(exp(cos(x0 / 0.20801221)))) * exp(0.39781016))"
22,0.63643456,"((((cos(exp(x0 * x0) / cos(0.6970017)) * 0.09455395) * exp(exp(cos(x0 / 0.20801221)))) * exp(0.39781016)) + -0.04105265)"
24,0.6328204,"(((cos(exp(x0 * x0) / 0.7700861) * sin(0.09649766)) * (exp(exp(cos(x0 / 0.20987989))) + cos(x0 / 0.10354796))) * 1.3229196)"
25,0.6203397,"((cos(exp(x0 * x0) / sin(cos(log(x0 * x0) * -0.8328548) + 1.3805139)) * 0.105436064) * exp(exp(sin(x0 * x0))))"
26,0.6203378,"(sin(cos(exp(x0 * x0) / sin(cos(log(x0 * x0) * -0.8328548) + 1.3805139)) * 0.105436064) * exp(exp(sin(x0 * x0))))"
27,0.60811806,"((cos(exp((x0 + 0.03421747) * x0) / sin(cos(log(x0 * x0) * -0.8328548) + 1.3805139)) * 0.105436064) * exp(exp(sin(x0 * x0))))"
28,0.6081125,"((cos(exp((x0 + sin(0.03421747)) * x0) / sin(cos(log(x0 * x0) * -0.8328548) + 1.3805139)) * 0.105436064) * exp(exp(sin(x0 * x0))))"
29,0.6059573,"((cos((exp((x0 + 0.03421747) * x0) / 0.99004763) / sin(cos(log(x0 * x0) * -0.8328548) + 1.3805139)) * 0.105436064) * exp(exp(sin(x0 * x0))))"
30,0.5552592,"sin((sin((cos(cos(-2.7793186 / x0)) * (-2.7793186 + x0)) * (x0 + x0)) / sin(1.8736504 + cos(sin(cos(exp(x0 + x0)))))) + exp(sin(x0)))"
31,0.5440772,"sin((sin((cos(cos(-2.7793186 / x0)) * (-2.7793186 + x0)) * (x0 + x0)) / sin(1.8736504 + cos(sin(cos(sin(exp(x0))) / -0.112969935)))) + exp(sin(x0)))"
32,0.5373036,"sin((sin((cos(cos(-2.7793186 / x0)) * (-2.7793186 + x0)) * (x0 + x0)) / sin(1.8736504 + cos(sin(cos(exp(x0 + x0)) / x0)))) + exp(sin(x0)))"
33,0.5208583,"sin((sin((cos(cos(-2.7793186 / x0)) * (-2.7793186 + x0)) * (x0 + x0)) / sin(1.8736504 + cos(sin(cos(exp(x0 + x0)) / x0)))) + exp(sin(sin(x0))))"
34,0.51433414,"sin((sin((cos(cos(-2.7793186 / x0)) * (-2.7793186 + x0)) * (x0 + x0)) / sin(1.8736504 + cos(sin(cos(exp(sin(x0) + x0)) / x0)))) + exp(sin(sin(x0))))"
35,0.47974476,"sin((sin((cos(cos(-2.7793186 / x0)) * (-2.7793186 + x0)) * (x0 + x0)) / sin(1.8736504 + cos(sin(cos(exp(x0 + sin(x0)) * -1.0624117) / x0)))) + exp(sin(x0)))"
36,0.45529217,"sin((sin((cos(cos(-2.7793186 / x0)) * (-2.7793186 + x0)) * (x0 + x0)) / sin(1.8736504 + cos(sin(cos(exp(x0 + sin(x0)) * -1.0624117) / x0)))) + exp(sin(sin(x0))))"
38,0.43853986,"sin((sin((cos(cos(-2.7793186 / x0)) * (-2.7793186 + x0)) * (x0 + x0)) / sin(1.8736504 + cos(sin(cos(exp(x0 + sin(x0 + 0.060201637)) * 1.0374519) / x0)))) + exp(sin(sin(x0))))"
39,0.43250155,"sin((sin((cos(cos(-2.7793186 / x0)) * (-2.7793186 + x0)) * (x0 + x0)) / sin(1.8736504 + cos(sin(cos(exp(x0 + sin(x0 + 0.060201637)) * 1.0374519) / x0)))) + (exp(sin(x0)) * 0.8849713))"
40,0.4263143,"(sin((sin((cos(cos(-2.7793186 / x0)) * (-2.7793186 + x0)) * (x0 + x0)) / sin(1.8736504 + cos(sin(cos(exp(x0 + sin(x0 + 0.060201637)) * 1.0374519) / x0)))) + exp(sin(sin(x0)))) * 1.2909461)"
42,0.41753793,"((sin((sin((cos(cos(-2.7793186 / x0)) * (-2.7793186 + x0)) * (x0 + x0)) / sin(1.8736504 + cos(sin(cos(exp(x0 + sin(x0 + 0.060201637)) * 1.0374519) / x0)))) + exp(sin(sin(x0)))) * 1.2909461) + -0.11050152)"
45,0.41574162,"((sin((sin((cos(cos(-2.7793186 / x0)) * (-2.7793186 + x0)) * (x0 + x0)) / sin(1.8736504 + cos(sin(cos(exp(x0 + sin((x0 + 0.060201637) * 1.0333761)) * 1.0374519) / x0)))) + exp(sin(sin(sin(x0))))) * 1.2909461) + -0.11050152)"
46,0.4037701,"(sin((sin((cos(cos(-2.7793186 / x0)) * (-2.7793186 + x0)) * (x0 + x0)) / sin(1.8736504 + cos(sin(cos(exp(x0 + sin(x0 + 0.060201637)) * 1.0374519) / x0)))) + exp(sin(sin((1.665342 * x0) + (-0.124394365 / x0))))) * 1.2909461)"
47,0.39771503,"(sin((sin((cos(cos(-2.7793186 / x0)) * (-2.7793186 + x0)) * (x0 + x0)) / sin(1.8736504 + cos(sin(cos(exp(x0 + sin(x0 + 0.060201637)) * 1.0374519) / x0)))) + exp(sin(sin(sin((1.665342 * x0) + (-0.124394365 / x0)))))) * 1.2909461)"
48,0.38742882,"(sin((sin((cos(cos(-2.7793186 / x0)) * (-2.7793186 + x0)) * (x0 + x0)) / sin(1.8736504 + cos(sin(cos(exp(x0 + sin(x0 + 0.060201637)) * 1.0374519) / x0)))) + exp(sin(sin(sin((1.665342 * sin(x0)) + (-0.124394365 / x0)))))) * 1.2909461)"
51,0.37861735,"(sin(sin((sin((cos(cos(-2.7793186 / x0)) * (-2.7793186 + x0)) * (x0 + x0)) / sin(1.8736504 + cos(sin(cos(exp(x0 + sin(x0 + 0.060201637)) * 1.0374519) / x0)))) + exp(sin(sin((1.665342 * x0) + ((-0.124394365 / x0) + -0.20002489)))))) * (1.2909461 + 0.047917053))"
