Complexity,Loss,Equation
1,0.99999994,"-3.6656509e-6"
3,0.99779123,"(-0.046983615 * x0)"
4,0.9977912,"(x0 * cos(1.6178124))"
6,0.97784656,"(-0.38570392 * sin(0.21131165 / x0))"
7,0.9129648,"(-0.36637768 * sin(exp(x0 * x0)))"
8,0.9047194,"(cos(x0 * (-1.4304434 / -0.09483979)) * 0.29831725)"
9,0.88240314,"(-0.39763626 * (sin(exp(x0 * x0)) + -0.39763626))"
10,0.8067979,"(log(cos(sin(x0))) * sin(exp(x0 * x0)))"
12,0.7404475,"(sin((x0 / -1.2345269) * x0) * sin(exp(x0 * x0)))"
13,0.72979975,"(sin((x0 * sin(-1.264291)) * x0) * sin(exp(x0 * x0)))"
14,0.6498053,"((log(cos(sin(x0 * x0))) * sin(exp(x0 * x0))) / 0.36520717)"
15,0.6448528,"(log(cos(sin(x0 * x0) / cos(0.7829684))) * sin(exp(x0 * x0)))"
16,0.6329147,"((log(cos(sin(x0 * x0))) / 0.3574325) * sin(exp(x0 * x0) * 1.0377743))"
17,0.6293373,"((log(cos(sin(x0 * x0))) / cos(1.1893505)) * sin(exp((x0 * 1.0208118) * x0)))"
18,0.62162393,"((log(cos(sin(x0 * x0))) / 0.34136724) * sin(exp((x0 + 0.014060264) * x0) * 1.0403117))"
19,0.6206959,"((log(cos(sin(x0 * (x0 * sin(x0))))) / 0.34136724) * sin(exp(x0 * x0) * 1.0403117))"
20,0.6069296,"((log(cos(sin(x0 * x0))) / 0.34136724) * sin((exp(x0 * x0) * 1.0403117) + (0.34136724 / x0)))"
21,0.6067974,"((log(cos(sin(x0 * x0))) / 0.34136724) * sin((exp(x0 * x0) * 1.0403117) + (sin(0.34136724) / x0)))"
22,0.60669637,"((log(cos(sin(x0 * x0))) / 0.34136724) * sin((exp(x0 * x0) * 1.0403117) + (sin(sin(0.34136724)) / x0)))"
23,0.5890728,"((log(cos(sin(x0 * x0))) / cos(1.1893505)) * sin(exp(x0 * x0) + (cos(exp(x0 * -2.091179)) / 1.6017302)))"
