Complexity,Loss,Equation
1,0.99999994,"1.2457831e-5"
3,0.99779123,"(x0 * -0.046977475)"
5,0.98039144,"(-0.008429847 / (x0 + 1.4464644))"
6,0.9682234,"sin(-0.017569354 / (-0.7151101 + x0))"
7,0.8527792,"cos(exp(exp(sin(-1.5401158 * x0))))"
8,0.8421286,"(x0 * sin((-8.537921 + -0.92896926) * x0))"
9,0.7771536,"sin(x0 * sin((-8.442065 + -0.9706356) * x0))"
10,0.7681363,"sin(sin(x0 * sin((-8.442065 + -0.9706356) * x0)))"
11,0.7672377,"sin((x0 + 0.19768135) * sin((-8.442065 + -0.9706356) * x0))"
12,0.7609773,"sin(sin((x0 + 0.19768135) * sin((-8.442065 + -0.9706356) * x0)))"
13,0.7233552,"sin((x0 * (sin((-8.442065 + -0.9706356) * x0) * x0)) * x0)"
15,0.6323487,"(x0 * sin(((-8.442065 + -0.9706356) * x0) + sin((-8.442065 + -0.9706356) * x0)))"
17,0.6284455,"((x0 * sin(((-8.442065 + -0.9706356) * x0) + sin((-8.442065 + -0.9706356) * x0))) * 1.2504768)"
19,0.62772113,"(x0 * sin((((-8.442065 + -0.07240029) + -0.9706356) * x0) + sin(((-8.442065 + -0.9706356) * x0) + -0.010790645)))"
20,0.627721,"(x0 * sin((((-8.442065 + -0.07240029) + -0.9706356) * x0) + sin(((-8.442065 + -0.9706356) * x0) + sin(-0.010790645))))"
21,0.6277182,"(x0 * sin((((-8.442065 + sin(-0.07240029)) + -0.9706356) * x0) + sin(((-8.442065 + -0.9706356) * x0) + sin(-0.010790645))))"
22,0.61043245,"((sin(((x0 / exp(x0)) * x0) + cos(exp(exp(sin(1.3841623 + x0))))) + -0.23539284) * (sin(x0) / 0.7456935))"
23,0.58825094,"((sin(((x0 / exp(x0)) * x0) + cos(exp(exp(sin(1.3841623 + x0))))) + -0.28617162) * sin(sin(x0) + x0))"
24,0.5801172,"((sin(((x0 / exp(x0)) * x0) + cos(exp(exp(sin(1.3841623 + x0))))) + -0.28617162) * sin(sin(sin(x0)) + x0))"
