Complexity,Loss,Equation
1,5.5461507e-5,"x0"
3,5.5460696e-5,"(0.99997175 * x0)"
5,5.5406184e-5,"(x0 + (-1.8453016e-5 / x0))"
6,5.47433e-5,"(x0 / cos(0.029205834 * x0))"
7,5.1302235e-5,"(x0 * cos(-0.12538336 * cos(x0)))"
8,5.0366903e-5,"(x0 + (-0.0043603797 * sin(2.3286898 * x0)))"
9,5.0001767e-5,"(x0 + (-0.0043603797 * sin(exp(1.0350199) * x0)))"
10,4.93886e-5,"(x0 + ((-0.0062333085 * sin(x0 / 0.37796178)) * 0.567117))"
11,4.9251794e-5,"(x0 + (-0.0043603797 * sin((2.3286898 * sin(x0)) + x0)))"
12,4.8964455e-5,"(x0 + ((-0.0062333085 * sin((x0 / 0.37796178) + 0.24287003)) * 0.567117))"
13,4.8761307e-5,"(x0 + (-0.0043603797 * sin(((2.3286898 * sin(x0)) + x0) + 0.21107182)))"
