Complexity,Loss,Equation
1,5.5461507e-5,"x0"
3,5.546071e-5,"(x0 / 1.0000306)"
4,5.5460692e-5,"(x0 * cos(0.007302635))"
5,5.5406184e-5,"(x0 + (-1.845328e-5 / x0))"
6,5.474325e-5,"(x0 / cos(-0.029421687 * x0))"
7,5.1304534e-5,"(x0 * cos(-0.12400298 * cos(x0)))"
8,4.938856e-5,"(x0 + (sin(x0 / 0.37797454) * -0.003534998))"
10,4.896361e-5,"(x0 + (sin((x0 + 0.09597082) / 0.37797454) * -0.003534998))"
15,4.87536e-5,"((x0 + (-7.274657e-5 / sin(cos(exp(x0))))) + (sin(x0 / 0.37797454) * -0.003534998))"
17,4.8472226e-5,"((x0 + (-7.274657e-5 / sin(cos(exp(x0))))) + (sin((x0 / 0.37797454) + 0.15338059) * -0.003534998))"
19,4.8116464e-5,"((x0 + (-7.274657e-5 / sin(cos(exp(x0)) + 0.30841365))) + (sin((x0 / 0.37797454) + 0.15338059) * -0.003534998))"
