Complexity,Loss,Equation
1,0.9999998,"1.9343453e-5"
3,0.97088283,"(x0 * -0.17073055)"
4,0.09466048,"sin(-4.843417 * x0)"
6,0.026203016,"(sin(-4.8294787 * x0) * 1.3612437)"
9,0.026048675,"(sin((-4.8294787 * x0) + 0.009963049) / sin(0.8272214))"
10,0.024837902,"(sin((-4.8336086 + (x0 * 0.03324715)) * x0) * 1.3645138)"
12,0.024144303,"(sin(-4.825785 * x0) / cos(cos(cos(cos(cos(exp(x0)))))))"
13,0.02367068,"(sin(-4.8294787 * x0) / cos(sin(cos(sin(sin(cos(exp(x0))))))))"
14,0.004698841,"(((sin(-4.830255 * x0) + cos(sin(-4.8364882 * x0))) + -0.7534243) * 1.3422465)"
15,0.0012564422,"(((sin(-4.829514 * x0) + cos(sin(sin(-4.825491 * x0)))) + -0.8067878) * 1.3604934)"
16,0.0009025399,"(((sin(-4.829481 * x0) + sin(cos(sin(-4.829481 * x0)))) + sin(-0.7279975)) * 1.3612437)"
17,0.0007341887,"((((sin(-4.829481 * x0) + sin(cos(sin(-4.8295374 * x0)))) + 0.054346718) + -0.7279975) * 1.3612437)"
18,0.00073409587,"((((sin(-4.829481 * x0) + sin(cos(sin(-4.829481 * x0)))) + sin(0.054346718)) + -0.7279975) * 1.3612437)"
19,0.0007339662,"((((sin(-4.829481 * x0) + sin(cos(sin(-4.829481 * x0)))) + sin(sin(0.054346718))) + -0.7279975) * 1.3612437)"
20,0.0007338391,"((((sin(-4.829481 * x0) + sin(cos(sin(-4.829481 * x0)))) + sin(sin(sin(0.054346718)))) + -0.7279975) * 1.3612437)"
21,0.00073378824,"((((sin(-4.829481 * x0) + sin(cos(sin(-4.829481 * x0)))) + sin(sin(0.054346718) * 0.999311)) + -0.7279975) * 1.3612437)"
24,0.0006323155,"(((sin(-4.829514 * x0) + cos(sin((sin(-4.829514 * x0) + sin(exp(0.14104585))) + sin(-0.8067878)))) + -0.8067878) * (1.3604934 + 0.14104585))"
25,0.0006318383,"(((sin(-4.829514 * x0) + cos(sin((sin(-4.829514 * x0) + sin(exp(sin(0.14104585)))) + sin(-0.8067878)))) + -0.8067878) * (1.3604934 + 0.14104585))"
26,0.00062877417,"(((sin(-4.829514 * x0) + cos(sin((sin(-4.829514 * x0) + sin(exp(0.14104585))) + sin(-0.8067878)))) + -0.8067878) * (1.3604934 + (0.14104585 / 0.9905007)))"
28,0.0005872456,"(((sin(-4.829514 * x0) + cos(sin((sin(-4.829514 * x0) + cos(sin(sin(sin(sin(-4.829514 * x0) + 0.08335575))))) + -0.8067878))) + -0.8067878) * 1.3604934)"
34,0.00030938844,"(((sin(-4.829514 * x0) + cos((((sin(-4.829514 * x0) + cos(-0.8067878 * sin(sin(-4.829514 * x0)))) + -0.8067878) * 1.3604934) * cos(cos(log(exp(exp(1.2876843))))))) + -0.8067878) * 1.3604934)"
