Complexity,Loss,Equation
1,0.9999998,"3.3724386e-6"
3,0.97088283,"(-0.17063881 * x0)"
4,0.09466048,"sin(x0 / -0.20646653)"
6,0.026203027,"(sin(x0 / -0.2070641) / 0.7346812)"
7,0.026203025,"(sin(x0 / -0.2070641) / cos(0.7455836))"
8,0.026032727,"(sin((x0 / -0.2071211) + 0.013973039) * 1.3614637)"
10,0.026030991,"(sin((x0 / -0.20707801) + 0.013813307) / cos(cos(-0.7280348)))"
11,0.025716027,"(sin(x0 / -0.20714304) / sin(sin(exp(-0.03827008 * x0))))"
12,0.016876886,"((sin(sin(sin(x0 / -0.20711938) + 0.21562894)) * 1.7983456) + -0.28522518)"
15,0.005980777,"((sin(x0 / -0.20711938) * ((-0.35711634 * sin(x0 / -0.20711938)) + 1.289594)) + 0.22637495)"
16,0.005948416,"((sin(x0 / -0.20711938) * ((sin(x0 / -0.20711938) * -0.3792258) + 1.274312)) + sin(0.22637495))"
17,0.0011150547,"((sin(x0 / -0.20711938) * (((-0.44337267 * sin(x0 / -0.20711938)) + 0.1439052) + 1.2227416)) + 0.25138187)"
19,0.0007933206,"((sin(x0 / -0.20711938) * (((-0.35711634 * (sin(x0 / -0.20711938) * 1.2227416)) + 0.14328389) + 1.2227416)) + 0.22637495)"
20,0.0007910289,"((sin(x0 / -0.20711938) * (((-0.35711634 * (sin(x0 / -0.20711938) * 1.2227416)) + sin(0.14328389)) + 1.2227416)) + 0.22637495)"
21,0.00078900927,"((sin(x0 / -0.20711938) * (((-0.35711634 * (sin(x0 / -0.20711938) * 1.2227416)) + sin(sin(0.14328389))) + 1.2227416)) + 0.22637495)"
24,0.0007817449,"((sin(x0 / -0.20711938) * (((-0.35711634 * (sin(x0 / -0.20711938) * 1.2227416)) + sin(sin(0.14328389) * cos(0.23563497))) + 1.2227416)) + 0.22637495)"
25,0.00047510018,"((sin(x0 / -0.20711938) * (((-0.35711634 * 1.2227416) * (sin(x0 / -0.20711938) * exp(-0.35711634 * sin(x0 / -0.20711938)))) + 1.2227416)) + 0.22637495)"
26,0.00036569437,"((sin(x0 / -0.20711938) * (((sin(-0.35711634) * 1.2227416) * (sin(x0 / -0.20711938) * exp(-0.35711634 * sin(x0 / -0.20711938)))) + 1.2227416)) + 0.22637495)"
27,0.00035884255,"((sin(x0 / -0.20711938) * (((sin(-0.35711634) * 1.2227416) * (sin(x0 / -0.20711938) * exp(-0.35711634 * sin(x0 / sin(-0.20711938))))) + 1.2227416)) + 0.22637495)"
29,0.00015117736,"((sin(x0 / -0.20711938) * ((sin(sin(-0.35711634 * 1.2227416)) * (sin(x0 / -0.20711938) * exp((-0.35711634 * 1.2227416) * sin(x0 / -0.20711938)))) + 1.2227416)) + 0.22637495)"
30,0.00012930165,"((sin(x0 / -0.20711938) * ((sin(sin(-0.35711634 * 1.2227416)) * (sin(x0 / -0.20711938) * exp((sin(-0.35711634) * 1.2227416) * sin(x0 / -0.20711938)))) + 1.2227416)) + 0.22637495)"
31,0.000108777924,"((sin(x0 / -0.20711938) * ((sin(sin(sin(-0.35711634) * 1.2227416)) * (sin(x0 / -0.20711938) * exp((sin(-0.35711634) * 1.2227416) * sin(x0 / -0.20711938)))) + 1.2227416)) + 0.22637495)"
