Complexity,Loss,Equation
1,0.9999998,"3.5352423e-5"
3,0.9708828,"(-0.17063914 * x0)"
4,0.09466048,"sin(-4.84344 * x0)"
6,0.026203016,"(sin(-4.829492 * x0) / 0.7346426)"
8,0.026032474,"(sin((-4.829492 * x0) + 0.012411008) / 0.7346426)"
9,0.02603,"(sin((-4.8300047 * x0) + 0.014036465) / cos(0.7457306))"
11,0.010623423,"((sin(sin(-4.8262568 * x0) + 0.51046354) + -0.38350147) / 0.60475177)"
12,0.0059639006,"((sin(sin(-4.8262568 * x0) + 0.51046354) + -0.38350147) / sin(0.60475177))"
13,0.005750656,"(((sin(sin(-4.8262568 * x0) + 0.5125442) + -0.38350147) / 1.0907557) / 0.5125442)"
14,0.004171865,"((sin((sin(-4.8262568 * x0) * 0.93599707) + cos(0.93599707)) + -0.4406699) / 0.5125442)"
16,0.0041671703,"((sin((sin(-4.8262568 * x0) * 0.93599707) + cos(cos(sin(-0.38350147)))) + -0.4406699) / 0.5125442)"
17,0.0041612713,"((sin((sin(-4.8262568 * x0) * 0.93599707) + cos(cos(sin(sin(-0.38350147))))) + -0.4406699) / 0.5125442)"
18,0.0041607497,"((sin((sin(-4.8262568 * x0) * 0.93599707) + cos(cos(sin(-0.38350147 / -1.0129144)))) + -0.4406699) / 0.5125442)"
19,0.0015201727,"((sin(sin(-4.8262568 * x0) + exp(-0.4406699)) + -0.4406699) / sin(sin(sin(cos(sin(-4.8262568 * x0))))))"
21,0.0009760314,"(((sin(sin(-4.8294706 * x0) + sin(sin(0.7276481))) + -0.4406699) / cos(sin(cos(cos(-4.8262568 * x0))))) / 0.7276481)"
22,0.00043257914,"(((sin(sin(-4.8294706 * x0) + sin(sin(cos(0.7276481)))) + -0.4406699) / cos(sin(cos(cos(-4.8262568 * x0))))) / 0.7276481)"
23,0.00026638064,"(((sin(sin(-4.8294706 * x0) + sin(sin(0.7276481))) + sin(-0.4406699)) / cos(sin(cos(cos(-4.8262568 * x0))))) / cos(0.7276481))"
24,0.0001450352,"(((sin(sin(-4.8294706 * x0) + sin(sin(0.7276481))) + sin(-0.4406699)) / cos(sin(cos(cos(-4.8262568 * x0))))) / cos(cos(0.7276481)))"
