Complexity,Loss,Equation
1,0.9999998,"3.367978e-6"
3,0.9708828,"(-0.17063914 * x0)"
4,0.09466048,"sin(x0 / -0.20646675)"
6,0.026203495,"(sin(x0 / -0.20709668) * 1.3612839)"
7,0.026203018,"(sin(x0 / sin(-0.20857276)) * 1.3611928)"
9,0.026041403,"(sin((x0 + 1.2991997) / -0.2071428) / exp(-0.30908164))"
10,0.026031582,"(sin((x0 / -0.20709668) + (0.030300522 * 0.47842407)) * 1.3612839)"
11,0.02562649,"(sin(x0 / -0.20713326) / sin(sin(exp(-0.05140189 * x0))))"
12,0.024126245,"(sin(x0 / -0.20743603) / cos(cos(cos(cos(cos(exp(x0)))))))"
13,0.021662647,"(sin(x0 / -0.20709668) / cos(sin(sin(x0 / -0.20709668)) + -0.09395729))"
14,0.0016131215,"((sin(x0 / -0.20712312) + -0.68817586) + cos(sin(x0 / -0.20712312) + -0.4200058))"
16,0.0012441083,"(((sin(x0 / -0.20716506) + -0.68817586) + sin(cos(sin(x0 / -0.20716506)))) / log(2.106536))"
18,0.0011653004,"(((sin(x0 / -0.20716506) + -0.68817586) + (sin(cos(sin(x0 / -0.20716506))) / 0.96544707)) / log(2.106536))"
20,0.0010931051,"((sin(x0 / -0.2071428) + -0.48649263) + sin(sin(cos((sin(x0 / -0.2071428) / -0.9309108) + cos(cos(-0.2071428))))))"
21,0.00088166364,"((sin(x0 / -0.2071428) + sin(-0.48649263)) + sin(sin(cos((sin(x0 / -0.2071428) / sin(sin(-1.4253297))) + 0.5252635))))"
22,0.0003839376,"((sin(x0 / -0.2071428) + sin(-0.48649263)) + sin(sin(cos((sin(x0 / -0.2071428) / sin(sin(-1.4253297))) + sin(0.5252635)))))"
23,0.00029901892,"((sin(x0 / -0.2071428) + sin(-0.48649263)) + sin(sin(cos((sin(x0 / -0.2071428) / sin(sin(-1.4253297))) + sin(sin(0.5252635))))))"
25,0.00029004176,"((sin(x0 / -0.2071428) + sin(-0.48649263)) + sin(sin(cos((sin(x0 / -0.2071428) / sin(sin(-1.4253297))) + sin(cos(0.26792794) * 0.5252635)))))"
26,0.00020161632,"((sin(x0 / -0.2071428) + -0.48649263) + (sin(sin(sin(cos(((sin(x0 / -0.2071428) / sin(sin(-0.9309108))) + cos(-0.9309108)) / -1.1897048)))) * 1.1164173))"
28,0.00015276973,"((sin(x0 / -0.2071428) + sin(sin(-0.96445733))) + cos(((sin(sin(x0 / -0.2071428)) / cos(0.7013425)) + sin(-0.6112569)) * cos(cos(sin(x0 / -0.2071428)))))"
