Complexity,Loss,Equation
1,0.9999998,"3.0510884e-5"
3,0.9708828,"(-0.17063914 * x0)"
4,0.094660506,"sin(x0 / -0.20647486)"
5,0.09466048,"sin(x0 / sin(-0.20796469))"
6,0.02620507,"(sin(x0 / -0.20713277) * 1.3613565)"
7,0.026203047,"(sin(x0 / sin(-0.20857404)) / 0.73474604)"
9,0.026070716,"(sin((x0 + -0.002898114) / -0.20735064) / exp(-0.3084035))"
10,0.026042413,"(sin((log(0.007999924) * x0) + 0.0150109455) / cos(0.7491926))"
11,0.025624614,"(sin(x0 / -0.20714302) / sin(sin(exp(-0.052022077 * x0))))"
12,0.02412882,"(sin(x0 / -0.20735064) / cos(cos(cos(cos(cos(exp(x0)))))))"
13,0.016041132,"(((sin(sin(x0 / -0.20713277) + 0.2896245) * 1.3613565) * 1.1994076) + -0.28654373)"
14,0.0028427786,"((sin(x0 / -0.20735064) / cos(cos(0.85982245 + (x0 / -0.408821)))) + 0.25285646)"
15,0.0011378749,"((sin(log(0.008091675) * x0) / cos(cos(0.79026717 + (x0 / -0.408821)))) + 0.20972368)"
16,0.0010937159,"((sin(x0 / -0.20735064) / cos(cos(cos(exp(-0.408821)) + (x0 / -0.408821)))) + 0.20972368)"
18,0.00045265077,"(((sin(log(0.008091675) * x0) * 0.96962285) / cos(cos(cos(0.6594435) + (x0 / -0.408821)))) + 0.20972368)"
19,0.0004411743,"(((sin(log(0.008091675) * x0) * 0.96962285) / cos(cos(sin(cos(0.4637966)) + (x0 / -0.408821)))) + 0.20972368)"
21,0.00044116896,"(((sin(log(0.008091675) * x0) * 0.96962285) / cos(cos(sin(cos(-0.50093365 * 0.92518646)) + (x0 / -0.408821)))) + 0.20972368)"
22,0.0004410074,"(((sin(log(sin(0.008091675)) * x0) * 0.96962285) / cos(cos(sin(cos(-0.50093365 * 0.92518646)) + (x0 / -0.408821)))) + 0.20972368)"
23,0.0004408465,"(((sin(log(sin(sin(0.008091675))) * x0) * 0.96962285) / cos(cos(sin(cos(-0.50093365 * 0.92518646)) + (x0 / -0.408821)))) + 0.20972368)"
24,0.00044006726,"(((sin(log(0.008091675) * x0) * 0.96962285) / cos(cos(cos(cos(exp(sin(cos(0.06620791 * x0))))) + (x0 / -0.408821)))) + 0.20972368)"
25,0.00043990437,"(((sin(log(sin(0.008091675)) * x0) * 0.96962285) / cos(cos(cos(cos(exp(sin(cos(0.06620791 * x0))))) + (x0 / -0.408821)))) + 0.20972368)"
26,0.00042044529,"(((sin(log(sin(0.008091675)) * x0) * 0.96962285) / cos(cos(cos(cos(exp(sin(cos(0.06620791 * exp(x0)))))) + (x0 / -0.408821)))) + 0.20972368)"
28,0.00040622277,"((((sin(log(sin(0.008091675)) * x0) / 0.9982944) * 0.96962285) / cos(cos(cos(cos(exp(sin(cos(0.06620791 * exp(x0)))))) + (x0 / -0.408821)))) + 0.20972368)"
