Complexity,Loss,Equation
1,0.9999998,"5.696468e-6"
3,0.9244714,"sin(exp(x0))"
4,0.45390546,"sin(2.3664377 * x0)"
5,0.45390543,"sin(exp(0.861375) * x0)"
6,0.40121698,"sin((1.5593785 + x0) * x0)"
8,0.36854932,"(sin(2.3766546 * x0) * (1.252961 + x0))"
9,0.30443466,"(sin(2.487182 * x0) * (1.0264602 + sin(x0)))"
10,0.23486619,"(exp(sin(0.60143197 / x0)) * sin(2.4834113 * x0))"
11,0.2166706,"(exp(sin(0.6384458 / x0)) * sin(sin(2.4834113 * x0)))"
12,0.13229099,"((exp(sin(0.60143197 / x0)) * sin(2.3766546 * x0)) + -0.329121)"
13,0.13203031,"((exp(sin(exp(-0.52231944) / x0)) * sin(2.3841035 * x0)) + -0.328301)"
14,0.13197385,"((exp(sin(cos(cos(-0.35304362)) / x0)) * sin(2.3766546 * x0)) + -0.329121)"
15,0.11880019,"((exp(sin((cos(0.8688222) / x0) + -0.23007037)) * sin(2.3841035 * x0)) + -0.2664426)"
16,0.10746815,"(exp(sin(0.6119059 / x0)) * sin((1.0674237 + exp(sin(0.6119059) / x0)) * x0))"
17,0.10413018,"(exp(sin(0.5761002 / x0)) * sin((exp(0.005827909) + exp(sin(0.6119059) / x0)) * x0))"
18,0.10135818,"(exp(sin(0.5761002 / sin(x0))) * sin((cos(-0.11144642) + exp(sin(0.6119059) / x0)) * x0))"
19,0.08591136,"((exp(sin(0.6119059 / x0)) * sin((sin(x0) + exp(sin(0.5011765 / x0))) * x0)) + -0.45011038)"
20,0.055479307,"((exp(sin(0.6119059 / x0)) * sin(((x0 / 1.6755918) + exp(sin(0.6119059) / x0)) * x0)) + -0.45011038)"
21,0.050264396,"((exp(sin(sin(0.6119059) / x0)) * sin(((x0 * 0.554093) + exp(sin(0.6119059) / x0)) * x0)) + -0.45011038)"
22,0.049671546,"((exp(sin(0.6119059 / x0)) * sin(((sin(sin(x0)) + exp(sin(0.6119059) / x0)) * x0) + -0.08761958)) + -0.45011038)"
23,0.047761362,"(((exp(sin(0.6119059 / x0)) * sin((sin(sin(sin(x0))) + exp(sin(0.6119059) / x0)) * x0)) + -0.45011038) * 1.1153531)"
24,0.04599669,"((exp(sin(sin(0.6119059) / x0) / 0.92653745) * sin((sin(x0 / 1.6755918) + exp(sin(0.6119059) / x0)) * x0)) + -0.45011038)"
26,0.045039438,"((exp(sin(0.6119059 / x0)) * sin((sin(sin((-0.45011038 * (0.6119059 / x0)) + x0)) + exp(sin(0.6119059) / x0)) * x0)) + -0.45011038)"
27,0.044656932,"((exp(sin(0.6119059 / x0)) * sin((sin(sin(sin(-0.45011038 * (0.6119059 / x0)) + x0)) + exp(sin(0.6119059) / x0)) * x0)) + -0.45011038)"
28,0.04367655,"((exp(sin(sin(0.6119059) / x0) / 0.92653745) * sin((sin(x0 / 1.6755918) + exp(sin(0.6119059) / x0)) * x0)) + ((-0.45011038 + -0.27059335) + 0.23397331))"
29,0.04362416,"((exp(sin(sin(0.6119059) / x0) / 0.92653745) * sin((sin(x0 / 1.6755918) + exp(sin(0.6119059) / x0)) * x0)) + ((-0.45011038 + -0.27059335) + sin(0.23397331)))"
33,0.039517738,"(((exp(sin((cos(-0.9132923) + sin(0.09733064)) / (x0 / cos(cos(-0.9132923))))) * sin((((sin(x0) / 1.2143166) + -0.11436502) + exp(sin(0.6119059) / x0)) * x0)) / 0.9211089) + -0.5989181)"
34,0.036608193,"(((exp(sin(cos(x0) / (x0 / cos(sin(sin(0.9211089) + x0))))) * sin((((sin(x0) / 1.2143166) + -0.11436502) + exp(sin(0.6119059) / x0)) * x0)) / sin(0.9211089)) + -0.5989181)"
35,0.032734547,"(((exp(sin(cos(sin(x0)) / (x0 / cos(sin(sin(0.9211089) + x0))))) * sin((((sin(x0) / 1.2143166) + -0.11436502) + exp(sin(0.6119059) / x0)) * x0)) / sin(0.9211089)) + -0.5989181)"
37,0.03209161,"(((exp(sin(cos(sin(x0)) / (x0 / cos(sin(sin(sin(exp(x0))) + x0))))) * sin((((sin(x0) / 1.2143166) + -0.11436502) + exp(sin(0.6119059) / x0)) * x0)) / sin(0.9211089)) + -0.5989181)"
43,0.028777512,"(((exp(sin(cos(sin(sin(sin(sin(-0.9132923))))) / (x0 / cos(sin(sin(0.9211089) + sin(0.9211089 / x0)))))) * sin((((sin(x0 / 1.0145558) / 1.2143166) + -0.11436502) + exp(sin(0.6119059) / x0)) * x0)) / sin(0.9211089)) + -0.5989181)"
44,0.028775834,"(((exp(sin(cos(sin(sin(sin(-0.9132923 + sin(0.20367913))))) / (x0 / cos(sin(0.9211089 + sin(0.9211089 / x0)))))) * sin((((sin(x0 / 1.0145558) / 1.2143166) + -0.11436502) + exp(sin(0.6119059) / x0)) * x0)) / sin(0.9211089)) + -0.5989181)"
46,0.02751025,"(((exp(sin(cos(sin(sin(cos(sin(-0.9132923 + sin(0.20367913)))))) / (x0 / cos(sin(sin(0.9211089) + sin(0.9211089 / x0)))))) * sin((((sin(x0 / 1.0145558) / 1.2143166) + -0.11436502) + exp(sin(0.6119059) / x0)) * x0)) / sin(0.9211089)) + -0.5989181)"
