Complexity,Loss,Equation
1,0.9999998,"-3.9280567e-6"
3,0.9244714,"sin(exp(x0))"
4,0.45544168,"sin(2.416871 * x0)"
5,0.45390543,"sin(exp(0.8613749) * x0)"
6,0.40132776,"sin(x0 * (1.5721657 + x0))"
8,0.34717137,"(sin(x0 * (1.4937931 + x0)) / 0.72376496)"
10,0.2931438,"(sin(x0 * (1.4937931 + x0)) / cos(cos(x0)))"
11,0.2340016,"(exp(sin(0.59374803 / x0)) * sin(exp(0.9060518) * x0))"
12,0.21740414,"(exp(sin(0.6091957 / x0)) * sin(sin(exp(0.9060518) * x0)))"
13,0.13936126,"((exp(sin(0.59374803 / x0)) * sin(exp(0.9060518) * x0)) + -0.31890488)"
14,0.13312605,"((exp(sin(cos(0.95121175) / x0)) * sin(exp(0.8641394) * x0)) + -0.35673323)"
15,0.12225491,"((exp(sin((0.67053306 / x0) + -0.20548363)) * sin(exp(0.9060518) * x0)) + -0.3286797)"
16,0.11772626,"((exp(sin((0.67053306 / x0) + -0.20548363)) * sin(exp(cos(0.54553735)) * x0)) + -0.3286797)"
17,0.11696619,"((exp(sin((0.67053306 / x0) + -0.20548363)) * sin(exp(cos(sin(0.54553735))) * x0)) + -0.3286797)"
18,0.10861535,"((exp(sin(cos(-0.98421913) / x0) * 1.3030895) * sin(sin(exp(cos(-0.5595688)) * x0))) + -0.36263695)"
19,0.09009655,"((exp(sin(0.6163719 / x0) * 1.8005209) * (sin(sin(exp(cos(-0.46556634)) * x0)) / 1.5605067)) + -0.46556634)"
20,0.08006544,"((exp(sin(0.6163719 / x0) * 1.8005209) * (sin(sin(exp(sin(0.9847537)) * x0)) / 1.5605067)) + sin(-0.46556634))"
21,0.07364215,"((exp(sin(sin(0.6163719) / x0) * 1.8005209) * (sin(sin(exp(sin(0.9847537)) * x0)) / 1.5605067)) + sin(-0.46556634))"
26,0.06786596,"((exp(sin(sin(cos(cos((-0.36164042 / x0) + 0.6163719))) / x0) * 1.4233159) * sin(sin(sin(exp(0.94120276) * x0) + 0.24075337))) + -0.46556634)"
28,0.048014015,"(((exp(sin(sin(cos(cos((-0.36164042 / x0) + 0.6163719))) / x0) * 1.4233159) + -0.3060954) * sin(sin(sin(exp(0.94120276) * x0)) + 0.24075337)) + -0.46556634)"
35,0.047454435,"((exp(sin(0.4166742 / (x0 + sin(sin(-0.08522369))))) * sin(((exp(sin(sin(cos(0.0998657)) / (exp(x0) * x0))) + -0.123813756) * sin((0.74858797 + exp(0.4166742)) * x0)) + -0.2869193)) + -0.16580887)"
36,0.047401138,"((exp(sin(0.4166742 / (x0 + sin(sin(-0.08522369))))) * sin(((exp(sin(sin(cos(0.0998657)) / (exp(x0) * x0))) + -0.123813756) * sin((cos(0.74858797) + exp(0.4166742)) * x0)) + -0.2869193)) + -0.16580887)"
37,0.04578723,"((exp(sin(0.4166742 / (x0 + -0.08522369))) * sin((exp(sin(cos(0.5174202) / (exp(x0) * x0))) * sin(sin((cos(sin(x0)) + exp(cos(cos(-0.20548363)))) * (x0 + -0.08522369)))) + -0.20548363)) + -0.2600202)"
38,0.03883465,"((exp(sin(0.4166742 / (x0 + -0.08522369))) * sin((exp(sin(sin(0.9552669) / (exp(x0) * x0))) * sin((cos(cos(x0 * -1.9380128)) + exp(cos(cos(-0.20548363)))) * (x0 + -0.08522369))) + -0.20548363)) + -0.27851412)"
39,0.037838932,"((exp(sin(0.4166742 / (x0 + -0.08522369))) * sin((exp(sin(sin(cos(-0.20548363)) / (exp(x0) * x0))) * sin((cos(cos(x0 * -1.9380128)) + exp(cos(cos(-0.20548363)))) * (x0 + -0.08522369))) + -0.20548363)) + -0.27851412)"
40,0.036216088,"(((exp(sin(0.3326444 / (x0 + -0.10535955))) * sin(((exp(sin(0.8042006 / (exp(x0) * x0))) + -0.33891717) * sin((cos(cos(-0.10988621)) + exp(cos(sin(sin(x0))))) * (x0 + -0.10988621))) + -0.10535955)) + -0.26141602) * 1.1447198)"
42,0.03369413,"(((exp(sin(0.3326444 / (sin(x0) + -0.10535955))) * sin(((exp(sin(0.8042006 / (exp(x0) * x0))) + -0.33891717) * sin((cos(sin(x0)) + exp(sin(cos(sin(sin(-1.1410377)))))) * (x0 + -0.10988621))) + -0.10535955)) + -0.26141602) * 1.1447198)"
43,0.033387348,"(((exp(sin(sin(0.3326444) / (sin(x0) + -0.10535955))) * sin(((exp(sin(0.8042006 / (exp(x0) * x0))) + -0.33891717) * sin((cos(sin(x0)) + exp(sin(cos(sin(sin(-1.1410377)))))) * (x0 + -0.10988621))) + -0.10535955)) + -0.26141602) * 1.1447198)"
46,0.032994006,"(((exp(sin(0.3326444 / (sin(x0) + -0.10535955))) * sin(((exp(sin(0.8042006 / (exp(x0) * x0))) + -0.33891717) * sin((sin(cos(cos(cos(-0.8175153) / x0))) + exp(sin(cos(sin(sin(x0)))))) * (x0 + -0.10988621))) + -0.10535955)) + -0.26141602) * 1.1447198)"
49,0.030867476,"(((exp(sin((0.35012132 / sin(x0 + -0.066696085)) / sin(1.0631057))) * sin(((exp(sin(sin(x0 / x0) / (exp(x0) * x0))) + -0.3029282) * sin((cos(cos(exp(sin(x0)))) + exp(cos(cos(cos(x0))))) * (x0 + -0.121377565))) + -0.13193104)) + -0.31542116) * 1.1108941)"
50,0.029815175,"(((exp(sin((0.35012132 / sin(x0 + -0.066696085)) / sin(1.0631057))) * sin(((exp(sin(sin(x0 / sin(x0)) / (exp(x0) * x0))) + -0.356269) * sin((cos(cos(exp(sin(x0)))) + exp(cos(cos(cos(x0))))) * (x0 + -0.121377565))) + -0.13193104)) + -0.31542116) * 1.1108941)"
