,x,eq_complex_3,eq_complex_15,eq_complex_26
0,0.054522615,-0.1553282645325063,-0.1553323958597756,-0.15535533065753943
1,0.059045225,-0.15532806300548188,-0.15533256112949223,-0.15535514290669475
2,0.06356784,-0.15532785803685617,-0.15533276007699856,-0.15535497887540817
3,0.068090454,-0.1553276495723587,-0.15533298936394338,-0.15535483913206985
4,0.07261306,-0.15532743755715447,-0.1553332458179349,-0.15535472419070023
5,0.07713568,-0.15532722193441273,-0.15533352643654783,-0.15535463451064402
6,0.08165829,-0.15532700264886443,-0.15533382838449095,-0.1553545704984082
7,0.0861809,-0.1553267796430209,-0.15533414899979311,-0.1553545325059949
8,0.09070352,-0.15532655285876293,-0.15533448579311537,-0.15535452083186352
9,0.09522613,-0.1553263222388933,-0.15533483644643828,-0.1553545357206455
10,0.099748746,-0.15532608772382728,-0.15533519881909771,-0.15535457736285005
11,0.10427135,-0.1553258492551723,-0.15533557094347475,-0.15535464589433595
12,0.10879397,-0.15532560677156845,-0.15533595103255335,-0.1553547413967848
13,0.11331658,-0.15532536021399634,-0.15533633747280642,-0.15535486389550138
14,0.11783919,-0.15532510952101047,-0.15533672883285432,-0.1553550133603579
15,0.12236181,-0.1553248546306408,-0.1553371238616918,-0.15535518970454418
16,0.12688442,-0.15532459548214747,-0.15533752148719118,-0.15535539278219618
17,0.13140704,-0.15532433201207635,-0.15533792082335626,-0.15535562239021994
18,0.13592964,-0.15532406415946784,-0.15533832116344848,-0.15535587826293926
19,0.14045227,-0.15532379185823883,-0.1553387219923753,-0.15535616007785114
20,0.14497487,-0.15532351504854142,-0.15533912297058808,-0.15535646744307274
21,0.14949748,-0.1553232336641771,-0.15533952395317377,-0.15535679990881307
22,0.1540201,-0.1553229476410521,-0.15533992497764854,-0.15535715695715344
23,0.15854271,-0.15532265691612432,-0.15534032626559455,-0.15535753800107374
24,0.16306531,-0.15532236142491732,-0.15534072822568035,-0.1553579423859558
25,0.16758794,-0.15532206110012228,-0.1553411314544969,-0.1553583693903462
26,0.17211054,-0.155321755880954,-0.15534153672262918,-0.15535881821096928
27,0.17663316,-0.15532144569923076,-0.15534194499141354,-0.15535928798096346
28,0.18115577,-0.1553211304921727,-0.15534235739336744,-0.155359777749722
29,0.1856784,-0.15532081019291386,-0.15534277524162046,-0.15536028649556316
30,0.190201,-0.15532048474038154,-0.1553432000131746,-0.15536081310884972
31,0.1947236,-0.15532015406803407,-0.15534363335906667,-0.15536135640857152
32,0.19924621,-0.15531981811095832,-0.15534407708982717,-0.15536191513000647
33,0.20376883,-0.1553194768053023,-0.15534453317008687,-0.15536248792453247
34,0.20829144,-0.15531913008919002,-0.15534500371024287,-0.15536307335729035
35,0.21281406,-0.15531877789822318,-0.15534549096452535,-0.15536366991433218
36,0.21733667,-0.15531842017170958,-0.15534599731347495,-0.155364275991985
37,0.22185928,-0.1553180568473429,-0.15534652526108567,-0.15536488990607975
38,0.2263819,-0.15531768786359018,-0.15534707742025702,-0.1553655098885341
39,0.2309045,-0.15531731316314368,-0.1553476564947507,-0.15536613408269917
40,0.23542711,-0.15531693268481994,-0.15534826527740186,-0.15536676055855875
41,0.23994973,-0.15531654637104883,-0.15534890662324577,-0.1553673873023679
42,0.24447234,-0.15531615416732816,-0.15534958343251606,-0.15536801222065114
43,0.24899496,-0.1553157560171781,-0.15535029864020788,-0.15536863315189503
44,0.25351757,-0.1553153518692317,-0.15535105518282236,-0.1553692478596929
45,0.2580402,-0.1553149416694397,-0.1553518559895353,-0.15536985405009157
46,0.26256278,-0.15531452537481386,-0.15535270393026446,-0.15537044935752067
47,0.26708543,-0.15531410292700085,-0.1553536018415077,-0.15537103139018113
48,0.27160805,-0.15531367429031573,-0.15535455241823767,-0.15537159768459616
49,0.27613065,-0.15531323942149455,-0.1553555582433273,-0.15537214575854058
50,0.28065327,-0.1553127982770111,-0.15535662173915513,-0.15537267311081301
51,0.2851759,-0.15531235082106262,-0.15535774511084263,-0.15537317722427638
52,0.28969848,-0.155311897026157,-0.15535893030173514,-0.15537365558147745
53,0.2942211,-0.15531143685322693,-0.15536017900243168,-0.15537410570185126
54,0.29874372,-0.15531097027992016,-0.1553614925313521,-0.1553745251301894
55,0.30326632,-0.1553104972860049,-0.15536287182286956,-0.15537491147408514
56,0.30778894,-0.1553100178492553,-0.15536431738992254,-0.15537526242964417
57,0.31231153,-0.15530953196155697,-0.15536582922307304,-0.15537557579554057
58,0.31683415,-0.15530903960796114,-0.15536740679916203,-0.1553758495175784
59,0.32135677,-0.15530854078844536,-0.15536904895768017,-0.1553760817075256
60,0.3258794,-0.15530803550430278,-0.15537075388579635,-0.15537627068921514
61,0.330402,-0.1553075237684862,-0.15537251902653218,-0.15537641503592592
62,0.3349246,-0.1553070055925313,-0.15537434106618306,-0.15537651362176197
63,0.33944723,-0.15530648099465036,-0.1553762158518449,-0.15537656567035493
64,0.34396985,-0.15530595000844527,-0.15537813830575678,-0.1553765708145546
65,0.34849244,-0.15530541267311032,-0.1553801024092498,-0.15537652916604747
66,0.35301507,-0.15530486902531607,-0.15538210118737678,-0.15537644138913084
67,0.3575377,-0.15530431912355588,-0.1553841265792292,-0.1553763087907674
68,0.3620603,-0.15530376303460697,-0.15538616945393413,-0.15537613342218362
69,0.3665829,-0.15530320082777307,-0.15538821960707078,-0.15537591819448074
70,0.37110552,-0.15530263258391494,-0.15539026571181933,-0.15537566702187344
71,0.37562814,-0.15530205839997008,-0.1553922952988622,-0.15537538499670064
