,x,eq_complex_3,eq_complex_14,eq_complex_26
0,0.054522615,-0.1553282645325063,-0.15537989648095796,-0.1553483997410217
1,0.059045225,-0.15532806300548188,-0.15537944818292124,-0.1553486193095078
2,0.06356784,-0.15532785803685617,-0.1553790099478417,-0.15534885452757832
3,0.068090454,-0.1553276495723587,-0.15537858165579485,-0.15534910512692648
4,0.07261306,-0.15532743755715447,-0.15537816317674058,-0.15534937083487846
5,0.07713568,-0.15532722193441273,-0.15537775436888726,-0.15534965137700746
6,0.08165829,-0.15532700264886443,-0.15537735508650272,-0.1553499464732192
7,0.0861809,-0.1553267796430209,-0.15537696517349783,-0.15535025584316892
8,0.09070352,-0.15532655285876293,-0.15537658446740682,-0.15535057920479275
9,0.09522613,-0.1553263222388933,-0.15537621280254815,-0.1553509162724316
10,0.099748746,-0.15532608772382728,-0.15537585000516124,-0.15535126676194289
11,0.10427135,-0.1553258492551723,-0.15537549589977132,-0.1553516303857911
12,0.10879397,-0.15532560677156845,-0.15537515030337107,-0.1553520068595666
13,0.11331658,-0.15532536021399634,-0.15537481303370432,-0.155352395894075
14,0.11783919,-0.15532510952101047,-0.15537448390274694,-0.1553527972028416
15,0.12236181,-0.1553248546306408,-0.15537416271995388,-0.15535321049935993
16,0.12688442,-0.15532459548214747,-0.15537384929466638,-0.15535363549428832
17,0.13140704,-0.15532433201207635,-0.15537354343150386,-0.15535407190193587
18,0.13592964,-0.15532406415946784,-0.1553732449368488,-0.15535451943173972
19,0.14045227,-0.15532379185823883,-0.15537295361043005,-0.155354977800955
20,0.14497487,-0.15532351504854142,-0.15537266925797466,-0.1553554467156167
21,0.14949748,-0.1553232336641771,-0.15537239167784272,-0.15535592589167882
22,0.1540201,-0.1553229476410521,-0.1553721206702402,-0.15535641504074352
23,0.15854271,-0.15532265691612432,-0.1553718560359292,-0.15535691387172199
24,0.16306531,-0.15532236142491732,-0.15537159757397884,-0.15535742209503223
25,0.16758794,-0.15532206110012228,-0.15537134508093026,-0.15535793942497228
26,0.17211054,-0.155321755880954,-0.1553710983587151,-0.15535846556352897
27,0.17663316,-0.15532144569923076,-0.1553708572030691,-0.15535900022428406
28,0.18115577,-0.1553211304921727,-0.1553706214140945,-0.15535954311029385
29,0.1856784,-0.15532081019291386,-0.15537039078882237,-0.15536009393037023
30,0.190201,-0.15532048474038154,-0.15537016512854906,-0.15536065238202582
31,0.1947236,-0.15532015406803407,-0.1553699442307659,-0.15536121817079412
