Complexity,Loss,Equation
1,0.99999994,"-2.7164986e-5"
3,0.9244714,"sin(exp(x0))"
4,0.45544168,"sin(2.416871 * x0)"
5,0.45404842,"sin(exp(0.854932) * x0)"
6,0.43949112,"sin(x0 * exp(sin(x0)))"
7,0.43924987,"sin(sin(sin(exp(x0))) / x0)"
8,0.36983395,"(sin(exp(x0) * sin(x0)) / 0.6611193)"
9,0.3587874,"(sin(sin(exp(x0) * sin(x0))) * 1.7266408)"
10,0.27130064,"(sin(exp(x0) * sin(x0 / 0.69938564)) / 0.5621534)"
12,0.24314162,"(sin(exp(x0) * sin(x0)) / cos(cos(x0) / 0.7648841))"
13,0.24006672,"(sin(exp(x0) * sin(exp(0.63828725 / x0) * x0)) / 0.59440684)"
14,0.21275784,"(sin(exp(x0) * sin(exp(sin(0.60857856 / x0)) * x0)) / 0.60857856)"
15,0.15998194,"(sin(exp(x0) * sin((exp(0.63828725 / x0) * x0) + -0.32783964)) / 0.63828725)"
16,0.1496352,"(sin(exp(x0) * sin(sin((exp(0.63828725 / x0) * x0) + -0.3946157))) / 0.59440684)"
17,0.13221574,"(sin(exp(0.9525421 * x0) * sin((exp(0.63828725 / x0) * x0) + -0.37404677)) / 0.63828725)"
18,0.11898725,"(sin(exp(x0) * sin((exp(sin(cos(-0.7555718) / x0)) * x0) + -0.19172372)) / exp(-0.7555718))"
19,0.11891575,"(sin(exp(x0) * sin((exp(sin(cos(-0.7555718) / x0)) * x0) + sin(-0.19172372))) / exp(-0.7555718))"
20,0.10442609,"(sin(exp(x0) * sin((exp(sin(0.5852316 / x0)) * x0) + -0.13040632)) / cos(cos(x0) + 0.24230838))"
21,0.0792154,"(sin(exp(x0) * sin((exp(sin(sin(0.78203386) / x0)) * x0) + -0.23985304)) / cos(cos(x0) + 0.24230838))"
22,0.07151075,"(sin(exp(x0) * sin((exp(sin(sin(sin(0.78203386)) / x0)) * x0) + -0.23985304)) / cos(cos(x0) + 0.24230838))"
23,0.07149949,"(sin(exp(x0) * sin((exp(sin(sin(sin(0.78203386)) / x0)) * x0) + sin(-0.23985304))) / cos(cos(x0) + 0.24230838))"
24,0.066121995,"(sin(exp(x0) * sin(((exp(sin(0.58394605 / x0) * 1.1848086) * x0) + -0.13040632) + -0.17545415)) / cos(cos(x0) + 0.19974093))"
25,0.05554349,"(sin(exp(x0) * sin((exp(sin(sin(cos(cos(1.0115521 / x0))) / x0)) * x0) + -0.23985304)) / cos(cos(x0) + 0.24230838))"
26,0.05551868,"(sin(exp(x0) * sin((exp(sin(sin(cos(cos(1.0115521 / x0))) / x0)) * x0) + sin(-0.23985304))) / cos(cos(x0) + 0.24230838))"
27,0.055189144,"(sin(exp(x0) * sin((exp(sin(sin(cos(cos(sin(cos(0.28603843) / x0)))) / x0)) * x0) + -0.23985304)) / cos(cos(x0) + 0.24230838))"
