,x,eq_complex_3,eq_complex_15,eq_complex_27
0,0.054522615,-0.1553282645325063,-0.15532350164588848,-0.15536716378090834
1,0.059045225,-0.15532806300548188,-0.15532473602780078,-0.15536689002213994
2,0.06356784,-0.15532785803685617,-0.15532603035320294,-0.15536663034415688
3,0.068090454,-0.1553276495723587,-0.15532738181391129,-0.15536638425526583
4,0.07261306,-0.15532743755715447,-0.1553287874952281,-0.15536615129095385
5,0.07713568,-0.15532722193441273,-0.15533024439146545,-0.15536593101131757
6,0.08165829,-0.15532700264886443,-0.15533174938806535,-0.15536572300369592
7,0.0861809,-0.1553267796430209,-0.15533329929315273,-0.15536552687761307
8,0.09070352,-0.15532655285876293,-0.15533489083340196,-0.15536534226552595
9,0.09522613,-0.1553263222388933,-0.15533652064951345,-0.1553651688229202
10,0.099748746,-0.15532608772382728,-0.15533818532621677,-0.1553650062246761
11,0.10427135,-0.1553258492551723,-0.155339881373931,-0.15536485416682436
12,0.10879397,-0.15532560677156845,-0.15534160526532817,-0.15536471236282298
13,0.11331658,-0.15532536021399634,-0.1553433534048055,-0.15536458054599284
14,0.11783919,-0.15532510952101047,-0.1553451221697235,-0.15536445846574087
15,0.12236181,-0.1553248546306408,-0.1553469079042627,-0.15536434588798173
16,0.12688442,-0.15532459548214747,-0.1553487069147902,-0.15536424259498996
17,0.13140704,-0.15532433201207635,-0.15535051550507434,-0.15536414838293675
18,0.13592964,-0.15532406415946784,-0.15535232994806644,-0.1553640630631506
19,0.14045227,-0.15532379185823883,-0.15535414654557933,-0.15536398645882876
20,0.14497487,-0.15532351504854142,-0.15535596155976403,-0.15536391840777555
21,0.14949748,-0.1553232336641771,-0.1553577713051608,-0.1553638587581115
22,0.1540201,-0.1553229476410521,-0.15535957210019738,-0.1553638073699968
23,0.15854271,-0.15532265691612432,-0.15536136028316708,-0.15536376411443983
24,0.16306531,-0.15532236142491732,-0.15536313223601364,-0.15536372887221145
25,0.16758794,-0.15532206110012228,-0.15536488439950344,-0.15536370153329987
26,0.17211054,-0.155321755880954,-0.1553666132267723,-0.1553636819971311
27,0.17663316,-0.15532144569923076,-0.1553683152722781,-0.15536367017074576
28,0.18115577,-0.1553211304921727,-0.1553699871265345,-0.1553636659691639
29,0.1856784,-0.15532081019291386,-0.15537162547668154,-0.15536366931435425
30,0.190201,-0.15532048474038154,-0.1553732270627916,-0.155363680134713
31,0.1947236,-0.15532015406803407,-0.15537478874337782,-0.15536369836461889
32,0.19924621,-0.15531981811095832,-0.1553763074661841,-0.15536372394388373
33,0.20376883,-0.1553194768053023,-0.15537778027962215,-0.15536375681711626
34,0.20829144,-0.15531913008919002,-0.15537920433746508,-0.15536379693299684
35,0.21281406,-0.15531877789822318,-0.15538057692506943,-0.1553638442442501
36,0.21733667,-0.15531842017170958,-0.15538189544130357,-0.15536389870639547
37,0.22185928,-0.1553180568473429,-0.15538315742705353,-0.15536396027790264
38,0.2263819,-0.15531768786359018,-0.15538436056241953,-0.1553640289194146
39,0.2309045,-0.15531731316314368,-0.15538550266358442,-0.15536410459251593
40,0.23542711,-0.15531693268481994,-0.15538658171536968,-0.15536418726080142
41,0.23994973,-0.15531654637104883,-0.15538759585396456,-0.15536427688796295
42,0.24447234,-0.15531615416732816,-0.1553885433774374,-0.15536437343725992
43,0.24899496,-0.1553157560171781,-0.1553894227647147,-0.1553644768722706
44,0.25351757,-0.1553153518692317,-0.15539023266495838,-0.15536458715467485
45,0.2580402,-0.1553149416694397,-0.15539097192066612,-0.1553647042458457
46,0.26256278,-0.15531452537481386,-0.15539163954867563,-0.1553648281025056
47,0.26708543,-0.15531410292700085,-0.1553922347897736,-0.15536495868407804
48,0.27160805,-0.15531367429031573,-0.15539275705506833,-0.15536509594086106
49,0.27613065,-0.15531323942149455,-0.15539320597944806,-0.15536523982266734
50,0.28065327,-0.1553127982770111,-0.1553935814122408,-0.15536539027643725
51,0.2851759,-0.15531235082106262,-0.15539388341558047,-0.15536554724315005
52,0.28969848,-0.155311897026157,-0.15539411227394895,-0.15536571065700006
53,0.2942211,-0.15531143685322693,-0.15539426850898122,-0.15536588045224115
54,0.29874372,-0.15531097027992016,-0.15539435287004766,-0.1553660565526963
55,0.30326632,-0.1553104972860049,-0.15539436634949158,-0.15536623887658035
56,0.30778894,-0.1553100178492553,-0.15539431018601946,-0.15536642733795053
57,0.31231153,-0.15530953196155697,-0.15539418587144488,-0.15536662184023986
58,0.31683415,-0.15530903960796114,-0.15539399515385166,-0.1553668222844551
59,0.32135677,-0.15530854078844536,-0.15539374004915227,-0.1553670285606413
60,0.3258794,-0.15530803550430278,-0.1553934228448541,-0.15536724055381335
61,0.330402,-0.1553075237684862,-0.15539304611356125,-0.15536745814070896
62,0.3349246,-0.1553070055925313,-0.15539261271304078,-0.15536768119724875
63,0.33944723,-0.15530648099465036,-0.15539212580036177,-0.1553679095985596
64,0.34396985,-0.15530595000844527,-0.15539158885304202,-0.15536814322069664
65,0.34849244,-0.15530541267311032,-0.1553910056752433,-0.1553683819538579
66,0.35301507,-0.15530486902531607,-0.1553903804041495,-0.15536862572039964
67,0.3575377,-0.15530431912355588,-0.1553897175579977,-0.15536887448636866
68,0.3620603,-0.15530376303460697,-0.15538902204882332,-0.15536912830209704
69,0.3665829,-0.15530320082777307,-0.1553882992082359,-0.15536938735810019
70,0.37110552,-0.15530263258391494,-0.15538755484230612,-0.15536965206223458
71,0.37562814,-0.15530205839997008,-0.15538679529622684,-0.15536992316089418
72,0.38015077,-0.155301478380841,-0.1553860275218991,-0.15537020192941361
73,0.38467336,-0.15530089265159489,-0.15538525920023222,-0.1553704904478367
74,0.38919598,-0.15530030133490036,-0.15538449885850542,-0.1553707920363628
75,0.3937186,-0.15529970458020223,-0.15538375611518632,-0.1553711118802475
76,0.39824122,-0.15529910254771825,-0.15538304195308267,-0.15537145800113158
77,0.4027638,-0.1552984954185097,-0.15538236915769904,-0.15537184270763627
78,0.40728644,-0.1552978833710872,-0.155381752920994,-0.15537228482396795
79,0.41180903,-0.1552972666294708,-0.1553812118360927,-0.1553728130480749
80,0.41633165,-0.15529664541003949,-0.15538076928753494,-0.15537347124924875
81,0.42085424,-0.15529601996735595,-0.15538045574661677,-0.15537432671838403
82,0.42537686,-0.15529539055951283,-0.15538031233763272,-0.1553754834997943
83,0.42989948,-0.1552947574781447,-0.15538039669443807,-0.1553771039123101
84,0.43442208,-0.1552941210357627,-0.1553807926176994,-0.15537944298232065
85,0.4389447,-0.15529348155974093,-0.15538162628004432,-0.1553828983821386
86,0.44346732,-0.15529283941037295,-0.15538309318815452,-0.15538805751871002
87,0.44798994,-0.15529219497083765,-0.1553855009020872,-0.15539563376170032
88,0.45251256,-0.1552915486512613,-0.1553893245474263,-0.15540594801745952
89,0.45703515,-0.15529090089431694,-0.1553952200591989,-0.15541751099121937
90,0.46155778,-0.15529025215793527,-0.1554037119892124,-0.1554257851257478
91,0.4660804,-0.15528960294821806,-0.15541357430912922,-0.15542524807874988
92,0.470603,-0.15528895379795069,-0.15541756629985584,-0.1554111791473666
93,0.4751256,-0.15528830526949036,-0.1554029227323121,-0.15538608226546752
94,0.47964823,-0.1552876579591809,-0.15537775043029667,-0.15537499097712903
95,0.48417085,-0.155287012510363,-0.15536738300047098,-0.1553787226171403
96,0.48869348,-0.15528636959636333,-0.15537759161657053,-0.15539425881482438
97,0.49321607,-0.1552857299406476,-0.15536544155883486,-0.15538611618863196
98,0.4977387,-0.1552850942901845,-0.15537259676243972,-0.15537383168674967
99,0.5022613,-0.1552844634567122,-0.15536415522161595,-0.15537422361042613
100,0.5067839,-0.15528383828323947,-0.15536140946201327,-0.15537147201731458
101,0.5113065,-0.15528321966413963,-0.15536106871055091,-0.1553617334023922
102,0.51582915,-0.15528260853601142,-0.15534505305375707,-0.15536994205155819
103,0.52035177,-0.1552820059038018,-0.1553566005898528,-0.1553696924496188
104,0.5248744,-0.15528141280881358,-0.15532990871520505,-0.1553506666779081
105,0.529397,-0.15528083035735193,-0.1553478151296929,-0.15532700611085032
106,0.53391963,-0.15528025969911854,-0.1553550523846779,-0.1553502651730356
