Complexity,Loss,Equation
1,0.9999998,"6.4410597e-6"
3,0.9244714,"sin(exp(x0))"
4,0.45544168,"sin(2.416871 * x0)"
5,0.45390543,"sin(exp(0.8613749) * x0)"
6,0.43949112,"sin(exp(sin(x0)) * x0)"
8,0.25421858,"(exp(x0) * sin(sin(x0) / 0.29839256))"
11,0.2391666,"(exp(sin(0.5237047 / x0)) * sin(exp(0.87333155) * x0))"
12,0.2215279,"(exp(sin(0.6043969 / x0)) * sin(sin(exp(0.87333155) * x0)))"
13,0.14255375,"((exp(sin(0.6482936 / x0)) * sin(exp(0.87333155) * x0)) + -0.25923663)"
14,0.1372653,"((exp(sin(sin(0.6482936) / x0)) * sin(exp(0.87333155) * x0)) + -0.25923663)"
15,0.1327445,"((exp(sin(exp(-0.50302845) / x0)) * sin(exp(cos(-0.5278701)) * x0)) + -0.34763193)"
16,0.114785776,"((exp(sin(0.64986175 / x0)) * sin(exp(cos(0.40377685 * x0)) * x0)) + -0.33631718)"
17,0.11307533,"((exp(sin(sin(0.64986175) / x0)) * sin(exp(cos(0.40377685 * x0)) * x0)) + -0.33631718)"
18,0.11248233,"((exp(sin(sin(0.64986175) / sin(x0))) * sin(exp(cos(0.40377685 * x0)) * x0)) + -0.33631718)"
19,0.1070756,"(((exp(sin(0.64986175 / sin(x0))) + -0.16547066) * sin(exp(cos(0.40377685 * x0)) * x0)) + -0.33631718)"
20,0.103690416,"(((exp(sin(sin(0.64986175) / sin(x0))) + -0.16547066) * sin(exp(cos(0.40377685 * x0)) * x0)) + -0.33631718)"
21,0.102190964,"((exp(sin(cos(-0.9264178) / x0)) * sin(exp(cos(-0.47433844 * (x0 + (-0.34551743 / x0)))) * x0)) + -0.3007808)"
23,0.09357459,"((sin((exp(sin(sin(x0) + sin(cos(0.7964892) / x0))) + -0.22073402) * x0) + -0.14692292) / cos(cos(x0) + 0.324845))"
24,0.09306772,"((sin((exp(sin(sin(x0) + sin(cos(0.7964892) / x0))) + -0.22073402) * x0) + -0.14692292) / cos(cos(x0) + sin(0.324845)))"
25,0.090799175,"((sin((exp(sin(sin(x0 + -0.06852593) + sin(cos(0.7964892) / x0))) + -0.22073402) * x0) + -0.14692292) / cos(cos(x0) + 0.324845))"
26,0.09066076,"((sin((exp(sin(sin(x0 + -0.06852593) + sin(cos(0.7964892) / x0))) + -0.22073402) * x0) + -0.14692292) / cos(cos(x0) + sin(0.324845)))"
27,0.08246138,"((sin((exp(sin(sin(x0) + sin(sin(0.7964892) / x0))) + -0.22073402) * x0) + -0.14692292) / cos(cos(x0) + (sin(exp(x0)) * 0.324845)))"
29,0.07472885,"((sin(sin((exp(sin(sin(x0) + sin(cos(0.7825224) / x0))) + -0.28187206) * x0)) + -0.16038181) / cos(cos(x0) + (sin(sin(exp(x0))) * 0.47710675)))"
30,0.07213352,"(sin(sin((exp(sin(sin(x0) + sin(0.7281384 / x0))) + -0.28187206) * x0) + -0.16038181) / cos(cos(x0) + sin(sin(exp(x0)) * (0.42875096 + -0.025133666))))"
