Complexity,Loss,Equation
1,2.8823544e-5,"x0"
3,2.8823542e-5,"(3.6670826e-9 + x0)"
5,2.877315e-5,"(x0 + (1.7604169e-5 / x0))"
6,2.6148942e-5,"(x0 * exp(-0.0012185832 * x0))"
7,2.4779196e-5,"(x0 + (0.0028839887 * sin(exp(x0))))"
8,2.1819915e-5,"(x0 + (0.0028839887 * cos(x0 + x0)))"
9,2.1819906e-5,"(x0 + (sin(0.0028839887) * cos(x0 + x0)))"
10,2.1245653e-5,"(x0 + (0.0028839887 * cos(x0 + (x0 + -0.31216052))))"
12,2.0933854e-5,"(x0 + ((0.0028839887 * sin((x0 + 1.3471411) + x0)) / 0.8625671))"
13,2.0728838e-5,"(x0 + ((0.0028839887 * cos(x0 + (sin(-0.4252574) + x0))) / 0.7555965))"
14,2.0728832e-5,"(x0 + sin((0.0028839887 * cos(x0 + (sin(-0.4252574) + x0))) / 0.7555965))"
15,2.0725483e-5,"(x0 + sin((0.0028839887 * cos(x0 + (sin(-0.4252574) + x0))) / cos(0.7555965)))"
17,2.0701847e-5,"(x0 + ((0.002359349 * cos(x0 + ((log(0.60792446) + 0.048721485) + (x0 * 1.1141502)))) * 1.4982196))"
20,2.0535648e-5,"(x0 + ((0.002359349 * (cos(x0 + ((sin(log(0.60792446)) + 0.20987205) + (x0 * 1.1141502))) + 0.10888793)) * 1.4982196))"
