Complexity,Loss,Equation
1,2.8823544e-5,"x0"
3,2.8823439e-5,"(x0 + 2.1839649e-6)"
5,2.877315e-5,"(x0 + (1.7604174e-5 / x0))"
6,2.6996157e-5,"(x0 + (0.002005706 * cos(x0)))"
7,2.4772635e-5,"(x0 + (0.00294913 * sin(exp(x0))))"
8,2.1479565e-5,"(x0 + (cos(x0 + x0) * 0.0036336728))"
9,2.1465588e-5,"(x0 + (0.0037800872 * sin(cos(x0 + x0))))"
10,2.0698757e-5,"(x0 + (0.0037800872 * cos(x0 + (-0.33183238 + x0))))"
11,1.8828812e-5,"(x0 + (0.0037800872 * sin(exp(sin(exp(x0))) * -1.8978297)))"
12,1.882881e-5,"(x0 + sin(0.0037800872 * sin(exp(sin(exp(x0))) * -1.8978297)))"
13,1.858238e-5,"(x0 + (0.0037800872 * (sin(exp(sin(exp(x0))) * -1.8978297) * 1.1822467)))"
