Complexity,Loss,Equation
1,2.8823544e-5,"x0"
3,2.8823337e-5,"(x0 * 0.9999856)"
5,2.8773213e-5,"(x0 + (1.7319499e-5 / x0))"
6,2.6148946e-5,"(x0 * exp(-0.0012215776 * x0))"
7,2.4774117e-5,"(x0 + (sin(exp(x0)) * 0.0029302808))"
8,2.1473907e-5,"(x0 + (0.0036764857 * cos(x0 / -0.5084054)))"
10,2.07176e-5,"(x0 + (0.0036764857 * cos((x0 + x0) + -0.33644)))"
11,2.0717598e-5,"(x0 + (sin(0.0036764857) * cos((x0 + x0) + -0.33644)))"
12,2.0622265e-5,"(x0 + (0.0036764857 * cos(((-0.36322907 + x0) / 0.8398106) + x0)))"
16,1.9107476e-5,"(x0 + (0.0036764857 * cos((0.0036764857 + ((-0.16598319 + x0) * (x0 / -0.4471762))) * x0)))"
