Complexity,Loss,Equation
1,2.8823544e-5,"x0"
3,2.8823477e-5,"(x0 + 1.6987324e-6)"
5,2.8773155e-5,"(x0 + (1.7604396e-5 / x0))"
6,2.6148984e-5,"(x0 * exp(-0.0012193191 * x0))"
7,2.4852894e-5,"(x0 + (sin(exp(x0)) * 0.0025967818))"
8,2.1480528e-5,"(x0 + (0.0038232605 * cos(x0 / -0.51228875)))"
9,2.13824e-5,"(x0 + (0.004247088 * sin(cos(x0 + x0))))"
10,2.0703286e-5,"(x0 + (0.0038232605 * cos((x0 + -0.379735) + x0)))"
11,2.041443e-5,"(x0 + (sin((x0 + 0.45924246) * exp(x0)) * 0.004247088))"
15,2.0176534e-5,"(x0 + (sin((x0 + 0.45924246) * exp(sin(x0) * x0)) * sin(0.004247088)))"
