Complexity,Loss,Equation
1,0.9999998,"2.026557e-5"
3,0.9710825,"(-0.17006086 * x0)"
4,0.09517141,"sin(x0 / -0.206466)"
5,0.0951714,"sin(x0 / sin(-0.20796447))"
6,0.026898779,"(sin(x0 / -0.20706826) / 0.7348377)"
8,0.026743148,"(sin((x0 + 1.2993617) / -0.20712838) * 1.3608766)"
9,0.026728341,"(sin((x0 / -0.20711839) + 0.014086104) / cos(-0.7453234))"
11,0.026316997,"(sin(x0 / -0.20717861) / sin(sin(exp(-0.059213888 * x0))))"
12,0.024865232,"(sin(x0 / -0.20714162) / cos(cos(cos(cos(cos(exp(x0)))))))"
13,0.023208339,"(sin(x0 / -0.20714033) / cos(sin(sin(x0 / -0.20714033)) + -0.06374408))"
14,0.020793892,"(sin(x0 / -0.20708874) / cos(cos(cos(cos(exp(exp(cos(exp(x0)))))))))"
15,0.0040498166,"((sin(x0 / -0.20625724) / cos(cos(sin(x0 / -0.21767509) + 0.8716671))) + 0.24016069)"
16,0.0023503394,"((sin(x0 / -0.20706825) / cos(cos(sin(sin(x0 / -0.20706825)) + 1.0451334))) + 0.20551164)"
17,0.0013955529,"((sin(x0 / -0.20706825) / cos(cos((sin(x0 / -0.20706825) * 0.66064245) + 0.83918464))) + 0.20551164)"
18,0.0010490293,"((sin(x0 / -0.20706825) / cos(cos((sin(x0 / -0.20706825) * 0.66064245) + cos(0.48785034)))) + 0.20551164)"
21,0.001037364,"((sin(x0 / -0.20706825) / cos(cos((sin(x0 / -0.20706825) * sin(sin(cos(0.66064245)))) + cos(0.48785034)))) + 0.20551164)"
22,0.00088032277,"((sin(sin(x0 / -0.20706825)) / sin(cos(cos(sin(sin(x0 / -0.20706825) + 0.7319844) + 0.7319844) + 0.18436603))) + 0.20551164)"
23,0.00084672525,"((sin(sin(x0 / -0.20706825)) / sin(cos(cos(sin(sin(x0 / -0.20706825) + 0.7319844) + 0.7319844) + sin(0.18436603)))) + 0.20551164)"
24,0.00054477126,"(((sin(sin(x0 / -0.20706825)) / sin(cos(cos(sin(sin(x0 / -0.20706825) + 0.7319844) + 0.7319844) + 0.18436603))) / 1.0154462) + 0.20551164)"
25,0.00054041616,"(((sin(sin(x0 / -0.20706825)) / sin(cos(cos(sin(sin(x0 / -0.20706825) + 0.7319844) + 0.7319844) + 0.18436603))) / 1.0154462) + sin(0.20551164))"
26,0.00054019014,"(((sin(sin(x0 / -0.20706825)) / sin(cos(cos(sin(sin(x0 / -0.20706825) + 0.7319844) + 0.7319844) + 0.18436603))) / 1.0154462) + sin(sin(0.20551164)))"
