Complexity,Loss,Equation
1,0.9999998,"1.5354908e-6"
3,0.97108245,"(-0.17004563 * x0)"
4,0.09517141,"sin(x0 / -0.20646954)"
6,0.026899084,"(sin(x0 / -0.20708923) * 1.3608023)"
10,0.026766771,"(sin((log(0.008006291) * x0) + 0.008006291) / sin(0.8228314))"
11,0.026323417,"(sin(x0 / -0.20724846) / sin(sin(exp(-0.059067808 * x0))))"
12,0.02487792,"(sin(x0 / -0.20709181) / cos(cos(cos(cos(cos(exp(x0)))))))"
13,0.024831954,"(sin(log(0.008062308) * x0) / cos(cos(cos(cos(cos(exp(x0)))))))"
14,0.0010237629,"(((sin(x0 / -0.20713998) + -0.55365944) / 0.7261815) + cos(sin(x0 / -0.20713998)))"
15,0.0009098511,"(((sin(x0 / -0.20713998) + -0.55365944) / cos(0.73659825)) + cos(sin(x0 / -0.20713998)))"
16,0.00083771814,"(((sin(x0 / -0.20713998) + -0.55365944) / cos(cos(0.73659825))) + cos(sin(x0 / -0.20713998)))"
17,0.0008340846,"(((sin(x0 / -0.20713998) + -0.55365944) / sin(sin(cos(-0.20713998)))) + cos(sin(x0 / -0.20713998)))"
18,0.0008096142,"(((sin(x0 / -0.20713797) + -0.55383515) / sin(exp(sin(cos(0.076617844))))) + cos(sin(x0 / -0.20724212)))"
20,0.00080877315,"(((sin(x0 / -0.20713998) + -0.55365944) / cos(sin(sin(cos(log(cos(-0.20713998))))))) + cos(sin(x0 / -0.20713998)))"
21,0.0008062497,"(((sin(x0 / -0.20713998) + -0.55365944) / cos(sin(sin(exp(0.008044408 * x0))))) + cos(sin(log(0.008044408) * x0)))"
22,0.0008062496,"(((sin(x0 / -0.20713998) + -0.55365944) / cos(sin(sin(exp(sin(0.008044408) * x0))))) + cos(sin(log(0.008044408) * x0)))"
23,0.00077357586,"(((sin(x0 / -0.20713998) + -0.55365944) / sin(sin(cos(log(cos(sin(sin(x0 / -0.20713998)))))))) + cos(sin(x0 / -0.20713998)))"
24,0.00063455594,"(((sin(x0 / -0.20713998) + -0.55365944) / sin(sin(cos(log(cos(sin(sin(sin(x0 / -0.20713998))))))))) + cos(sin(x0 / -0.20713998)))"
25,0.00063435483,"(((sin(x0 / -0.20713998) + -0.55365944) / sin(sin(cos(log(cos(sin(sin(sin(x0 / sin(-0.20713998)))))))))) + cos(sin(x0 / -0.20713998)))"
28,0.00046123992,"(((sin(log(0.008044408) * x0) + -0.55365944) / sin(sin(cos(cos((log(0.008044408) * x0) / sin(-0.524055)) * 0.3171519)))) + cos(sin(log(0.008044408) * x0)))"
