Complexity,Loss,Equation
1,0.9999998,"1.5539906e-6"
3,0.97108245,"(-0.17004545 * x0)"
4,0.09517141,"sin(x0 / -0.2064674)"
6,0.026901353,"(sin(x0 / -0.2071258) / 0.7341476)"
7,0.026900513,"(sin(x0 / -0.2071258) / cos(0.74549663))"
8,0.026900306,"(sin(x0 / sin(sin(-0.21017633))) * 1.3608675)"
9,0.026896492,"(sin((log(0.008013865) * x0) + 0.008043675) / 0.7262965)"
10,0.02689645,"(sin((log(sin(0.008013865)) * x0) + 0.008043675) / 0.7262965)"
11,0.026768932,"(sin((log(0.008013865) * x0) + 0.008043675) / cos(cos(0.7262965)))"
12,0.024869034,"(sin(x0 / -0.2071258) / cos(cos(cos(cos(cos(exp(x0)))))))"
13,0.022854213,"(sin(x0 / -0.2071258) / cos(sin(sin(x0 / -0.2071258)) + -0.09532583))"
14,0.02096148,"(sin(x0 / -0.2071258) / cos(sin(sin(sin(x0 / -0.2071258))) + -0.09532583))"
15,0.020438489,"(sin(log(0.008285448) * x0) / cos(cos(cos(sin((-0.9473399 + x0) / -0.40213495)))))"
16,0.019357493,"(sin(log(0.008043675) * x0) / cos(cos(cos(cos(cos(2.5646048 * (0.30638176 + x0)))))))"
17,0.018667972,"(sin(log(0.008013865) * x0) / sin(cos(log(sin(exp(sin(sin(log(0.008013865) * x0))))))))"
18,0.017814908,"((sin(log(0.008013865) * x0) * 2.0024157) * cos(sin(exp(sin(log(0.008013865) * x0)) * 2.0024157)))"
19,0.010883019,"((sin(log(0.008043675) * x0) * 2.0030534) * cos(sin((sin(log(0.008013865) * x0) * 2.0030534) + -0.5282574)))"
20,0.0040396554,"(((sin(log(0.008013865) * x0) * 2.0030534) + 0.24678151) * cos(sin(exp(sin(log(0.008043675) * x0) / 1.8086237))))"
21,0.004039568,"(((sin(log(sin(0.008013865)) * x0) * 2.0030534) + 0.24678151) * cos(sin(exp(sin(log(0.008043675) * x0) / 1.8086237))))"
22,0.0022291217,"(((sin(log(0.008043675) * x0) * 2.0030534) + 0.27058744) * cos(sin(exp(sin(log(0.008043675) * x0) / 1.8086237) + -0.107205965)))"
23,0.0022011327,"(((sin(log(sin(0.008013865)) * x0) * 2.0030534) + 0.27058744) * cos(sin(exp(sin(log(0.008043675) * x0) / 1.8086237) + -0.107205965)))"
24,0.00196808,"(((sin(log(0.008013865) * x0) * 2.0030534) + cos(-1.2697883)) * cos(sin(exp(sin(log(0.008013865) * x0) / exp(0.61386126)) + -0.12503606)))"
25,0.001968033,"(((sin(log(sin(0.008013865)) * x0) * 2.0030534) + cos(-1.2697883)) * cos(sin(exp(sin(log(0.008013865) * x0) / exp(0.61386126)) + -0.12503606)))"
26,0.0018362454,"(((sin(log(0.008013865) * x0) * 2.0024157) + exp(-1.2697883)) * cos(sin(cos(-0.0019021743) + (sin(log(0.008013865) * x0) / exp(cos(exp(-0.0019021743)))))))"
27,0.001645243,"(((sin(log(sin(0.008013865)) * x0) * 2.0024157) + cos(-1.2697883)) * cos(sin(cos(-0.0019021743) + (sin(log(0.008013865) * x0) / exp(cos(cos(-0.0019021743)))))))"
28,0.001626368,"(((sin(log(0.008013865) * x0) * 2.0024157) + cos(-1.2697883)) * cos(sin(exp(-0.006935241) + (sin(log(0.008013865) * x0) * (cos(sin(0.8632723)) * sin(0.92577523))))))"
30,0.001184088,"(((sin(log(0.008013865) * x0) * 2.0024157) + exp(-1.2697883)) * cos(sin(exp(sin(-0.004329117)) + (sin(log(0.008013865) * x0) / exp(cos(sin(log(0.008013865) * x0)))))))"
31,0.0011821033,"(((sin(log(0.008013865) * x0) * 2.0024157) + exp(-1.2697883)) * cos(sin(exp(-0.00751989) + ((sin(log(0.008043675) * x0) / 0.9296628) / exp(cos(sin(log(0.008013865) * x0)))))))"
34,0.0011427724,"(((sin(log(0.008043675) * x0) * 2.0024157) + exp(-1.2697883)) * cos(sin(exp(-0.007959383 + sin(-0.004329117)) + (sin(log(0.008043675) * x0) / exp(cos(sin(log(0.008013865) * x0) / 0.9339646))))))"
35,0.0011275618,"((((sin(log(0.008013865) * x0) * 2.0024157) + cos(-1.2697883)) * cos(sin(exp(-0.006935241) + (sin(log(0.008013865) * x0) * (cos(cos(sin(log(0.008013865) * x0))) * sin(sin(0.92577523))))))) / 1.0007018)"
