Complexity,Loss,Equation
1,0.9999998,"9.545036e-5"
3,0.97108245,"(-0.17004551 * x0)"
4,0.09517141,"sin(x0 / -0.20646313)"
6,0.02689881,"(sin(x0 / -0.20707138) * 1.3609157)"
7,0.026898786,"(sin(x0 / sin(-0.20857635)) * 1.3609122)"
8,0.0267284,"(sin((x0 / -0.20711948) + 0.0139919) / 0.73479617)"
9,0.026726272,"(sin((x0 / -0.20707129) + cos(1.5563937)) * 1.3609155)"
10,0.026726235,"(sin(((x0 / -0.20706645) + -0.4978871) + 0.51225334) * 1.36139)"
11,0.026379768,"(sin(x0 / -0.20683536) / sin(sin(exp(-0.04571766 * x0))))"
12,0.024839541,"(sin(x0 / -0.2075643) / cos(cos(cos(cos(cos(exp(x0)))))))"
13,0.01931111,"(sin((x0 / -0.20707129) + (0.06648945 * cos(x0 / -0.2073291))) * 1.3609155)"
14,0.0012938412,"(((sin(x0 / -0.20707129) / 0.7193779) + -0.7596016) + cos(sin(x0 / -0.20707129)))"
15,0.0010116642,"(((sin(x0 / -0.20707129) / sin(0.8114751)) + -0.7596016) + cos(sin(x0 / -0.20707129)))"
16,0.00084212713,"(((sin(x0 / -0.20707129) / cos(sin(-0.84086764))) + -0.7596016) + cos(sin(x0 / -0.20707129)))"
17,0.0008094552,"((((sin(x0 / -0.20713508) / cos(0.7452837)) + cos(sin(x0 / -0.207238))) + -0.63442975) + -0.11955587)"
18,0.00080936897,"((((sin(x0 / -0.20713508) / cos(0.7452837)) + cos(sin(x0 / -0.207238))) + -0.63442975) + sin(-0.11955587))"
19,0.0006291801,"((sin(sin(sin(x0 / -0.20683536))) / sin(cos(sin(sin(x0 / -0.20707129)) + sin(-0.31090343)))) + 0.21230723)"
20,0.00056641735,"((sin(sin(sin(x0 / -0.20683536))) / sin(cos(sin(sin(x0 / -0.20683536)) + sin(sin(-0.31090343))))) + 0.21230723)"
21,0.00049132894,"((sin(sin(sin(x0 / -0.20683536))) / sin(cos((sin(sin(x0 / -0.20683536)) * 0.98943317) + -0.31090343))) + sin(0.21230723))"
23,0.00048044178,"((sin(sin(sin(x0 / -0.20683536))) / sin(cos((sin(sin(x0 / -0.20683536)) * 0.98943317) + sin(-0.31090343)))) + sin(sin(0.21230723)))"
28,0.00047422294,"((sin(sin(sin(x0 / -0.20683536))) / sin(cos((sin(sin(x0 / -0.20683536)) * 0.98943317) + sin(-0.31090343)))) + sin(sin(sin(0.21230723 * (x0 / x0)))))"
31,0.00040905256,"(((((sin(x0 / -0.20683536) + sin(-0.029559853)) / cos(sin(cos(sin(cos(x0 / -0.20683536)))) + -0.20683536)) + cos(sin(x0 / -0.20683536) + -0.20683536)) + sin(-0.6325606)) + -0.11769655)"
32,0.00037644408,"(((((sin(x0 / -0.20683536) + (-0.029559853 * 0.8246849)) / cos(sin(cos(sin(cos(x0 / -0.20683536)))) + -0.20683536)) + cos(sin(x0 / -0.20683536) + -0.20683536)) + sin(-0.6325606)) + -0.11769655)"
33,0.00035652838,"(((((sin(x0 / -0.20683536) + (-0.029559853 * 0.8246849)) / cos(sin(cos(sin(cos(x0 / -0.20683536)))) + -0.20683536)) + cos(sin(x0 / -0.20683536) + sin(-0.20683536))) + sin(-0.6325606)) + -0.11769655)"
40,0.0003078113,"(((((sin(x0 / -0.20683536) + sin((-0.029559853 / 0.45491636) * -0.20683536)) / cos(sin(cos(sin(cos(x0 / -0.20683536)))) + -0.20683536)) + cos(sin(x0 / -0.20683536) + sin(sin(sin(-0.20435096))))) + sin(sin(-0.7599484))) + sin(-0.11769655))"
