Complexity,Loss,Equation
1,5.5461507e-5,"x0"
3,5.5460714e-5,"(x0 * 0.9999714)"
4,5.546071e-5,"(x0 * cos(-0.0074653053))"
5,5.5406184e-5,"(x0 + (-1.8453278e-5 / x0))"
6,5.474749e-5,"(x0 / cos(-0.030479833 * x0))"
7,5.130222e-5,"(cos(-0.12538421 * cos(x0)) * x0)"
9,5.097596e-5,"(cos(log(cos(log(cos(cos(x0)))))) * x0)"
10,5.0434952e-5,"(cos(log(cos(sin(cos(x0)))) * -0.3640592) * x0)"
11,5.0250623e-5,"(cos(sin(sin(cos(sin(sin(x0))))) + -0.57755154) * x0)"
12,4.9396996e-5,"(exp((-0.06120757 * -0.06120757) * log(x0 * sin(x0))) * x0)"
15,4.9393508e-5,"(exp((-0.06120757 * log(exp(-0.06120757))) * log(x0 * sin(sin(x0)))) * x0)"
