Complexity,Loss,Equation
1,5.5461507e-5,"x0"
3,5.546071e-5,"(x0 * 0.9999729)"
5,5.5406184e-5,"(x0 + (-1.8452993e-5 / x0))"
6,5.474321e-5,"(x0 / cos(-0.029269535 * x0))"
7,5.1302293e-5,"(x0 * cos(cos(x0) / 7.9648557))"
9,5.0446964e-5,"((x0 / 0.998945) * cos(0.11607919 * cos(x0)))"
10,4.965788e-5,"(x0 + (sin((-1.3793464 + -1.3793464) * x0) * 0.0028022449))"
12,4.9467297e-5,"(x0 + ((sin((-1.3793464 + -1.3793464) * x0) * 0.0028022449) / 0.86104435))"
14,4.9430862e-5,"(x0 + (sin(((-1.3793464 / 1.0822167) + -1.3793464) * x0) * (0.0028022449 / 0.86597556)))"
15,4.9399812e-5,"(x0 + (sin(((-1.3793464 / 1.0822167) + -1.3793464) * x0) * (0.0028022449 / sin(0.86597556))))"
17,4.9176837e-5,"(x0 + (((((0.0027467574 * x0) / 0.5982342) / x0) * x0) * log(sin(x0) * x0)))"
18,4.8991416e-5,"(x0 + (((((0.0027467574 * x0) / 0.5982342) / x0) * x0) * log(sin(sin(x0)) * x0)))"
20,4.8552578e-5,"(x0 + (((((0.0027467574 * x0) / 0.5982342) / (x0 + -0.018465368)) * x0) * log(sin(sin(x0)) * x0)))"
