Complexity,Loss,Equation
1,0.9999998,"3.3795254e-6"
3,0.9708828,"(-0.17063914 * x0)"
4,0.09466048,"sin(x0 / -0.20646743)"
6,0.026203228,"(sin(x0 / -0.20704328) / 0.7347798)"
8,0.02620317,"(sin(x0 / -0.207082) / sin(cos(-0.60041153)))"
10,0.026030406,"(sin((x0 / -0.20704328) + 0.014594063) / sin(exp(-0.19278632)))"
11,0.025663406,"(sin(x0 / -0.20710336) / sin(sin(exp(-0.07422327 * x0))))"
12,0.024160089,"(sin(x0 / -0.2071429) / cos(cos(cos(cos(cos(exp(x0)))))))"
13,0.023657525,"(sin(x0 / -0.2071429) / cos(sin(cos(sin(sin(cos(exp(x0))))))))"
14,0.0029980384,"(sin(x0 / -0.20704328) + (sin(sin(x0 / -0.20704328) + 1.0868521) + -0.6650975))"
16,0.0024068966,"(sin(x0 / -0.20704328) + (sin(sin(sin(sin(x0 / -0.20704328) + 0.93338454))) + -0.49113277))"
17,0.0020921053,"(sin(x0 / -0.20704328) + (sin(sin(sin(sin(x0 / -0.20704328) + cos(0.26789773)))) + -0.49113277))"
18,0.0011969132,"(sin(x0 / -0.20704328) + (sin(sin(sin((sin(x0 / -0.20704328) + 0.93338454) * 1.0740961))) + -0.49113277))"
19,0.0009654789,"(sin(x0 / -0.20704328) + (sin(sin(sin((sin(x0 / -0.20704328) + cos(-0.32922116)) * 1.0875802))) + -0.49113277))"
20,0.0009075601,"(sin(x0 / -0.20701377) + (sin(sin(sin(sin((sin(x0 / -0.20701377) + 0.81372) / cos(-0.72470784))))) + -0.37123284))"
21,0.0004804896,"(sin(x0 / -0.20701377) + (sin(sin(sin(sin(sin((sin(x0 / -0.20701377) + 0.81372) / cos(-0.72470784)))))) + -0.37123284))"
22,0.00033789704,"(sin(x0 / -0.20701377) + (sin(sin(sin(sin(sin((sin(x0 / -0.20701377) + sin(cos(-0.20799667))) / 0.81372))))) + -0.37123284))"
23,0.00033342157,"(sin(x0 / -0.20701377) + (sin(sin(sin(sin(sin((sin(x0 / -0.20701377) + sin(cos(exp(-1.4532763)))) / 0.81372))))) + -0.37123284))"
25,0.00033186038,"((sin(x0 / -0.20701377) * 0.99820274) + (sin(sin(sin(sin(sin((sin(x0 / -0.20701377) + sin(cos(exp(-1.4532763)))) / 0.81372))))) + -0.37123284))"
26,0.00027045477,"(sin(x0 / -0.20701377) + (sin(sin(sin(sin(sin((sin(x0 / -0.20701377) + log(exp(sin(cos(-0.20799667))))) / cos(sin(-0.7054592))))))) + -0.37123284))"
28,0.00026428234,"(sin(x0 / -0.20701377) + (sin(sin(sin(sin(sin((sin(x0 / -0.20701377) + log(exp(sin(cos(-0.20799667 + -0.014612321))))) / cos(sin(-0.7054592))))))) + -0.37123284))"
29,0.0002520612,"(sin(x0 / -0.20704328) + (sin(sin(sin((sin(x0 / -0.20704328) + cos(sin(sin(sin(x0 / -0.20704328) + cos(-0.05734194))) + -0.49113277)) * 1.0875802))) + -0.49113277))"
30,0.00020214441,"(sin(x0 / -0.20704328) + (sin(sin(sin((sin(x0 / -0.20704328) + cos(sin(sin(sin(sin(x0 / -0.20704328) + cos(-0.05734194)))) + -0.49113277)) * 1.0875802))) + -0.49113277))"
31,0.00018349207,"(sin(x0 / -0.20704328) + (sin(sin(sin((sin(x0 / -0.20704328) + cos(sin(sin(sin(sin(sin(x0 / -0.20704328) + cos(-0.05734194))))) + -0.49113277)) * 1.0875802))) + -0.49113277))"
32,0.00018214114,"(sin(x0 / -0.20704328) + (sin(sin(sin((sin(x0 / -0.20704328) + cos(sin(sin(sin(sin(sin(x0 / sin(-0.20704328)) + cos(-0.05734194))))) + -0.49113277)) * 1.0875802))) + -0.49113277))"
33,0.00017474078,"(sin(x0 / -0.20704328) + (sin(sin(sin((sin(x0 / -0.20704328) + cos(sin(sin(sin(sin(sin(sin(x0 / sin(-0.20704328)) + cos(-0.05734194)))))) + -0.49113277)) * 1.0875802))) + -0.49113277))"
34,0.00016657967,"(sin(x0 / -0.20704328) + (sin(sin(sin((sin(x0 / -0.20704328) + cos(sin(sin(sin(sin(sin((sin(x0 / -0.20704328) + cos(0.061446816)) * 1.0923773))))) + -0.49113277)) * 1.0875802))) + -0.49113277))"
35,0.00016145741,"(sin(x0 / -0.20704328) + (sin(sin(sin((sin(x0 / -0.20704328) + cos(sin(sin(sin(sin(sin(sin((sin(x0 / -0.20704328) + cos(0.061446816)) * 1.0923773))))) + -0.49113277))) * 1.0875802))) + -0.49113277))"
36,0.00015688706,"(sin(x0 / -0.20704328) + (sin(sin(sin((sin(x0 / -0.20704328) + cos(sin(sin(sin(sin(sin((sin(x0 / -0.20704328) + cos(0.061446816)) * 1.0923773))))) + -0.49113277)) * 1.0875802)) / 0.9982944) + -0.49113277))"
