Complexity,Loss,Equation
1,0.0054764156,"x0"
3,0.0054689175,"(x0 * 0.99727046)"
5,0.005465619,"(x0 + (-0.00025775458 / x0))"
6,0.0036759644,"(x0 / exp(-0.0318267 * x0))"
7,0.0026001118,"(x0 + (-0.08074186 * sin(exp(x0))))"
8,0.0018626921,"(x0 + (cos(1.7246395 * x0) * -0.09257852))"
9,0.001394461,"((-0.08227596 * sin(exp(x0) + -0.49335185)) + x0)"
10,0.0013004168,"((-0.08227596 * sin((x0 + 1.1096537) + x0)) + x0)"
11,0.000720094,"(x0 + ((cos(-1.3223237 * x0) * exp(x0)) * -0.06633134))"
12,0.00072005985,"(x0 + ((cos(-1.3223237 * x0) * exp(x0)) * sin(-0.06633134)))"
13,9.2914874e-5,"(x0 + ((cos(x0 + 0.38257736) * (exp(x0) + x0)) * -0.06633134))"
14,9.242833e-5,"(x0 + sin((cos(x0 + 0.38257736) * (exp(x0) + x0)) * -0.06633134))"
15,8.708002e-5,"(x0 + ((cos(x0 + 0.38257736) * (exp(x0) + (x0 * 1.0316614))) * -0.06633134))"
17,8.560361e-5,"(x0 + ((cos(x0 + 0.38257736) * (exp(x0) + (x0 / (0.40401506 + 0.45860168)))) * -0.06633134))"
18,4.781509e-5,"(x0 + sin((cos(((x0 * 0.9565414) + 0.06096601) + 0.38257736) * (exp(x0) + x0)) * -0.06633134))"
19,4.689681e-5,"(x0 + sin((cos(((x0 * 0.9565414) + 0.06096601) + sin(0.38257736)) * (exp(x0) + x0)) * -0.06633134))"
