Complexity,Loss,Equation
1,0.0083066905,"x0"
3,0.008289438,"(x0 * 0.99582624)"
5,0.008120512,"(x0 + (-0.0034031486 / x0))"
6,0.005652464,"(x0 / exp(-0.038727798 * x0))"
7,0.0038967014,"((-0.10120084 * sin(exp(x0))) + x0)"
8,0.0028993771,"((-0.16082872 * (cos(x0) + -0.52639097)) + x0)"
9,0.001395763,"((sin(exp(x0) + -0.53697276) * -0.1637519) + x0)"
10,0.0012894678,"((sin(sin(exp(x0) + -0.53697276)) * -0.1637519) + x0)"
11,0.0011587087,"(((-0.10120084 * (0.5777877 + x0)) * sin(exp(x0))) + x0)"
12,0.0007623483,"(((sin(sin(exp(x0) + -0.53697276)) + -0.1377455) * -0.1637519) + x0)"
13,0.0006034678,"((-0.16082872 * cos(exp(x0) + (x0 / -0.5855392))) + (x0 / 0.9478881))"
14,0.00050764607,"((-0.16082872 * cos(cos(sin(x0)) + (x0 / -0.6516594))) + (x0 / 0.9404875))"
15,0.0002775148,"((-0.16082872 * cos(cos(0.7650619 * x0) + (x0 / -0.6516594))) + (x0 / 0.9478881))"
16,0.00025176065,"((-0.16082872 * cos(cos(cos(x0) + -1.3022575) + (x0 / -0.6516594))) + (x0 / 0.9478881))"
18,0.0002471055,"((-0.16082872 * cos(cos((cos(x0) + -1.2399929) + -0.041410632) + (x0 / -0.6516594))) + (x0 / 0.9478881))"
19,0.00019082881,"((-0.16082872 * cos(cos(cos(sin(cos(exp(x0)))) * x0) + (x0 / -0.6516594))) + (x0 / 0.9478881))"
21,0.0001542315,"((x0 + ((((x0 * x0) * exp(x0 / 0.8648797)) + -1.0659968) * 0.018653687)) + (-0.096704796 * sin(0.46721736 + x0)))"
22,0.000128177,"((x0 + ((((x0 + x0) * (exp(x0) + -0.26418018)) * x0) * 0.018653687)) + (-0.096704796 * (cos(log(0.46721736)) + x0)))"
23,0.00011696695,"((x0 + sin((((x0 + x0) * (exp(x0) + -0.26418018)) * x0) * 0.018653687)) + (-0.096704796 * (cos(log(0.46721736)) + x0)))"
