Complexity,Loss,Equation
1,0.1358069,"x0"
3,0.131196,"(x0 * 0.93209636)"
5,0.123297565,"(x0 * cos(cos(x0)))"
6,0.027187966,"(cos(x0) + (-0.5698582 + x0))"
7,0.024021206,"(sin(cos(x0)) + (-0.5082577 + x0))"
8,0.019924138,"(cos(0.11661904 + x0) + (-0.5659875 + x0))"
9,0.012498888,"(sin(exp(x0 * -0.76679087)) + (-0.5773526 + x0))"
10,0.011774725,"(((cos(x0) + x0) + -0.51495117) * cos(cos(x0)))"
11,0.00925424,"(cos(sin(x0 + 0.47659537) * x0) + (-0.72571456 + x0))"
12,0.0039778184,"(sin(exp(x0 * -0.50815374) * cos(x0)) + (-0.51944184 + x0))"
13,0.0039349482,"(sin(exp(x0 * sin(-0.51944184)) * cos(x0)) + (-0.51944184 + x0))"
14,0.001791158,"(sin(exp(x0 * -0.569858) * cos(x0 + -0.053512484)) + (-0.50804746 + x0))"
16,0.0016678873,"(sin(exp((x0 + -0.053512484) * -0.5911082) * cos(x0 + -0.053512484)) + (-0.51944184 + x0))"
17,0.001592688,"(sin(exp((x0 + -0.053512484) * sin(-0.5911082)) * cos(x0 + -0.053512484)) + (-0.51944184 + x0))"
21,0.0014414542,"(sin(sin(exp(((x0 * -0.5911082) * sin(1.5954571)) + 0.14611885) * cos(x0 + -0.053512484))) + (sin(-0.51944184) + x0))"
23,0.001277182,"((sin(exp(((-0.40175155 * x0) + 0.31379685) * 1.2204868) * sin(cos(x0))) + (-0.40175155 + (x0 + (0.056001645 * x0)))) + -0.24069726)"
24,0.0009045144,"((sin(exp((-0.40175155 * x0) + 0.3589135) * sin(cos(x0))) + (-0.40175155 + (x0 + ((0.056001645 * exp(x0)) * 0.35113916)))) + -0.24069726)"
25,0.00087459624,"((sin(exp(((-0.40175155 * x0) + 0.31379685) * 1.2204868) * sin(cos(x0))) + (-0.37605464 + (x0 + (0.056001645 * x0)))) + sin(sin(-0.24069726)))"
26,0.0008499821,"((sin(exp(((-0.40175155 * x0) / cos(0.74023926)) + 0.3589135) * sin(cos(x0))) + (-0.40175155 + (x0 + (0.056001645 * (0.74023926 + x0))))) + -0.24069726)"
29,0.00059463346,"((sin(exp(((-0.40175155 * x0) / 0.87574494) + 0.35113916) * sin(cos(x0))) + (-0.40175155 + (x0 + (0.056001645 * (((-0.43033838 * x0) + -0.40175155) / -0.81918186))))) + -0.24069726)"
30,0.0005411644,"((sin(exp(((-0.40175155 * x0) / 0.87574494) + 0.35113916) * sin(cos(x0))) + (-0.40175155 + (x0 + (0.056001645 * (((-0.43033838 * x0) + -0.40175155) / sin(-0.81918186)))))) + -0.24069726)"
31,0.000533228,"((sin(exp(((-0.40175155 * x0) / 0.87574494) + 0.35113916) * sin(cos(x0))) + (-0.40175155 + (x0 + (0.056001645 * (((-0.43033838 * x0) + -0.40175155) / (-0.81918186 + 0.15043537)))))) + -0.24069726)"
32,0.000531467,"((sin(exp(((-0.40175155 * x0) / 0.87574494) + 0.35113916) * sin(cos(x0))) + (-0.40175155 + (x0 + (0.056001645 * (((-0.43033838 * x0) + sin(-0.40175155)) / (-0.81918186 + 0.15043537)))))) + -0.24069726)"
33,0.00052060164,"((sin(exp(((-0.40175155 * x0) / 0.87574494) + sin(0.35113916)) * sin(cos(x0))) + (-0.40175155 + (x0 + (0.056001645 * (((-0.43033838 * x0) + sin(-0.40175155)) / (-0.81918186 + 0.15043537)))))) + -0.24069726)"
