Complexity,Loss,Equation
1,0.0018584108,"x0"
3,0.0018575466,"(x0 / 1.0009269)"
5,0.0018327608,"(x0 + (-0.0012631628 / x0))"
6,0.00140008,"(x0 / exp(-0.028958194 * x0))"
7,0.00074792455,"(x0 + (sin(exp(x0)) * -0.04742271))"
8,0.00049914455,"(x0 + (cos(x0 * -1.645181) * -0.046724506))"
9,0.00045251247,"(x0 + ((sin(exp(x0)) + -0.4130761) * -0.04742271))"
10,0.000339521,"(x0 + (sin(exp(sin(x0)) + x0) * -0.04742271))"
11,0.00026276888,"(x0 + ((-0.046724506 * sin(exp(x0))) * (x0 + 0.67081636)))"
12,0.00015464357,"(x0 + ((-0.046724506 * sin(exp(x0))) * (cos(x0) + x0)))"
14,4.9283517e-5,"(x0 + ((-0.046724506 * sin(exp(x0) + 0.23194474)) * (cos(x0) + x0)))"
16,2.4493931e-5,"(x0 + ((-0.046724506 * sin(exp(x0) + 0.23194474)) * (cos(x0 + -0.21933213) + x0)))"
18,2.2225706e-5,"(x0 + ((-0.046724506 * sin(exp(x0) + sin(0.23194474))) * (sin(cos(x0 + -0.21933213)) + x0)))"
