Complexity,Loss,Equation
1,0.039922513,"x0"
3,0.039524056,"(x0 * 0.98000807)"
5,0.03952405,"((-1.6815882e-7 + x0) * 0.9800382)"
6,0.025081707,"(x0 * exp(0.088075995 * x0))"
7,0.0063337274,"(x0 + (cos(cos(x0)) + -0.8021377))"
8,0.004371016,"(x0 + (-0.52394617 * (cos(x0) + -0.5698577)))"
9,0.0042929277,"(x0 + (-0.5465006 * sin(cos(x0) + -0.5745597)))"
10,0.0041568526,"((x0 + (-0.52394617 * (cos(x0) + -0.5698577))) / 1.0331776)"
12,0.0015313601,"(x0 + ((-0.51626205 + (0.14537121 * x0)) * (cos(x0) + -0.5222752)))"
13,0.0014890011,"(x0 + ((-0.5222752 + (sin(x0) * 0.20107499)) * (cos(x0) + -0.5923137)))"
14,0.0011393493,"(x0 + ((-0.5222752 + (sin(x0) * 0.20107499)) * (cos(x0) + sin(-0.5923137))))"
15,0.0011385129,"(x0 + ((-0.5222752 + sin(sin(x0) * 0.20107499)) * (cos(x0) + sin(-0.5923137))))"
16,0.0006468664,"(x0 + (sin((0.41222504 * x0) + (-0.19199081 * 1.6512328)) * sin(cos(-0.19199081) + x0)))"
17,0.0003665621,"(x0 + (sin((0.41222504 * x0) + (-0.19199081 * 1.6512328)) * sin(sin(cos(-0.19199081) + x0))))"
18,0.00026164512,"(((x0 + (((x0 + cos(-1.99586)) * sin(x0 + sin(0.82649267))) * 0.34323964)) + -0.24462834) + 0.1045088)"
19,0.00022692738,"(((x0 + (((x0 + cos(-1.99586)) * sin(x0 + sin(0.82649267))) * 0.34323964)) + sin(-0.24462834)) + 0.1045088)"
20,0.0002045505,"(((x0 + (((x0 + cos(-1.99586)) * sin(x0 + sin(0.82649267))) * 0.34323964)) + sin(sin(-0.24462834))) + 0.1045088)"
21,0.00018851862,"(((x0 + (((x0 + cos(-1.99586)) * sin(x0 + sin(sin(exp(log(0.9099726)))))) * 0.34323964)) + -0.24462834) + 0.1045088)"
22,0.00015001364,"(((x0 + (((x0 + cos(-1.99586)) * sin(x0 + cos(cos(cos(sin(x0)))))) * 0.34323964)) + sin(-0.24462834)) + 0.1045088)"
23,0.000100824254,"(((x0 + (((x0 + sin(cos(-1.99586))) * sin(x0 + cos(cos(cos(cos(cos(x0))))))) * 0.34323964)) + -0.24462834) + 0.1045088)"
28,9.809048e-5,"(x0 + (sin((0.06499604 * ((0.19986926 + x0) * 1.9616649)) + -0.12268711) * ((cos(x0) + (0.19986926 + (sin(cos(x0)) * (1.4207798 + sin(x0))))) + x0)))"
29,8.583285e-5,"(x0 + (((0.06499604 * ((0.19986926 + x0) * 1.9616649)) + -0.12268711) * ((cos(0.029658193 + x0) + (0.19986926 + (sin(cos(x0)) * (1.4207798 + sin(x0))))) + x0)))"
30,8.4550826e-5,"(x0 + sin(((0.06499604 * ((0.19986926 + x0) * 1.9616649)) + -0.12268711) * ((cos(x0) + (0.19986926 + (sin(cos(x0)) * (1.4207798 + (sin(x0) + 0.036954235))))) + x0)))"
31,7.926406e-5,"(x0 + sin(((0.06499604 * ((sin(0.19986926) + x0) * 1.9616649)) + -0.12268711) * ((cos(x0) + (0.19986926 + (sin(cos(x0)) * (1.4207798 + (sin(x0) + 0.036954235))))) + x0)))"
32,7.432115e-5,"(x0 + sin(((0.06499604 * ((sin(sin(0.19986926)) + x0) * 1.9616649)) + -0.12268711) * ((cos(x0) + (0.19986926 + (sin(cos(x0)) * (1.4207798 + (sin(x0) + 0.036954235))))) + x0)))"
33,5.0713534e-5,"(x0 + (((0.06499604 * (((0.19986926 * 0.44316435) + ((0.19986926 * 0.44316435) + x0)) * 1.9616649)) + -0.12268711) * ((cos(x0) + (0.19986926 + (sin(cos(x0)) * (1.4207798 + sin(x0))))) + x0)))"
34,4.931425e-5,"(x0 + (((0.06499604 * (((0.19986926 * sin(0.44316435)) + ((0.19986926 * 0.44316435) + x0)) * 1.9616649)) + -0.12268711) * ((cos(x0) + (0.19986926 + (sin(cos(x0)) * (1.4207798 + sin(x0))))) + x0)))"
35,2.8626511e-5,"(x0 + sin(((0.06499604 * (((0.19986926 * sin(0.44316435)) + ((0.19986926 * 0.44316435) + x0)) * 1.9616649)) + -0.12268711) * ((cos(x0) + (0.19986926 + (sin(cos(x0)) * (1.4207798 + sin(x0))))) + x0)))"
