Complexity,Loss,Equation
1,0.18535118,"x0"
3,0.17676237,"(x0 * 0.9073223)"
5,0.1639118,"(cos(cos(x0)) * x0)"
6,0.035309706,"((cos(x0) + -0.5690231) + x0)"
8,0.023285,"((cos(x0 + 0.14673463) + -0.56292665) + x0)"
10,0.0138848,"((cos(x0) + -0.56518626) + (x0 * cos(cos(x0))))"
11,0.011258823,"((cos((cos(x0) * 0.43523744) + x0) + -0.53322023) + x0)"
12,0.011120839,"((cos((sin(cos(x0)) * 0.43523744) + x0) + -0.53322023) + x0)"
13,0.004774544,"(((cos((x0 + cos(x0)) * x0) * 0.57288295) + -0.20454906) + x0)"
14,0.00155287,"((cos((sin(0.7220595 / exp(x0)) / 1.4183879) + x0) + -0.56518626) + x0)"
15,0.00047523816,"((cos((sin(sin(0.8443699) / exp(x0)) * 0.59012145) + x0) + -0.56518626) + x0)"
17,0.00032780162,"((cos((sin(sin(sin(0.8443699) / exp(x0))) * 0.6424002) + x0) + sin(-0.56518626)) + x0)"
20,0.00032006457,"((cos(sin(sin(cos(sin(0.8443699)) / exp(x0)) * sin(exp(cos(-0.40614274)))) + x0) + -0.56518626) + x0)"
22,0.00018714061,"((cos((sin(sin(sin(sin(0.84027004) / exp(x0)))) * sin(0.75479597)) + x0) + (sin(sin(-0.5023678)) * 1.1730813)) + x0)"
23,0.00016602088,"((cos((sin(sin(sin(sin(0.84027004) / exp(x0)))) * sin(cos(0.75479597))) + x0) + (sin(sin(-0.5023678)) * 1.1730813)) + x0)"
27,0.00016310599,"((cos(sin(sin(sin(sin(sin(0.84027004) / exp(x0)))) * sin(sin(exp(0.75479597) * 1.073986))) + x0) + (sin(sin(-0.5023678)) * 1.1730813)) + x0)"
32,0.00010543235,"((cos((sin(sin(sin(sin(cos(sin(sin(cos(cos(x0))))) / exp(x0))))) * cos(sin(sin(log(sin(log(1.1447483))))))) + x0) + sin(sin(-0.5023678) * 1.1730813)) + x0)"
33,9.9364894e-5,"((cos(sin(sin(sin(sin(sin(cos(sin(sin(cos(cos(x0))))) / exp(x0))))) * cos(sin(sin(log(sin(log(1.1447483))))))) + x0) + sin(sin(-0.5023678) * 1.1730813)) + x0)"
38,9.0260466e-5,"((cos((sin(sin(sin(sin(sin(sin(cos(cos(cos(sin(sin(cos(cos(x0) * -1.5784243)))))) / exp(x0))))))) * cos(sin(sin(sin(log(log(1.1447483))))))) + x0) + sin(sin(-0.5023678) * 1.1730813)) + x0)"
39,9.0146386e-5,"((cos((sin(sin(sin(sin(sin(cos(cos(cos(sin(sin(cos((cos(x0) * -1.5784243) / 0.63975424)))))) / exp(x0)))))) * cos(sin(sin(sin(log(log(1.1447483))))))) + x0) + sin(sin(-0.5023678) * 1.1730813)) + x0)"
40,8.2266946e-5,"((cos((sin(sin(sin(sin(sin(sin(cos(cos(cos(sin(sin(cos(cos(x0) * (-1.5784243 * x0))))))) / exp(x0))))))) * cos(sin(sin(sin(log(log(1.1447483))))))) + x0) + sin(sin(-0.5023678) * 1.1730813)) + x0)"
