Complexity,Loss,Equation
1,0.003451236,"x0"
3,0.0034482575,"(x0 * 0.9982695)"
5,0.0034459233,"((0.00018080746 / x0) + x0)"
6,0.0027371952,"(x0 + (0.039647486 * cos(x0)))"
7,0.0015472532,"(x0 + (0.06569211 * sin(exp(x0))))"
8,0.0008749306,"(x0 + (0.0679321 * cos(x0 / -0.5613781)))"
10,0.0005118792,"(x0 + (0.0679321 * sin((x0 + 1.1419021) + x0)))"
12,0.0004877927,"(x0 + (cos((x0 + -0.41545156) + x0) * (0.052502725 / 0.6887073)))"
13,0.00038452385,"(x0 + ((0.041742746 * cos(x0 + 0.3964369)) * (exp(x0) + x0)))"
15,0.0003043637,"(x0 + ((0.053451844 * (cos(x0) + cos(exp(sin(x0))))) * (x0 + 0.7680556)))"
17,0.00026123557,"(x0 + ((0.041742746 * (cos(x0) + cos(x0 + 0.9010846))) * ((x0 / 0.8844295) + 0.81903905)))"
18,0.00013769136,"(x0 + ((0.041742746 * (cos(x0) + cos(x0 + 0.9010846))) * ((x0 / sin(0.8844295)) + 0.90298444)))"
19,0.00012628954,"(x0 + ((0.041742746 * (cos(x0) + cos(x0 + 0.9010846))) * ((x0 / cos(sin(0.8844295))) + 0.81903905)))"
20,0.000115933944,"(x0 + ((0.041742746 * (cos(x0) + cos(x0 + 0.9010846))) * ((x0 / sin(0.8844295 / 1.0454644)) + 0.90298444)))"
21,8.601162e-5,"(x0 + ((0.041742746 * (cos(x0) + cos(x0 + 0.9010846))) * ((x0 / sin(sin(0.8844295 / 1.0454644))) + 0.90298444)))"
