Complexity,Loss,Equation
1,0.0037326529,"x0"
3,0.0037291697,"(x0 / 1.0018731)"
5,0.003729167,"(4.8275915e-6 + (x0 * 0.9981346))"
6,0.0027144502,"(exp(x0 * -0.016536456) * x0)"
7,0.002238879,"(cos(0.07491485 * exp(x0)) * x0)"
8,0.00058406056,"((0.07908209 * cos(x0 * -1.8709531)) + x0)"
10,0.00044471983,"((-0.0930111 * ((x0 * sin(x0)) + -0.61968935)) + x0)"
12,0.00025380615,"(sin(cos(cos(sin(cos(x0 * 0.88830084))))) + (x0 + -0.64731675))"
15,0.00020087097,"((-0.0930111 * (((x0 * sin(x0 + -0.27706453)) + sin(-0.57072926)) / 0.76807874)) + x0)"
16,9.314806e-5,"((((-0.0930111 * ((x0 * sin(x0 + -0.27706453)) / 0.76807874)) + x0) * 0.9851809) + 0.05851162)"
17,6.459613e-5,"(((-0.0930111 * (((x0 * sin(x0 + -0.27706453)) + sin(-0.61968935)) / 0.76807874)) + x0) * 0.9851809)"
18,4.813868e-5,"(((-0.0930111 * (((x0 * sin(x0 + -0.27706453)) + sin(sin(-0.61968935))) / 0.76807874)) + x0) * 0.9851809)"
20,4.6858735e-5,"((((-0.0930111 * (((x0 * sin(x0 + -0.27706453)) + sin(sin(-0.61968935))) / 0.76807874)) * 0.9773622) + x0) * 0.9851809)"
22,4.681185e-5,"(((((-0.0930111 * 1.0017788) * (((x0 * sin(x0 + -0.27706453)) + sin(sin(-0.61968935))) / 0.76807874)) * 0.9773622) + x0) * 0.9851809)"
