Complexity,Loss,Equation
1,0.99999976,"4.0978193e-5"
3,0.111253224,"(x0 * -0.9427324)"
5,0.11125321,"((x0 + -1.9498624e-5) * -0.9427221)"
6,0.106800616,"(sin(x0 + 0.19358106) * -1.2276741)"
7,0.07890672,"((-0.9997939 + (0.16152622 * x0)) * x0)"
8,0.048967898,"((cos(x0 / 0.64043796) + x0) / -1.1830525)"
9,0.007896636,"(((cos(x0) + -0.53433263) + x0) * sin(-1.9435301))"
10,0.0057347687,"(((cos(x0 / -0.060078867) + x0) + x0) / -2.1030111)"
11,0.0045044245,"(((sin(cos(x0 / -0.060078867)) + x0) + x0) / -2.1030111)"
12,0.0022933683,"(((cos((x0 + 1.1395677) / -0.060078867) + x0) + x0) / -2.1030111)"
15,0.0007250723,"(((sin(cos((x0 + 0.29671183) / (-0.6253989 / x0))) + x0) + x0) / -1.9435301)"
16,0.00071352895,"(((sin(cos((x0 + sin(0.29671183)) / (-0.6253989 / x0))) + x0) + x0) / -1.9435301)"
17,0.00025313965,"((((sin(cos((x0 + 0.29671183) / (-0.6253989 / x0))) + -0.041785993) + x0) + x0) / -1.9435301)"
18,0.0002435389,"(((sin(cos((x0 + sin(cos(0.9139566) + sin(x0))) * x0)) + x0) + x0) / -1.9435301)"
19,8.658261e-5,"(((sin(cos(((x0 + 0.06337354) + sin(0.5286699 + sin(x0))) * x0)) + x0) + x0) / -1.9435301)"
22,7.8113815e-5,"(((sin(cos(((x0 + sin(cos(0.9139566) + sin(x0))) * x0) + (0.020871997 * 1.6772906))) + x0) + x0) / -1.9435301)"
24,7.5424e-5,"((x0 + (cos(x0 + ((cos(sin(cos(x0)) + x0) + (sin(-0.3522271) / 1.0716363)) + x0)) + x0)) / (-2.5237226 + 0.44552055))"
25,6.8336274e-5,"((x0 + (cos(x0 + ((cos(sin(cos(x0)) + x0) + (sin(sin(-0.3522271)) / 1.0716363)) + x0)) + x0)) / (-2.5237226 + 0.44552055))"
29,6.528466e-5,"(((sin(cos(((x0 + sin(cos(cos(sin(sin(cos(0.9139566))))) + sin(x0 / cos(0.83165187 / 0.13622643)))) * x0) + 0.066539004)) + x0) + x0) / -1.9435301)"
31,6.0191698e-5,"(((((x0 / cos(0.6196288)) + (sin(-0.42259687) * ((x0 * ((x0 / exp(sin(x0))) + (x0 + -0.9361325))) + -2.5517707))) / -2.5359826) * 1.1166371) + (0.040391773 * sin(exp(-0.7377906))))"
32,6.0187846e-5,"(((((x0 / cos(0.6196288)) + (sin(-0.42259687) * ((x0 * ((x0 / exp(sin(x0))) + (x0 + -0.9361325))) + -2.5517707))) / -2.5359826) * 1.1166371) + (0.040391773 * sin(sin(exp(-0.7377906)))))"
33,6.0185277e-5,"(((((x0 / cos(0.6196288)) + (sin(-0.42259687) * ((x0 * ((x0 / exp(sin(x0))) + (x0 + -0.9361325))) + -2.5517707))) / -2.5359826) * 1.1166371) + (sin(sin(0.040391773)) * sin(exp(-0.7377906))))"
37,5.9882317e-5,"(((((x0 / cos(0.6196288)) + (sin(-0.42259687) * ((x0 * ((x0 / exp(sin(x0))) + (x0 + -0.9361325))) + -2.5517707))) / -2.5359826) * 1.1166371) + ((exp(0.040391773 * x0) + 0.6598946) * (0.022996778 * exp(-0.7377906))))"
39,5.45862e-5,"(((((x0 / cos(0.6196288)) + (sin(-0.42259687) * ((x0 * ((x0 / exp(sin(x0))) + (x0 + -0.9361325))) + -2.5517707))) / -2.5359826) * 1.1166371) + (((log(exp(1.1166371)) + log(cos(-0.5297554 / x0))) + -0.124728486) * 0.022996778))"
