Complexity,Loss,Equation
1,0.1282288,"x0"
3,0.12411814,"(0.935886 * x0)"
5,0.11495124,"(x0 * cos(cos(x0)))"
6,0.024448084,"(cos(x0) + (-0.56986016 + x0))"
7,0.021055125,"((x0 + sin(cos(x0))) + -0.50824225)"
8,0.017752778,"((x0 + cos(x0 + 0.11220948)) + -0.56627357)"
9,0.016313395,"((x0 + sin(cos(x0 + 0.10580967))) + -0.5123398)"
10,0.011170514,"(cos(x0) + (-0.56985813 + (cos(cos(x0)) * x0)))"
11,0.006910472,"((x0 + cos(x0 + (cos(x0) / 1.9153416))) + -0.5123398)"
12,0.0038679454,"((x0 + (-0.3578229 * (x0 * (x0 + cos(x0))))) + 0.36689243)"
13,0.0035690018,"((x0 + (-0.3756543 * (x0 * (x0 + sin(cos(x0)))))) + 0.37571776)"
14,0.0031538366,"((x0 + (-0.3756543 * (x0 * ((x0 + cos(x0)) + -0.077105395)))) + 0.36689243)"
15,0.0030514568,"((x0 + (sin(-0.3756543) * (x0 * ((x0 + cos(x0)) + -0.077105395)))) + 0.36689243)"
16,0.002879307,"((x0 + (sin(-0.3756543) * (x0 * (x0 + sin(cos(x0 * 1.0595767)))))) + 0.36689243)"
17,0.0013937075,"((x0 + cos((x0 + cos(sin(sin(0.75290626 + x0)) * x0)) + -0.56985813)) + -0.56985813)"
18,0.0012879098,"((x0 + sin(cos((x0 + sin(exp(-0.51876867 * (x0 + -0.40980282)))) + -0.51876867))) + sin(-0.51876867))"
19,0.0009196901,"((x0 + sin(cos((x0 + sin(exp(-0.51876867 * (x0 + -0.40980282)))) + sin(-0.51876867)))) + sin(-0.51876867))"
20,0.0008913139,"((x0 + sin(cos((x0 + sin(exp(-0.51876867 * (x0 + -0.40980282)))) + sin(-0.51876867)))) + sin(sin(-0.51876867)))"
21,0.0008022187,"((x0 + sin(cos((x0 + sin(exp(-0.51876867 * (x0 + -0.40980282)))) + sin(sin(-0.51876867))))) + sin(sin(-0.51876867)))"
24,0.0007758948,"((x0 + sin(cos((x0 + sin(exp(-0.51876867 * (x0 + sin(-0.40980282 + -0.074887626))))) + sin(sin(-0.51876867))))) + sin(sin(-0.51876867)))"
25,0.00064141635,"((x0 + sin(cos((x0 + sin(exp(-0.51876867 * (x0 + sin(-0.40980282 + -0.074887626))))) + sin(sin(-0.51876867))))) + sin(-0.40980282 + -0.074887626))"
26,0.0006191756,"((x0 + sin(cos((x0 + sin(exp(-0.51876867 * (x0 + sin(-0.40980282 + -0.074887626))))) + sin(sin(sin(-0.51876867)))))) + sin(-0.40980282 + -0.074887626))"
42,0.00059705117,"((x0 + cos((x0 + cos(x0 / (-1.7659944 / ((cos(sin(sin(cos(x0 + ((x0 + cos(x0 / (1.5916637 / ((cos(sin(x0)) * x0) + cos(x0))))) + -0.56985813))))) * x0) + cos(x0))))) + -0.56985813)) + -0.56985813)"
43,0.0005831896,"((x0 + cos((x0 + cos(x0 / (-1.7659944 / ((cos(sin(sin(cos(x0 + ((x0 + cos(x0 / (-1.7659944 / ((cos(sin(sin(x0))) * x0) + cos(x0))))) + -0.56985813))))) * x0) + cos(x0))))) + -0.56985813)) + -0.56985813)"
44,0.00050741824,"(sin(sin(sin(cos(-0.5660708 + x0)))) + ((-0.5660708 + x0) * cos((sin(cos(((sin(cos((log(exp(sin(exp(cos(-0.29605266))) / x0)) + 0.64219123) * x0)) + x0) * sin(cos(sin(x0) + 0.79980195))) * x0)) * -1.1390101) * -1.1189152)))"
50,0.00046450965,"(sin(sin(sin(cos(-0.5660708 + x0)))) + ((-0.5660708 + x0) * cos((sin(cos(((cos(((log(exp(sin(sin(exp(cos(0.2274895)))) / x0)) + 0.64219123) * (x0 * 1.0544841)) + -0.10736733) + x0) * sin(cos(sin(x0) + 0.79980195))) * x0)) * -1.1390101) * (-0.90834045 + -0.1775243))))"
52,0.0004460257,"(sin(sin(sin(cos(-0.5660708 + x0)))) + ((-0.5660708 + x0) * cos((sin(cos(((cos(((log(exp((sin(sin(exp(cos(0.2274895)))) * 1.0116599) / x0)) + 0.64219123) * (x0 * 1.0544841)) + -0.10736733) + x0) * sin(cos(sin(x0) + 0.79980195))) * x0)) * -1.1390101) * (-0.90834045 + -0.1775243))))"
