Complexity,Loss,Equation
1,0.03196259,"x0"
3,0.03170718,"(x0 * 0.98403156)"
5,0.031707175,"((x0 + 1.7365124e-5) * 0.984033)"
6,0.019382467,"(x0 * exp(0.081712514 * x0))"
7,0.0043549244,"((cos(cos(x0)) + x0) + -0.7787488)"
8,0.0023471639,"(0.27250814 + ((cos(x0) * -0.4782036) + x0))"
10,0.0021808392,"((0.28350532 + ((cos(x0) * -0.50745785) + x0)) * 0.9840212)"
11,0.002127892,"((0.28350532 + (sin(cos(x0) * -0.50745785) + x0)) * 0.9840212)"
12,0.0008493042,"(sin(x0 + -0.20268126) / cos(sin((x0 + 0.5052661) * -0.6476123)))"
13,0.0008275454,"(sin(x0 + -0.20268126) / cos(sin((x0 + sin(0.5052661)) * -0.6476123)))"
14,0.00038890218,"(sin(x0 + -0.20268126) / (cos(sin((x0 + 0.58896405) * -0.55385983)) / 1.0584558))"
15,0.00031441994,"(sin((x0 + -0.20268126) / 1.159455) / sin(cos(sin((x0 + 1.0749366) * -0.51490396))))"
16,0.00028626187,"(sin((x0 + sin(-0.20268126)) / 1.159455) / sin(cos(sin((x0 + 1.065586) * -0.51490396))))"
18,0.00027525343,"(sin((x0 + sin(-0.20268126)) / 1.159455) / sin(cos(sin((x0 + (1.1520326 * 0.9145341)) * -0.51490396))))"
19,0.00025986743,"(sin((x0 + sin(sin(-0.20268126))) / 1.159455) / sin(cos(sin((x0 + (1.1520326 * 0.9145341)) * -0.51490396))))"
20,0.00024759088,"(sin((x0 + sin(sin(sin(-0.20268126)))) / 1.159455) / sin(cos(sin((x0 + (1.1520326 * 0.9145341)) * -0.51490396))))"
21,0.00023824672,"(sin((x0 + sin(sin(sin(sin(-0.20268126))))) / 1.159455) / sin(cos(sin((x0 + (1.1520326 * 0.9145341)) * -0.51490396))))"
22,0.00019937921,"(sin((x0 + sin(sin(-0.20268126) * 0.9214817)) / 1.159455) / sin(cos(sin((x0 + cos(0.36505973 * -0.20268126)) * -0.51490396))))"
23,0.00019636573,"(sin((x0 + sin(sin(log(0.8156591)) * 0.9214817)) / 1.159455) / sin(cos(sin((x0 + cos(cos(exp(0.36505973)))) * -0.51490396))))"
24,0.00019488788,"(sin((x0 + sin(sin(log(0.8156591)) * 0.9214817)) / 1.159455) / sin(cos(sin((x0 + cos(0.36505973 * sin(-0.20268126))) * -0.51490396))))"
25,0.0001646907,"((sin(x0 + -0.19926843) * 1.0469197) / cos(sin((x0 + sin(sin(sin(cos(sin(x0 / sin(0.76518834 + x0))))))) * sin(-0.6226076))))"
