Complexity,Loss,Equation
1,0.04186822,"x0"
3,0.04142998,"(x0 * 0.97906375)"
4,0.041429978,"(x0 * sin(1.3657944))"
5,0.041429974,"((x0 + 5.96389e-7) * 0.9790658)"
6,0.018143782,"((sin(x0) + x0) / 1.6609756)"
8,0.0055692685,"((x0 * exp(x0 * 0.15261298)) + -0.1477634)"
10,0.004448866,"((x0 * exp((x0 + 0.22264406) * 0.15164049)) + -0.14729686)"
11,0.0005507932,"((x0 * exp((cos(x0) + x0) * 0.1348251)) + -0.14222883)"
12,0.00054882985,"((x0 * exp(sin((cos(x0) + x0) * 0.1348251))) + -0.14222883)"
13,0.0004768516,"((x0 * exp((x0 + cos(x0)) * (0.15164049 / 1.1184651))) + -0.14729686)"
14,0.00018246155,"(((x0 + -0.13248172) + ((0.11534172 * x0) * (x0 + cos(x0)))) / 0.9523078)"
16,0.00012607798,"(((x0 + -0.13248172) + ((0.11534172 * x0) * (x0 + cos(x0 + -0.052015413)))) / 0.9523078)"
18,0.00010903223,"((x0 + (sin((0.073276125 * 1.7897516) * (sin(cos(x0)) + (x0 + 0.3771205))) * x0)) + -0.14210485)"
19,8.173704e-5,"((x0 + (sin(sin((0.073276125 * 1.7897516) * (sin(cos(x0)) + (x0 + 0.3771205)))) * x0)) + -0.14210485)"
20,8.142869e-5,"((x0 + (sin(sin(sin(0.073276125 * 1.7897516) * (sin(cos(x0)) + (x0 + 0.3771205)))) * x0)) + -0.14210485)"
34,7.912907e-5,"((x0 + (sin(sin((0.073276125 * 1.7897516) * (sin(cos(sin(log(exp(1.7897516) + cos(exp(exp(sin(x0 + x0))))) + -0.16560735) * x0)) + (x0 + 0.3771205)))) * x0)) + -0.14210485)"
