Complexity,Loss,Equation
1,0.10783252,"x0"
3,0.10492554,"(x0 * 0.9460705)"
5,0.10492553,"((x0 + -5.396713e-5) * 0.94612)"
6,0.0052661225,"((x0 + cos(x0)) + -0.56985533)"
7,0.004081228,"((-0.5082391 + x0) + sin(cos(x0)))"
8,0.0012458507,"(((cos(x0) + x0) * 0.9403399) + -0.5358604)"
9,0.001074129,"((sin(cos(x0 + 0.083555974)) + x0) + -0.5082447)"
10,0.001073975,"((sin(cos(x0 + sin(0.083555974))) + x0) + -0.5082447)"
11,0.0010737233,"((sin(cos((0.09044537 / 1.0859545) + x0)) + x0) + -0.5082447)"
12,0.00061868253,"((x0 + 0.36674118) + (sin(-0.3852161 * (x0 + 0.17474765)) * x0))"
14,0.0003594394,"((x0 + 0.360661) + ((sin(-0.3852161 * (x0 + 0.6776473)) + 0.17625634) * x0))"
15,0.0003451877,"((x0 + sin(0.360661)) + ((sin(-0.3852161 * (x0 + 0.6776473)) + 0.17625634) * x0))"
16,0.00013483543,"((x0 + 0.360661) + (sin(-0.3852161 * (x0 + (exp(cos(x0)) * 0.12582451))) * x0))"
17,0.00013435553,"((x0 + 0.360661) + (sin(-0.3852161 * (x0 + (exp(cos(x0)) * sin(0.12582451)))) * x0))"
18,8.9610214e-5,"((x0 + (0.360661 * 1.0218352)) + (sin(-0.3852161 * (x0 + (exp(cos(x0)) * 0.12582451))) * x0))"
19,8.90584e-5,"((x0 + (0.360661 * 1.0218352)) + (sin(-0.3852161 * (x0 + (exp(cos(x0)) * sin(0.12582451)))) * x0))"
20,7.9784375e-5,"((x0 + (0.360661 * 1.0218352)) + (sin(-0.3852161 * (x0 + (exp(cos(x0 * 1.0652374)) * 0.12582451))) * x0))"
21,7.765202e-5,"((x0 + 0.360661) + (sin(-0.3852161 * ((x0 + 0.1906179) + ((cos(x0 * x0) + -0.10576) * 0.12582451))) * x0))"
22,6.5392465e-5,"((x0 + 0.360661) + (sin(-0.3852161 * ((x0 + 0.1906179) + (cos((x0 / sin(x0)) * x0) * 0.12582451))) * x0))"
23,5.1694857e-5,"((x0 + 0.360661) + (sin(-0.3852161 * ((x0 + 0.1906179) + ((cos(x0 * x0) + (-0.10576 / x0)) * 0.12582451))) * x0))"
24,4.8447542e-5,"((x0 + 0.360661) + (sin(-0.3852161 * ((x0 + 0.1906179) + ((cos(x0 * x0) + (-0.10576 / sin(x0))) * 0.12582451))) * x0))"
25,3.339037e-5,"((x0 + 0.523883) + (((-0.078153156 * x0) * (((((cos(x0) + 0.42911005) + sin(x0)) + (x0 + x0)) + x0) + x0)) + -0.15418546))"
27,2.446351e-5,"((x0 + 0.523883) + (((-0.078153156 * x0) * (((((cos(x0 / -0.9706695) + 0.47392964) + sin(x0)) + (x0 + x0)) + x0) + x0)) + -0.15418546))"
28,2.3972369e-5,"((x0 + 0.523883) + ((sin(-0.078153156 * x0) * (((((cos(x0 / -0.9706695) + 0.47392964) + sin(x0)) + (x0 + x0)) + x0) + x0)) + -0.15418546))"
