Complexity,Loss,Equation
1,0.11255952,"x0"
3,0.10939211,"(x0 * 0.9437192)"
5,0.06593685,"((-2.5937936e-9 / x0) + x0)"
6,0.0051951334,"((x0 + -0.55913824) + cos(x0))"
8,0.0017495733,"((x0 + -0.5575444) + cos(0.07536201 + x0))"
10,0.00066746335,"(((x0 + -0.5575444) + cos(x0 + 0.19314119)) * 1.0918506)"
11,0.00064152136,"(((x0 + -0.5575444) + cos(x0 + sin(0.19314119))) * 1.0918506)"
12,0.00044052437,"(((x0 + -0.5575451) + cos((x0 + -0.56463474) + 0.75795895)) * 1.1044594)"
13,0.00024286356,"((x0 + (-0.76723903 * cos(cos(sin(0.6230396 + x0))))) + cos(x0))"
14,0.00012360542,"((x0 + (-0.86600894 * sin(sin(cos(cos(x0 + 0.568825)))))) + cos(x0))"
15,0.00012273114,"((x0 + (-0.86600894 * sin(sin(cos(cos(sin(0.6125291) + x0)))))) + cos(x0))"
16,0.000101850266,"((x0 + (-0.86600894 * sin(cos(cos(cos(cos(x0) / exp(x0))))))) + cos(x0))"
17,9.956915e-5,"((x0 + (-0.86600894 * sin(cos(cos(cos(cos(sin(x0)) / exp(x0))))))) + cos(x0))"
18,1.8400819e-5,"((x0 + (-0.86600894 * sin(cos(cos(cos(cos(x0) / exp(x0)) + -0.04872595))))) + cos(x0))"
19,1.4653268e-5,"((x0 + (-0.86600894 * sin(cos(cos(cos(cos(sin(x0)) / exp(x0)) + -0.04872595))))) + cos(x0))"
20,1.444616e-5,"((x0 + (-0.86600894 * sin(cos(cos(cos(cos(x0) / exp(x0)) + (-0.04872595 / 1.1409662)))))) + cos(x0))"
21,1.0274443e-5,"((x0 + (-0.86600894 * sin(cos(cos(cos(cos(sin(x0)) / exp(x0)) + (-0.04872595 / 1.1409662)))))) + cos(x0))"
22,1.0269613e-5,"((x0 + (-0.86600894 * sin(cos(cos(cos(cos(sin(x0)) / exp(x0)) + sin(-0.04872595 / 1.1409662)))))) + cos(x0))"
24,3.8462595e-6,"(((x0 + -0.5575451) + cos((x0 + sin(-0.56463474)) + cos(cos(cos(cos(sin(cos(sin(exp(sin(x0))))) / x0)))))) * 1.1044594)"
26,2.8142292e-6,"(((x0 + -0.5575451) + cos((x0 + sin(-0.56463474)) + cos(cos(cos(cos(sin(cos(sin(exp(sin(x0))))) / x0)) / 0.99727225)))) * 1.1044594)"
